student_id,subject,internal_marks,midterm_marks,final_exam_marks,total_marks,grade
STU00028,Database Management,34,23,24,81,B
STU00028,Machine Learning,27,20,23,70,B
STU00028,Operating Systems,22,22,25,69,C
STU00029,Big Data Analytics,30,19,27,76,B
STU00029,Computer Networks,35,18,30,83,B
STU00029,Database Management,37,28,26,91,A
STU00029,Machine Learning,33,24,26,83,B
STU00029,Operating Systems,34,30,22,86,A
STU00030,Big Data Analytics,23,19,24,66,C
STU00030,Computer Networks,40,24,22,86,A
STU00030,Database Management,34,22,29,85,A
STU00030,Machine Learning,29,15,24,68,C
STU00030,Operating Systems,24,16,20,60,C
STU00031,Big Data Analytics,20,23,26,69,C
STU00031,Computer Networks,37,19,27,83,B
STU00031,Database Management,24,16,21,61,C
STU00031,Machine Learning,28,15,23,66,C
STU00031,Operating Systems,38,26,26,90,A
STU00032,Big Data Analytics,23,28,30,81,B
STU00032,Computer Networks,20,29,20,69,C
STU00032,Database Management,20,19,24,63,C
STU00032,Machine Learning,30,21,20,71,B
STU00032,Operating Systems,24,18,24,66,C
STU00033,Big Data Analytics,32,20,24,76,B
STU00033,Computer Networks,20,16,23,59,C
STU00033,Database Management,32,30,26,88,A
STU00033,Machine Learning,39,20,21,80,B
STU00033,Operating Systems,39,16,24,79,B
STU00034,Big Data Analytics,28,17,26,71,B
STU00034,Computer Networks,38,22,20,80,B
STU00034,Database Management,33,17,30,80,B
STU00034,Machine Learning,34,20,26,80,B
STU00034,Operating Systems,36,22,22,80,B
STU00035,Big Data Analytics,28,28,26,82,B
STU00035,Computer Networks,32,18,30,80,B
STU00035,Database Management,36,28,30,94,A
STU00035,Machine Learning,29,19,30,78,B
STU00035,Operating Systems,34,24,20,78,B
STU00036,Big Data Analytics,22,16,28,66,C
STU00036,Computer Networks,23,20,30,73,B
STU00036,Database Management,29,20,26,75,B
STU00036,Machine Learning,32,23,27,82,B
STU00036,Operating Systems,26,21,21,68,C
STU00037,Big Data Analytics,33,21,23,77,B
STU00037,Computer Networks,36,26,20,82,B
STU00037,Database Management,21,27,29,77,B
STU00037,Machine Learning,40,16,22,78,B
STU00037,Operating Systems,20,25,26,71,B
STU00038,Big Data Analytics,38,23,27,88,A
STU00038,Computer Networks,27,27,23,77,B
STU00038,Database Management,31,26,20,77,B
STU00038,Machine Learning,33,24,25,82,B
STU00038,Operating Systems,32,29,24,85,A
STU00039,Big Data Analytics,30,24,29,83,B
STU00039,Computer Networks,38,21,24,83,B
STU00039,Database Management,28,26,22,76,B
STU00039,Machine Learning,24,25,29,78,B
STU00039,Operating Systems,26,15,28,69,C
STU00040,Big Data Analytics,27,20,23,70,B
STU00040,Computer Networks,24,21,30,75,B
STU00040,Database Management,30,28,28,86,A
STU00040,Machine Learning,39,20,25,84,B
STU00040,Operating Systems,35,30,22,87,A
STU00041,Big Data Analytics,38,24,23,85,A
STU00041,Computer Networks,28,24,26,78,B
STU00041,Database Management,28,22,21,71,B
STU00041,Machine Learning,38,30,27,95,A
STU00041,Operating Systems,29,19,26,74,B
STU00042,Big Data Analytics,22,24,26,72,B
STU00042,Computer Networks,37,30,26,93,A
STU00042,Database Management,36,16,21,73,B
STU00042,Machine Learning,23,15,26,64,C
STU00042,Operating Systems,26,30,21,77,B
STU00043,Big Data Analytics,36,25,21,82,B
STU00043,Computer Networks,39,19,24,82,B
STU00043,Database Management,31,19,21,71,B
STU00043,Machine Learning,30,25,25,80,B
STU00043,Operating Systems,36,21,28,85,A
STU00044,Big Data Analytics,33,26,24,83,B
STU00044,Computer Networks,34,20,23,77,B
STU00044,Database Management,39,18,29,86,A
STU00044,Machine Learning,36,30,30,96,A
STU00044,Operating Systems,28,17,28,73,B
STU00045,Big Data Analytics,27,18,23,68,C
STU00045,Computer Networks,34,19,28,81,B
STU00045,Database Management,26,20,28,74,B
STU00045,Machine Learning,38,24,30,92,A
STU00045,Operating Systems,29,21,21,71,B
STU00046,Big Data Analytics,23,15,21,59,C
STU00046,Computer Networks,36,27,28,91,A
STU00046,Database Management,27,22,29,78,B
STU00046,Machine Learning,20,22,20,62,C
STU00046,Operating Systems,36,28,20,84,B
STU00047,Big Data Analytics,38,30,20,88,A
STU00047,Computer Networks,27,16,20,63,C
STU00047,Database Management,26,16,29,71,B
STU00047,Machine Learning,31,26,21,78,B
STU00047,Operating Systems,40,20,26,86,A
STU00048,Big Data Analytics,35,16,29,80,B
STU00048,Computer Networks,24,16,21,61,C
STU00048,Database Management,40,30,30,100,A
STU00048,Machine Learning,20,22,30,72,B
STU00048,Operating Systems,33,25,24,82,B
STU00049,Big Data Analytics,28,23,27,78,B
STU00049,Computer Networks,25,24,30,79,B
STU00049,Database Management,35,28,20,83,B
STU00049,Machine Learning,23,16,25,64,C
STU00049,Operating Systems,38,20,21,79,B
STU00050,Big Data Analytics,26,19,23,68,C
STU00050,Computer Networks,25,22,21,68,C
STU00050,Database Management,33,21,20,74,B
STU00050,Machine Learning,33,22,28,83,B
STU00050,Operating Systems,22,20,23,65,C
STU00051,Big Data Analytics,40,27,30,97,A
STU00051,Computer Networks,38,19,29,86,A
STU00051,Database Management,26,29,20,75,B
STU00051,Machine Learning,31,17,29,77,B
STU00051,Operating Systems,25,15,26,66,C
STU00052,Big Data Analytics,25,30,25,80,B
STU00052,Computer Networks,34,15,22,71,B
STU00052,Database Management,29,21,25,75,B
STU00052,Machine Learning,21,26,25,72,B
STU00052,Operating Systems,30,29,21,80,B
STU00053,Big Data Analytics,35,27,29,91,A
STU00053,Computer Networks,34,18,22,74,B
STU00053,Database Management,39,19,30,88,A
STU00053,Machine Learning,28,16,23,67,C
STU00053,Operating Systems,26,29,20,75,B
STU00054,Big Data Analytics,23,19,22,64,C
STU00054,Computer Networks,40,23,23,86,A
STU00054,Database Management,27,21,24,72,B
STU00054,Machine Learning,36,24,22,82,B
STU00054,Operating Systems,38,16,22,76,B
STU00055,Big Data Analytics,26,22,30,78,B
STU00055,Computer Networks,25,22,24,71,B
STU00055,Database Management,27,17,28,72,B
STU00055,Machine Learning,40,23,25,88,A
STU00055,Operating Systems,20,27,22,69,C
STU00056,Big Data Analytics,29,28,25,82,B
STU00056,Computer Networks,27,22,21,70,B
STU00056,Database Management,37,27,29,93,A
STU00056,Machine Learning,30,24,24,78,B
STU00056,Operating Systems,25,21,24,70,B
STU00057,Big Data Analytics,32,29,29,90,A
STU00057,Computer Networks,39,30,27,96,A
STU00057,Database Management,26,15,28,69,C
STU00057,Machine Learning,24,20,21,65,C
STU00057,Operating Systems,27,18,22,67,C
STU00058,Big Data Analytics,30,26,20,76,B
STU00058,Computer Networks,27,15,20,62,C
STU00058,Database Management,28,25,28,81,B
STU00058,Machine Learning,22,26,22,70,B
STU00058,Operating Systems,24,19,22,65,C
STU00059,Big Data Analytics,40,29,22,91,A
STU00059,Computer Networks,24,21,30,75,B
STU00059,Database Management,35,25,24,84,B
STU00059,Machine Learning,33,16,20,69,C
STU00059,Operating Systems,21,21,20,62,C
STU00060,Big Data Analytics,32,28,21,81,B
STU00060,Computer Networks,24,27,23,74,B
STU00060,Database Management,34,15,22,71,B
STU00060,Machine Learning,36,23,25,84,B
STU00060,Operating Systems,27,23,26,76,B
STU00061,Big Data Analytics,33,16,25,74,B
STU00061,Computer Networks,33,16,23,72,B
STU00061,Database Management,34,19,25,78,B
STU00061,Machine Learning,38,18,26,82,B
STU00061,Operating Systems,34,17,26,77,B
STU00062,Big Data Analytics,31,28,20,79,B
STU00062,Computer Networks,28,22,25,75,B
STU00062,Database Management,29,16,24,69,C
STU00062,Machine Learning,21,19,28,68,C
STU00062,Operating Systems,22,15,25,62,C
STU00063,Big Data Analytics,38,17,30,85,A
STU00063,Computer Networks,29,23,21,73,B
STU00063,Database Management,31,30,29,90,A
STU00063,Machine Learning,30,27,29,86,A
STU00063,Operating Systems,38,29,24,91,A
STU00064,Big Data Analytics,22,20,29,71,B
STU00064,Computer Networks,38,21,27,86,A
STU00064,Database Management,30,29,27,86,A
STU00064,Machine Learning,21,28,26,75,B
STU00064,Operating Systems,29,21,21,71,B
STU00065,Big Data Analytics,38,27,22,87,A
STU00065,Computer Networks,37,24,23,84,B
STU00065,Database Management,22,28,28,78,B
STU00065,Machine Learning,23,22,24,69,C
STU00065,Operating Systems,34,15,24,73,B
STU00066,Big Data Analytics,26,28,25,79,B
STU00066,Computer Networks,20,16,27,63,C
STU00066,Database Management,23,27,28,78,B
STU00066,Machine Learning,31,16,25,72,B
STU00066,Operating Systems,24,22,23,69,C
STU00067,Big Data Analytics,25,19,30,74,B
STU00067,Computer Networks,21,25,26,72,B
STU00067,Database Management,22,30,27,79,B
STU00067,Machine Learning,30,24,20,74,B
STU00067,Operating Systems,28,27,28,83,B
STU00068,Big Data Analytics,36,24,28,88,A
STU00068,Computer Networks,32,25,21,78,B
STU00068,Database Management,39,26,30,95,A
STU00068,Machine Learning,21,21,23,65,C
STU00068,Operating Systems,23,30,29,82,B
STU00069,Big Data Analytics,28,27,26,81,B
STU00069,Computer Networks,34,23,23,80,B
STU00069,Database Management,22,18,21,61,C
STU00069,Machine Learning,21,18,30,69,C
STU00069,Operating Systems,39,30,25,94,A
STU00070,Big Data Analytics,32,27,21,80,B
STU00070,Computer Networks,25,22,25,72,B
STU00070,Database Management,30,27,30,87,A
STU00070,Machine Learning,27,20,23,70,B
STU00070,Operating Systems,29,21,20,70,B
STU00071,Big Data Analytics,34,30,27,91,A
STU00071,Computer Networks,29,26,29,84,B
STU00071,Database Management,23,19,25,67,C
STU00071,Machine Learning,22,15,26,63,C
STU00071,Operating Systems,23,15,24,62,C
STU00072,Big Data Analytics,30,21,24,75,B
STU00072,Computer Networks,33,27,27,87,A
STU00072,Database Management,24,21,23,68,C
STU00072,Machine Learning,36,15,30,81,B
STU00072,Operating Systems,40,28,25,93,A
STU00073,Big Data Analytics,30,30,20,80,B
STU00073,Computer Networks,23,22,23,68,C
STU00073,Database Management,30,30,27,87,A
STU00073,Machine Learning,30,21,29,80,B
STU00073,Operating Systems,25,25,26,76,B
STU00074,Big Data Analytics,38,25,26,89,A
STU00074,Computer Networks,30,22,20,72,B
STU00074,Database Management,32,21,21,74,B
STU00074,Machine Learning,23,29,27,79,B
STU00074,Operating Systems,33,19,21,73,B
STU00075,Big Data Analytics,35,25,28,88,A
STU00075,Computer Networks,36,20,20,76,B
STU00075,Database Management,30,26,28,84,B
STU00075,Machine Learning,30,15,29,74,B
STU00075,Operating Systems,23,15,22,60,C
STU00076,Big Data Analytics,25,19,30,74,B
STU00076,Computer Networks,20,28,20,68,C
STU00076,Database Management,37,21,30,88,A
STU00076,Machine Learning,35,22,22,79,B
STU00076,Operating Systems,20,30,28,78,B
STU00077,Big Data Analytics,27,15,27,69,C
STU00077,Computer Networks,35,15,26,76,B
STU00077,Database Management,33,27,28,88,A
STU00077,Machine Learning,31,16,20,67,C
STU00077,Operating Systems,26,26,25,77,B
STU00078,Big Data Analytics,37,17,29,83,B
STU00078,Computer Networks,39,28,20,87,A
STU00078,Database Management,36,18,23,77,B
STU00078,Machine Learning,23,24,28,75,B
STU00078,Operating Systems,32,20,24,76,B
STU00079,Big Data Analytics,24,23,26,73,B
STU00079,Computer Networks,38,26,24,88,A
STU00079,Database Management,38,23,29,90,A
STU00079,Machine Learning,25,26,27,78,B
STU00079,Operating Systems,38,19,25,82,B
STU00080,Big Data Analytics,34,22,27,83,B
STU00080,Computer Networks,22,26,27,75,B
STU00080,Database Management,23,26,23,72,B
STU00080,Machine Learning,36,25,24,85,A
STU00080,Operating Systems,21,15,23,59,C
STU00081,Big Data Analytics,22,19,30,71,B
STU00081,Computer Networks,34,22,22,78,B
STU00081,Database Management,27,24,30,81,B
STU00081,Machine Learning,29,21,23,73,B
STU00081,Operating Systems,37,30,21,88,A
STU00082,Big Data Analytics,34,17,25,76,B
STU00082,Computer Networks,21,19,28,68,C
STU00082,Database Management,28,15,24,67,C
STU00082,Machine Learning,35,16,30,81,B
STU00082,Operating Systems,29,28,21,78,B
STU00083,Big Data Analytics,28,19,20,67,C
STU00083,Computer Networks,28,16,25,69,C
STU00083,Database Management,38,24,27,89,A
STU00083,Machine Learning,26,24,20,70,B
STU00083,Operating Systems,36,28,21,85,A
STU00084,Big Data Analytics,36,24,26,86,A
STU00084,Computer Networks,28,27,24,79,B
STU00084,Database Management,25,23,26,74,B
STU00084,Machine Learning,31,27,23,81,B
STU00084,Operating Systems,30,17,23,70,B
STU00085,Big Data Analytics,20,28,29,77,B
STU00085,Computer Networks,39,30,30,99,A
STU00085,Database Management,25,21,25,71,B
STU00085,Machine Learning,34,24,24,82,B
STU00085,Operating Systems,21,23,30,74,B
STU00086,Big Data Analytics,27,22,24,73,B
STU00086,Computer Networks,37,20,21,78,B
STU00086,Database Management,30,20,25,75,B
STU00086,Machine Learning,27,21,24,72,B
STU00086,Operating Systems,24,29,29,82,B
STU00087,Big Data Analytics,20,16,21,57,C
STU00087,Computer Networks,34,27,30,91,A
STU00087,Database Management,29,22,23,74,B
STU00087,Machine Learning,34,17,21,72,B
STU00087,Operating Systems,23,16,20,59,C
STU00088,Big Data Analytics,26,16,30,72,B
STU00088,Computer Networks,31,24,23,78,B
STU00088,Database Management,29,26,20,75,B
STU00088,Machine Learning,20,19,23,62,C
STU00088,Operating Systems,35,17,28,80,B
STU00089,Big Data Analytics,37,16,29,82,B
STU00089,Computer Networks,33,26,26,85,A
STU00089,Database Management,22,17,29,68,C
STU00089,Machine Learning,21,26,23,70,B
STU00089,Operating Systems,36,21,30,87,A
STU00090,Big Data Analytics,22,29,24,75,B
STU00090,Computer Networks,36,21,28,85,A
STU00090,Database Management,30,19,29,78,B
STU00090,Machine Learning,25,17,21,63,C
STU00090,Operating Systems,38,24,20,82,B
STU00091,Big Data Analytics,34,17,24,75,B
STU00091,Computer Networks,28,22,23,73,B
STU00091,Database Management,38,17,20,75,B
STU00091,Machine Learning,37,19,20,76,B
STU00091,Operating Systems,27,27,29,83,B
STU00092,Big Data Analytics,37,27,27,91,A
STU00092,Computer Networks,37,30,26,93,A
STU00092,Database Management,20,20,26,66,C
STU00092,Machine Learning,35,20,28,83,B
STU00092,Operating Systems,31,30,20,81,B
STU00093,Big Data Analytics,36,26,29,91,A
STU00093,Computer Networks,38,27,26,91,A
STU00093,Database Management,32,27,22,81,B
STU00093,Machine Learning,29,18,21,68,C
STU00093,Operating Systems,39,18,28,85,A
STU00094,Big Data Analytics,37,21,25,83,B
STU00094,Computer Networks,20,21,28,69,C
STU00094,Database Management,34,27,22,83,B
STU00094,Machine Learning,39,23,24,86,A
STU00094,Operating Systems,32,17,26,75,B
STU00095,Big Data Analytics,29,15,26,70,B
STU00095,Computer Networks,36,15,20,71,B
STU00095,Database Management,34,25,26,85,A
STU00095,Machine Learning,39,30,28,97,A
STU00095,Operating Systems,25,28,25,78,B
STU00096,Big Data Analytics,34,21,22,77,B
STU00096,Computer Networks,22,19,22,63,C
STU00096,Database Management,23,24,29,76,B
STU00096,Machine Learning,34,27,28,89,A
STU00096,Operating Systems,28,21,20,69,C
STU00097,Big Data Analytics,38,15,21,74,B
STU00097,Computer Networks,29,19,23,71,B
STU00097,Database Management,21,20,26,67,C
STU00097,Machine Learning,24,20,23,67,C
STU00097,Operating Systems,28,25,27,80,B
STU00098,Big Data Analytics,31,30,28,89,A
STU00098,Computer Networks,25,20,23,68,C
STU00098,Database Management,25,20,24,69,C
STU00098,Machine Learning,29,24,23,76,B
STU00098,Operating Systems,36,24,24,84,B
STU00099,Big Data Analytics,35,25,26,86,A
STU00099,Computer Networks,39,30,25,94,A
STU00099,Database Management,36,30,23,89,A
STU00099,Machine Learning,23,30,29,82,B
STU00099,Operating Systems,31,24,23,78,B
STU00100,Big Data Analytics,36,20,27,83,B
STU00100,Computer Networks,34,25,29,88,A
STU00100,Database Management,38,23,23,84,B
STU00100,Machine Learning,25,16,27,68,C
STU00100,Operating Systems,27,18,22,67,C
STU00101,Big Data Analytics,35,22,20,77,B
STU00101,Computer Networks,22,15,21,58,C
STU00101,Database Management,33,23,26,82,B
STU00101,Machine Learning,40,18,20,78,B
STU00101,Operating Systems,29,26,27,82,B
STU00102,Big Data Analytics,22,21,21,64,C
STU00102,Computer Networks,27,29,28,84,B
STU00102,Database Management,33,18,21,72,B
STU00102,Machine Learning,27,17,28,72,B
STU00102,Operating Systems,37,27,29,93,A
STU00103,Big Data Analytics,33,24,28,85,A
STU00103,Computer Networks,30,20,27,77,B
STU00103,Database Management,25,19,27,71,B
STU00103,Machine Learning,22,19,29,70,B
STU00103,Operating Systems,36,25,21,82,B
STU00104,Big Data Analytics,29,26,20,75,B
STU00104,Computer Networks,35,29,23,87,A
STU00104,Database Management,38,20,28,86,A
STU00104,Machine Learning,29,26,25,80,B
STU00104,Operating Systems,31,28,25,84,B
STU00105,Big Data Analytics,23,23,27,73,B
STU00105,Computer Networks,39,15,27,81,B
STU00105,Database Management,29,27,30,86,A
STU00105,Machine Learning,28,27,29,84,B
STU00105,Operating Systems,36,23,20,79,B
STU00106,Big Data Analytics,30,24,21,75,B
STU00106,Computer Networks,26,15,27,68,C
STU00106,Database Management,20,15,24,59,C
STU00106,Machine Learning,33,22,30,85,A
STU00106,Operating Systems,39,19,26,84,B
STU00107,Big Data Analytics,40,16,24,80,B
STU00107,Computer Networks,21,16,20,57,C
STU00107,Database Management,30,20,23,73,B
STU00107,Machine Learning,21,28,24,73,B
STU00107,Operating Systems,24,15,20,59,C
STU00108,Big Data Analytics,40,25,23,88,A
STU00108,Computer Networks,25,17,29,71,B
STU00108,Database Management,40,24,21,85,A
STU00108,Machine Learning,39,22,28,89,A
STU00108,Operating Systems,22,20,20,62,C
STU00109,Big Data Analytics,28,21,25,74,B
STU00109,Computer Networks,25,28,23,76,B
STU00109,Database Management,35,30,25,90,A
STU00109,Machine Learning,33,18,29,80,B
STU00109,Operating Systems,29,20,27,76,B
STU00110,Big Data Analytics,30,25,24,79,B
STU00110,Computer Networks,20,23,28,71,B
STU00110,Database Management,31,29,26,86,A
STU00110,Machine Learning,26,30,23,79,B
STU00110,Operating Systems,26,16,20,62,C
STU00111,Big Data Analytics,31,30,22,83,B
STU00111,Computer Networks,24,30,24,78,B
STU00111,Database Management,23,27,22,72,B
STU00111,Machine Learning,33,28,26,87,A
STU00111,Operating Systems,31,25,20,76,B
STU00112,Big Data Analytics,32,17,24,73,B
STU00112,Computer Networks,33,24,26,83,B
STU00112,Database Management,29,20,21,70,B
STU00112,Machine Learning,30,25,25,80,B
STU00112,Operating Systems,24,20,26,70,B
STU00113,Big Data Analytics,29,18,21,68,C
STU00113,Computer Networks,36,22,21,79,B
STU00113,Database Management,29,18,22,69,C
STU00113,Machine Learning,28,18,22,68,C
STU00113,Operating Systems,25,21,22,68,C
STU00114,Big Data Analytics,23,24,22,69,C
STU00114,Computer Networks,37,24,24,85,A
STU00114,Database Management,39,22,22,83,B
STU00114,Machine Learning,31,28,20,79,B
STU00114,Operating Systems,32,26,23,81,B
STU00115,Big Data Analytics,37,25,21,83,B
STU00115,Computer Networks,25,19,20,64,C
STU00115,Database Management,34,26,21,81,B
STU00115,Machine Learning,27,27,24,78,B
STU00115,Operating Systems,26,25,28,79,B
STU00116,Big Data Analytics,22,16,21,59,C
STU00116,Computer Networks,35,19,29,83,B
STU00116,Database Management,24,17,27,68,C
STU00116,Machine Learning,33,29,28,90,A
STU00116,Operating Systems,32,21,22,75,B
STU00117,Big Data Analytics,25,30,28,83,B
STU00117,Computer Networks,30,29,22,81,B
STU00117,Database Management,39,30,20,89,A
STU00117,Machine Learning,22,17,28,67,C
STU00117,Operating Systems,21,19,20,60,C
STU00118,Big Data Analytics,35,28,23,86,A
STU00118,Computer Networks,25,19,23,67,C
STU00118,Database Management,23,17,30,70,B
STU00118,Machine Learning,22,27,23,72,B
STU00118,Operating Systems,40,28,22,90,A
STU00119,Big Data Analytics,26,27,28,81,B
STU00119,Computer Networks,36,22,27,85,A
STU00119,Database Management,24,18,24,66,C
STU00119,Machine Learning,37,24,25,86,A
STU00119,Operating Systems,31,20,22,73,B
STU00120,Big Data Analytics,37,24,27,88,A
STU00120,Computer Networks,37,27,25,89,A
STU00120,Database Management,27,29,21,77,B
STU00120,Machine Learning,40,18,27,85,A
STU00120,Operating Systems,22,20,20,62,C
STU00121,Big Data Analytics,40,26,25,91,A
STU00121,Computer Networks,23,16,30,69,C
STU00121,Database Management,36,16,27,79,B
STU00121,Machine Learning,22,15,29,66,C
STU00121,Operating Systems,40,19,28,87,A
STU00122,Big Data Analytics,39,16,30,85,A
STU00122,Computer Networks,23,15,25,63,C
STU00122,Database Management,25,30,30,85,A
STU00122,Machine Learning,27,28,26,81,B
STU00122,Operating Systems,36,21,23,80,B
STU00123,Big Data Analytics,36,17,27,80,B
STU00123,Computer Networks,40,23,25,88,A
STU00123,Database Management,31,25,30,86,A
STU00123,Machine Learning,27,17,29,73,B
STU00123,Operating Systems,35,27,30,92,A
STU00124,Big Data Analytics,24,26,29,79,B
STU00124,Computer Networks,24,19,26,69,C
STU00124,Database Management,35,19,28,82,B
STU00124,Machine Learning,36,26,23,85,A
STU00124,Operating Systems,34,16,21,71,B
STU00125,Big Data Analytics,39,23,28,90,A
STU00125,Computer Networks,35,25,26,86,A
STU00125,Database Management,22,30,25,77,B
STU00125,Machine Learning,32,28,24,84,B
STU00125,Operating Systems,21,26,20,67,C
STU00126,Big Data Analytics,33,26,30,89,A
STU00126,Computer Networks,37,17,25,79,B
STU00126,Database Management,29,30,27,86,A
STU00126,Machine Learning,30,29,26,85,A
STU00126,Operating Systems,27,21,21,69,C
STU00127,Big Data Analytics,31,26,30,87,A
STU00127,Computer Networks,32,26,30,88,A
STU00127,Database Management,22,18,23,63,C
