record_id,student_id,study_date,study_hours,sleep_hours,library_hours,self_study_hours,distraction_hours,practice_questions,study_consistency
SB000051,STU00006,2026-03-09,5.61,7.11,0.67,1.86,1.51,0,10
SB000052,STU00006,2026-04-02,3.13,7.51,3.72,0.95,0.39,15,1
SB000053,STU00006,2026-05-04,1.76,6.84,3.69,5.63,2.03,29,7
SB000054,STU00006,2026-05-26,6.03,8.52,3.31,2.59,1.61,1,3
SB000055,STU00006,2026-04-12,5.27,5.03,2.82,3.17,0.62,25,2
SB000056,STU00006,2026-05-26,7.7,5.72,1.81,3.71,4.48,42,3
SB000057,STU00006,2026-03-06,4.43,5.65,3.88,1.83,3.09,15,4
SB000058,STU00006,2026-01-26,2.76,6.98,0.38,4.65,4.25,7,9
SB000059,STU00006,2026-01-16,1.1,6.9,1.44,3.07,0.04,27,2
SB000060,STU00006,2026-03-26,5.74,4.93,1.31,4.67,3.87,38,10
SB000061,STU00007,2026-03-05,3.11,6.47,4.83,3.58,3.28,45,9
SB000062,STU00007,2026-05-19,2.42,7.39,3.71,5.09,3.78,39,2
SB000063,STU00007,2026-05-02,4.81,8.89,3.73,4.32,2.35,41,5
SB000064,STU00007,2026-03-27,0.68,7.21,0.62,2.77,1.86,41,1
SB000065,STU00007,2026-03-17,7.56,4.81,1.92,4.92,3.68,37,8
SB000066,STU00007,2026-01-15,2.6,7.33,1.44,2.73,3.1,47,10
SB000067,STU00007,2026-04-20,6.75,6.49,1.85,5.46,2.2,5,4
SB000068,STU00007,2026-01-08,2.64,8.64,4.92,4.57,3.07,37,1
SB000069,STU00007,2026-01-15,6.66,5.8,0.79,4.54,3.31,29,4
SB000070,STU00007,2026-04-08,3.66,8.55,0.29,2.51,4.94,15,10
SB000071,STU00008,2026-01-07,6.4,7.54,0.78,5.49,3.82,6,3
SB000072,STU00008,2026-05-05,2.7,4.79,0.6,3.12,4.96,7,7
SB000073,STU00008,2026-02-06,0.65,7.57,3.89,5.96,4.3,3,10
SB000074,STU00008,2026-04-14,7.48,8.08,0.35,5.35,3.11,13,9
SB000075,STU00008,2026-04-25,5.33,5.28,2.31,4.82,4.31,10,10
SB000076,STU00008,2026-02-16,1.8,6.49,4.64,3.31,4.21,21,2
SB000077,STU00008,2026-06-10,2.84,5.84,0.25,1.67,3.69,47,4
SB000078,STU00008,2026-05-08,1.93,6.84,4.83,2.43,4.24,42,7
SB000079,STU00008,2026-06-24,3.03,8.76,2.51,5.6,1.47,10,1
SB000080,STU00008,2026-06-29,2.01,8.02,0.97,4.46,1.17,32,9
SB000081,STU00009,2026-06-28,7.76,7.7,3.18,2.15,0.31,21,3
SB000082,STU00009,2026-05-20,2.84,6.18,4.11,2.06,3.75,38,1
SB000083,STU00009,2026-05-03,7.6,5.07,0.94,4.0,3.26,20,1
SB000084,STU00009,2026-01-19,1.49,5.94,1.15,2.04,1.75,7,5
SB000085,STU00009,2026-05-27,3.02,7.65,4.23,3.9,0.95,47,7
SB000086,STU00009,2026-03-29,3.12,5.82,2.21,1.79,4.95,38,3
SB000087,STU00009,2026-06-05,6.07,7.24,3.81,2.21,1.07,41,8
SB000088,STU00009,2026-06-07,3.32,4.88,0.1,3.78,3.81,14,8
SB000089,STU00009,2026-01-29,1.5,5.33,1.42,0.79,2.32,40,2
SB000090,STU00009,2026-04-07,3.57,6.89,3.6,1.26,2.81,15,3
SB000091,STU00010,2026-05-16,3.17,5.56,1.79,1.88,4.26,1,7
SB000092,STU00010,2026-04-08,7.47,7.54,3.12,4.35,3.53,46,1
SB000093,STU00010,2026-04-09,2.92,8.32,1.34,0.69,4.18,37,9
SB000094,STU00010,2026-05-02,6.02,6.8,1.76,4.54,2.25,8,1
SB000095,STU00010,2026-06-13,6.83,7.36,0.93,1.44,2.6,33,5
SB000096,STU00010,2026-02-11,5.41,8.64,3.44,1.27,1.99,32,9
SB000097,STU00010,2026-06-12,3.66,5.04,2.37,3.59,3.55,24,3
SB000098,STU00010,2026-01-04,2.25,6.36,1.29,1.63,2.99,42,10
SB000099,STU00010,2026-03-03,6.45,6.43,4.54,2.61,1.8,15,5
SB000100,STU00010,2026-01-17,1.61,6.43,3.93,0.64,3.95,45,7
SB000101,STU00011,2026-02-05,3.98,6.64,3.81,4.77,4.23,38,8
SB000102,STU00011,2026-04-23,5.77,7.0,0.88,0.84,0.52,39,3
SB000103,STU00011,2026-05-05,5.71,6.84,4.73,5.19,2.06,0,3
SB000104,STU00011,2026-05-10,3.14,4.55,3.99,2.64,1.49,14,9
SB000105,STU00011,2026-06-21,5.76,5.56,3.77,5.93,4.51,15,8
SB000106,STU00011,2026-05-12,6.82,6.41,1.69,5.05,0.09,42,1
SB000107,STU00011,2026-01-06,6.69,7.11,1.9,5.47,1.08,35,2
SB000108,STU00011,2026-05-10,0.82,5.7,2.6,4.68,1.68,46,3
SB000109,STU00011,2026-02-19,3.32,7.17,4.84,3.2,0.85,27,9
SB000110,STU00011,2026-02-11,1.37,7.46,1.56,1.19,1.29,19,9
SB000111,STU00012,2026-04-02,7.59,5.65,2.57,2.42,1.19,32,10
SB000112,STU00012,2026-04-07,4.31,8.54,1.54,3.23,2.92,34,8
SB000113,STU00012,2026-06-11,7.24,6.45,1.94,3.68,0.95,0,3
SB000114,STU00012,2026-06-29,3.61,7.37,4.44,1.57,2.37,38,5
SB000115,STU00012,2026-03-08,2.11,8.79,2.63,1.45,3.67,13,3
SB000116,STU00012,2026-01-11,1.76,7.83,3.38,2.91,0.75,24,8
SB000117,STU00012,2026-05-31,3.87,5.44,2.67,5.85,3.62,49,3
SB000118,STU00012,2026-02-04,3.21,7.0,4.46,2.1,1.17,38,9
SB000119,STU00012,2026-06-15,4.1,7.08,3.64,4.53,2.21,27,10
SB000120,STU00012,2026-03-10,3.78,7.71,3.02,1.17,1.61,25,5
SB000121,STU00013,2026-05-20,0.96,7.64,2.15,2.93,0.35,17,10
SB000122,STU00013,2026-06-25,6.91,8.98,3.26,2.76,4.76,46,3
SB000123,STU00013,2026-01-21,0.87,6.6,2.59,2.19,1.91,50,4
SB000124,STU00013,2026-03-22,3.03,5.18,2.91,1.92,1.37,36,1
SB000125,STU00013,2026-03-28,6.15,5.17,0.85,4.67,1.95,36,3
SB000126,STU00013,2026-01-14,1.0,5.66,0.72,2.29,0.99,26,7
SB000127,STU00013,2026-03-17,4.6,5.15,4.44,4.64,4.61,1,10
SB000128,STU00013,2026-05-24,2.69,7.05,3.04,3.71,2.06,30,2
SB000129,STU00013,2026-03-23,3.11,7.66,0.32,5.79,3.6,44,3
SB000130,STU00013,2026-05-11,0.9,6.09,1.03,3.03,4.41,16,2
SB000131,STU00014,2026-05-14,0.71,6.22,0.65,2.33,2.56,36,4
SB000132,STU00014,2026-01-12,4.8,8.94,0.93,2.82,0.17,5,6
SB000133,STU00014,2026-02-12,5.38,7.35,0.53,4.78,1.46,3,6
SB000134,STU00014,2026-06-23,4.93,5.42,4.94,4.38,2.63,9,4
SB000135,STU00014,2026-02-14,2.07,8.26,4.14,0.86,1.18,46,1
SB000136,STU00014,2026-05-12,5.31,6.13,3.93,5.28,1.75,34,2
SB000137,STU00014,2026-02-27,4.46,7.54,1.32,4.48,1.68,9,4
SB000138,STU00014,2026-03-28,3.0,8.08,4.58,1.89,3.13,30,2
SB000139,STU00014,2026-04-06,3.56,6.03,1.57,5.01,2.05,21,4
SB000140,STU00014,2026-02-06,3.06,8.13,2.0,3.08,4.71,9,10
SB000141,STU00015,2026-04-01,1.33,4.91,4.95,3.66,4.43,37,5
SB000142,STU00015,2026-05-18,2.15,8.68,2.18,1.24,4.59,43,4
SB000143,STU00015,2026-05-29,4.13,6.98,4.48,2.54,4.35,6,7
SB000144,STU00015,2026-06-28,5.85,6.29,1.31,3.38,0.81,29,9
SB000145,STU00015,2026-01-26,2.13,8.19,1.48,3.86,2.04,20,10
SB000146,STU00015,2026-01-15,2.49,6.6,4.64,3.44,3.84,31,8
SB000147,STU00015,2026-02-27,6.19,5.0,1.74,1.11,1.7,35,9
SB000148,STU00015,2026-04-17,5.91,8.16,2.62,2.9,3.98,5,10
SB000149,STU00015,2026-05-19,7.53,5.19,2.04,1.68,3.68,27,6
SB000150,STU00015,2026-02-13,6.86,8.77,1.29,1.14,3.42,1,10
SB000151,STU00016,2026-02-12,4.28,6.26,3.04,3.21,2.45,12,3
SB000152,STU00016,2026-02-02,7.88,6.13,1.74,4.33,0.94,32,4
SB000153,STU00016,2026-01-09,6.71,7.51,3.09,4.53,2.85,15,1
SB000154,STU00016,2026-02-05,3.79,7.49,1.17,1.21,1.49,14,5
SB000155,STU00016,2026-02-06,4.04,4.66,1.64,5.58,3.66,10,7
SB000156,STU00016,2026-06-21,1.77,5.93,0.64,4.02,4.96,0,1
SB000157,STU00016,2026-03-26,2.84,6.38,3.41,5.7,0.66,40,2
SB000158,STU00016,2026-04-15,0.62,6.42,4.82,3.2,0.33,6,1
SB000159,STU00016,2026-04-22,2.73,7.75,2.89,4.65,0.61,3,3
SB000160,STU00016,2026-04-17,3.92,7.09,1.86,5.25,2.82,7,4
SB000161,STU00017,2026-03-15,6.55,8.89,0.06,4.44,1.39,11,8
SB000162,STU00017,2026-03-13,0.62,9.0,2.78,2.1,3.62,6,5
SB000163,STU00017,2026-05-17,5.76,8.54,3.65,5.86,1.54,23,1
SB000164,STU00017,2026-04-01,5.12,7.87,4.28,2.58,3.49,25,9
SB000165,STU00017,2026-05-07,3.99,8.83,3.23,2.1,4.49,34,9
SB000166,STU00017,2026-05-13,6.74,5.38,2.8,5.91,2.28,29,10
SB000167,STU00017,2026-05-27,1.69,5.21,3.4,4.0,1.6,11,8
SB000168,STU00017,2026-05-06,0.52,5.11,1.93,4.31,3.0,18,7
SB000169,STU00017,2026-04-22,2.68,6.56,4.91,5.29,2.64,8,7
SB000170,STU00017,2026-06-19,7.55,5.38,3.35,5.67,2.1,38,7
SB000171,STU00018,2026-06-13,5.89,6.16,2.53,5.69,3.0,32,9
SB000172,STU00018,2026-02-27,0.9,8.8,3.19,5.69,4.22,39,8
SB000173,STU00018,2026-05-17,3.28,6.17,3.85,1.23,1.84,21,7
SB000174,STU00018,2026-02-20,7.57,4.59,4.95,5.67,2.33,27,5
SB000175,STU00018,2026-06-07,6.17,5.56,3.06,5.49,2.29,8,1
SB000176,STU00018,2026-03-09,5.11,6.47,0.99,0.73,0.77,43,7
SB000177,STU00018,2026-02-22,2.51,6.1,2.99,1.5,3.89,26,4
SB000178,STU00018,2026-04-19,7.57,5.03,4.04,2.17,3.24,27,7
SB000179,STU00018,2026-02-28,4.91,8.63,4.79,5.64,4.17,7,7
SB000180,STU00018,2026-05-15,4.33,6.96,4.46,1.49,0.29,38,10
SB000181,STU00019,2026-05-17,6.21,8.35,0.72,5.98,2.43,45,4
SB000182,STU00019,2026-06-29,1.73,5.52,0.21,1.24,3.97,14,9
SB000183,STU00019,2026-03-14,5.02,8.18,1.06,1.64,1.68,27,4
SB000184,STU00019,2026-06-17,7.59,7.65,0.47,5.04,3.78,21,9
SB000185,STU00019,2026-04-15,4.89,6.34,4.3,4.81,1.23,46,4
SB000186,STU00019,2026-06-19,4.96,7.23,4.1,2.31,2.16,42,7
SB000187,STU00019,2026-06-10,7.4,5.64,0.9,5.07,2.07,42,9
SB000188,STU00019,2026-03-04,5.25,4.96,2.37,2.35,0.55,26,9
SB000189,STU00019,2026-03-26,1.65,7.45,4.55,1.88,2.74,1,3
SB000190,STU00019,2026-06-14,1.59,5.62,4.87,1.03,3.67,37,2
SB000191,STU00020,2026-01-05,0.54,7.1,0.99,4.67,2.97,30,1
SB000192,STU00020,2026-01-09,7.29,6.98,0.51,1.04,2.85,25,9
SB000193,STU00020,2026-03-06,2.53,5.71,2.86,4.07,4.32,41,3
SB000194,STU00020,2026-05-24,7.65,6.27,3.69,4.65,4.75,44,3
SB000195,STU00020,2026-01-09,0.62,7.36,3.63,3.13,3.32,45,9
SB000196,STU00020,2026-06-11,0.67,8.27,0.95,0.68,0.29,17,4
SB000197,STU00020,2026-01-07,1.45,4.52,1.97,3.92,4.36,36,4
SB000198,STU00020,2026-06-22,6.18,4.78,4.29,4.89,1.24,28,7
SB000199,STU00020,2026-06-23,4.23,7.39,1.1,2.41,3.33,35,1
SB000200,STU00020,2026-02-13,7.06,7.42,4.29,5.03,1.14,36,3
SB000201,STU00021,2026-04-19,1.34,5.23,1.37,5.04,2.29,17,4
SB000202,STU00021,2026-03-17,3.91,6.9,0.71,2.2,1.16,29,1
SB000203,STU00021,2026-04-09,4.93,7.44,2.07,2.51,1.43,0,1
SB000204,STU00021,2026-04-23,2.02,7.04,2.06,1.93,2.33,9,7
SB000205,STU00021,2026-03-29,2.48,8.6,2.97,2.66,1.92,40,8
SB000206,STU00021,2026-03-14,0.83,4.9,1.3,2.19,1.6,3,5
SB000207,STU00021,2026-05-23,2.3,7.85,0.22,3.89,1.82,27,8
SB000208,STU00021,2026-04-16,6.57,6.2,4.56,4.22,1.41,7,10
SB000209,STU00021,2026-02-23,2.75,8.75,4.56,1.12,1.68,8,4
SB000210,STU00021,2026-06-04,2.7,6.22,2.44,1.99,4.38,35,3
SB000211,STU00022,2026-03-29,2.54,8.99,1.91,1.61,2.05,4,4
SB000212,STU00022,2026-04-29,5.54,6.52,2.49,5.51,1.43,17,1
SB000213,STU00022,2026-03-22,1.41,7.93,3.55,3.03,3.96,18,5
SB000214,STU00022,2026-04-30,6.8,8.3,1.39,5.45,1.85,31,7
SB000215,STU00022,2026-01-02,3.42,6.7,2.1,4.17,2.93,7,5
SB000216,STU00022,2026-06-15,1.97,5.46,0.05,4.81,1.53,4,1
SB000217,STU00022,2026-01-23,0.86,8.13,2.86,4.62,1.31,13,9
SB000218,STU00022,2026-04-15,6.8,5.62,1.3,4.08,4.56,9,9
SB000219,STU00022,2026-03-20,1.52,7.59,4.31,3.82,2.81,42,7
SB000220,STU00022,2026-01-04,6.22,5.85,2.24,0.98,1.93,22,3
SB000221,STU00023,2026-01-25,4.79,6.13,1.77,1.33,0.47,11,8
SB000222,STU00023,2026-05-10,5.84,6.98,0.28,3.34,3.15,18,2
SB000223,STU00023,2026-02-24,6.05,7.25,4.88,2.12,4.8,3,1
SB000224,STU00023,2026-04-10,6.54,5.53,4.48,3.8,4.05,34,1
SB000225,STU00023,2026-06-20,7.83,8.97,4.73,4.26,1.54,24,2
SB000226,STU00023,2026-03-21,3.35,8.01,0.84,0.56,0.75,7,10
SB000227,STU00023,2026-03-13,7.76,5.64,0.69,5.23,1.7,29,4
SB000228,STU00023,2026-05-12,2.6,7.21,1.07,2.83,4.12,26,4
SB000229,STU00023,2026-02-01,7.45,4.94,3.22,3.57,4.7,41,3
SB000230,STU00023,2026-04-20,3.98,7.85,3.3,2.1,2.87,41,6
SB000231,STU00024,2026-06-05,4.0,8.22,3.22,4.6,2.78,20,2
SB000232,STU00024,2026-01-21,7.17,8.6,4.12,1.02,1.93,33,7
SB000233,STU00024,2026-03-03,6.16,6.92,4.81,2.5,0.06,45,1
SB000234,STU00024,2026-04-11,0.56,4.9,3.16,2.73,3.63,10,7
SB000235,STU00024,2026-02-13,6.63,4.92,4.07,4.33,3.3,12,7
SB000236,STU00024,2026-04-27,6.75,7.03,0.19,5.21,0.07,43,3
SB000237,STU00024,2026-03-08,0.89,8.4,3.59,1.5,1.13,16,2
SB000238,STU00024,2026-05-20,4.57,6.78,0.23,1.36,3.47,33,3
SB000239,STU00024,2026-01-12,0.56,8.28,3.6,1.99,0.66,1,1
SB000240,STU00024,2026-04-25,6.79,7.06,0.04,0.69,0.13,2,3
SB000241,STU00025,2026-04-21,2.19,5.93,2.56,5.84,4.42,24,10
SB000242,STU00025,2026-06-19,2.4,8.12,0.24,1.99,2.94,48,8
SB000243,STU00025,2026-01-10,5.84,8.15,0.39,2.31,1.25,13,1
SB000244,STU00025,2026-03-27,5.13,7.96,4.54,1.69,3.48,11,8
SB000245,STU00025,2026-04-10,5.75,7.07,3.22,1.77,1.96,16,7
SB000246,STU00025,2026-01-17,7.16,8.32,3.8,2.85,3.52,40,6
SB000247,STU00025,2026-02-23,1.36,7.22,1.82,3.23,1.1,15,5
SB000248,STU00025,2026-02-02,5.41,6.37,0.39,1.73,3.96,30,8
SB000249,STU00025,2026-03-14,1.49,5.02,4.42,5.69,4.96,49,4
SB000250,STU00025,2026-03-31,4.98,8.75,4.52,4.32,2.49,22,6
SB000251,STU00026,2026-06-10,5.09,8.71,1.06,2.56,0.94,33,5
SB000252,STU00026,2026-01-20,0.87,4.79,4.02,3.57,0.79,7,3
SB000253,STU00026,2026-02-02,1.62,5.73,1.52,4.05,1.5,40,6
SB000254,STU00026,2026-05-14,6.53,7.37,4.29,0.51,3.91,36,1
SB000255,STU00026,2026-04-12,2.67,7.32,2.12,3.46,2.43,22,3
SB000256,STU00026,2026-01-28,6.49,7.23,1.11,5.33,3.38,37,3
SB000257,STU00026,2026-06-10,7.83,5.54,1.14,2.79,3.07,21,3
SB000258,STU00026,2026-01-24,5.39,7.95,2.31,0.95,1.78,46,7
SB000259,STU00026,2026-01-20,7.34,6.77,0.16,3.05,3.19,4,9
SB000260,STU00026,2026-04-20,1.06,6.85,1.85,1.74,2.25,8,7
SB000261,STU00027,2026-01-03,2.39,4.72,1.64,3.11,2.2,0,7
SB000262,STU00027,2026-05-11,3.7,8.65,1.81,4.1,1.76,22,8
SB000263,STU00027,2026-01-13,7.25,5.83,2.5,5.19,3.74,35,5
SB000264,STU00027,2026-03-19,5.29,8.58,1.73,2.84,2.37,40,10
SB000265,STU00027,2026-06-24,2.45,4.72,1.03,3.3,0.39,42,8
SB000266,STU00027,2026-01-24,1.17,8.97,0.08,5.03,3.64,23,8
SB000267,STU00027,2026-04-12,4.67,5.93,0.39,2.88,3.94,13,3
SB000268,STU00027,2026-02-21,2.48,6.7,4.54,0.81,3.89,22,3
SB000269,STU00027,2026-05-31,6.22,6.25,3.49,5.52,4.41,28,8
SB000270,STU00027,2026-01-28,6.25,4.55,2.7,3.33,0.81,6,3
SB000271,STU00028,2026-06-04,3.34,6.55,1.78,5.24,4.56,30,6
SB000272,STU00028,2026-01-25,7.09,4.56,2.76,4.72,2.71,49,5
SB000273,STU00028,2026-04-25,4.68,5.29,1.57,1.77,0.8,27,4
SB000274,STU00028,2026-03-28,1.38,7.35,3.53,4.61,0.01,28,7
SB000275,STU00028,2026-02-11,7.22,7.05,2.62,4.55,1.36,14,9
SB000276,STU00028,2026-02-20,1.5,5.07,1.88,5.06,1.87,44,3
SB000277,STU00028,2026-04-15,1.94,8.97,4.96,2.6,4.11,21,5
SB000278,STU00028,2026-03-20,5.8,5.2,3.65,1.05,4.43,47,5
SB000279,STU00028,2026-01-17,5.13,6.34,3.64,3.25,0.93,18,4
SB000280,STU00028,2026-02-13,7.61,7.9,4.45,0.82,0.78,32,3
SB000281,STU00029,2026-02-03,2.85,5.89,3.18,2.71,2.96,30,8
SB000282,STU00029,2026-04-30,2.74,5.69,1.99,1.46,3.13,29,6
SB000283,STU00029,2026-01-18,6.78,8.0,4.38,1.12,2.66,23,4
SB000284,STU00029,2026-04-14,7.73,8.53,0.65,4.78,3.35,15,5
SB000285,STU00029,2026-03-26,6.46,8.89,1.23,0.88,1.43,48,2
SB000286,STU00029,2026-03-27,3.95,8.2,0.6,4.4,4.84,49,8
SB000287,STU00029,2026-03-11,1.56,7.59,3.78,1.09,2.64,49,10
SB000288,STU00029,2026-03-06,6.42,8.69,4.8,3.73,3.1,38,8
SB000289,STU00029,2026-03-20,5.72,7.48,2.0,3.33,4.34,21,1
SB000290,STU00029,2026-04-03,2.46,6.9,3.63,2.41,2.3,43,7
SB000291,STU00030,2026-01-18,6.62,7.82,4.3,0.67,2.54,25,2
SB000292,STU00030,2026-06-17,2.23,7.41,4.65,0.58,2.83,40,5
SB000293,STU00030,2026-02-03,7.21,5.94,2.95,5.21,4.55,22,3
SB000294,STU00030,2026-06-05,2.93,5.76,0.24,1.9,2.07,29,4
SB000295,STU00030,2026-06-15,4.88,5.09,0.7,4.31,2.23,37,1
SB000296,STU00030,2026-04-16,1.21,6.2,0.52,5.99,2.0,49,9
SB000297,STU00030,2026-06-29,2.89,5.26,0.03,1.0,2.42,7,7
SB000298,STU00030,2026-04-09,2.06,7.18,3.31,1.62,3.31,33,4
SB000299,STU00030,2026-04-11,1.9,6.0,1.32,4.18,2.87,30,9
SB000300,STU00030,2026-03-04,2.02,6.63,3.57,5.74,0.52,5,8
SB000301,STU00031,2026-01-14,4.96,7.39,1.6,3.35,3.37,23,7
SB000302,STU00031,2026-03-03,1.44,5.63,4.77,3.79,1.12,20,3
SB000303,STU00031,2026-03-22,2.35,4.7,0.23,1.15,3.99,9,8
SB000304,STU00031,2026-05-21,3.84,5.79,3.35,1.89,2.44,16,8
SB000305,STU00031,2026-01-03,1.75,4.53,3.67,5.77,2.97,20,8
SB000306,STU00031,2026-01-27,3.87,6.11,4.81,5.15,0.32,42,3
SB000307,STU00031,2026-03-02,7.46,4.51,2.85,3.94,2.17,36,1
SB000308,STU00031,2026-02-13,6.09,6.36,4.39,5.32,2.46,17,5
SB000309,STU00031,2026-01-25,3.57,6.48,1.66,5.76,4.85,49,10
SB000310,STU00031,2026-03-16,4.4,6.05,2.1,5.93,1.56,25,5
SB000311,STU00032,2026-04-13,3.57,5.53,3.79,4.62,1.0,25,8
SB000312,STU00032,2026-04-22,4.89,8.58,0.12,3.06,0.48,24,1
SB000313,STU00032,2026-01-18,3.0,5.8,1.09,5.03,4.86,45,4
SB000314,STU00032,2026-04-08,1.95,5.72,3.09,4.85,0.67,45,9
SB000315,STU00032,2026-03-16,6.34,8.95,1.26,3.23,1.76,27,8
SB000316,STU00032,2026-02-20,2.28,8.69,4.84,4.01,4.26,1,4
SB000317,STU00032,2026-05-17,2.93,7.24,1.22,3.57,3.24,5,8
SB000318,STU00032,2026-06-03,3.05,8.44,3.22,2.43,2.57,6,9
SB000319,STU00032,2026-02-26,3.66,6.94,3.96,5.22,3.36,39,9
SB000320,STU00032,2026-05-29,3.32,7.02,2.31,3.58,1.54,41,1
SB000321,STU00033,2026-04-05,7.24,7.18,1.86,5.06,1.87,34,1
SB000322,STU00033,2026-02-20,6.54,5.24,4.47,3.91,4.31,31,4
SB000323,STU00033,2026-05-06,7.41,6.64,0.47,1.68,3.99,47,10
SB000324,STU00033,2026-03-14,1.51,7.33,0.46,5.05,3.29,12,8
SB000325,STU00033,2026-05-29,0.77,8.03,3.25,1.2,4.73,7,7
SB000326,STU00033,2026-02-16,4.56,7.27,1.84,4.55,3.97,29,6
SB000327,STU00033,2026-04-27,4.42,6.32,0.43,5.88,1.46,49,1
SB000328,STU00033,2026-05-16,5.03,5.87,0.32,1.07,2.57,35,7
SB000329,STU00033,2026-01-04,4.15,4.63,3.96,1.47,4.24,32,5
SB000330,STU00033,2026-01-29,7.77,7.48,2.37,4.51,3.24,1,6
SB000331,STU00034,2026-01-10,1.71,5.07,2.61,1.22,4.23,45,3
SB000332,STU00034,2026-05-10,2.94,8.15,4.69,1.28,4.34,17,3
SB000333,STU00034,2026-04-09,2.62,7.93,4.88,1.6,3.8,15,7
SB000334,STU00034,2026-04-16,1.66,5.25,2.27,3.77,4.61,11,7
SB000335,STU00034,2026-04-01,6.29,8.1,4.92,4.71,2.48,23,8
SB000336,STU00034,2026-04-20,5.7,7.06,2.53,5.28,1.19,14,2
SB000337,STU00034,2026-01-31,5.01,6.08,3.96,0.87,2.3,23,2
SB000338,STU00034,2026-01-11,0.9,8.85,0.62,0.78,3.5,35,10
