activity_id,student_id,activity_date,login_count,video_minutes,resources_viewed,quiz_attempts,forum_posts,session_minutes
LMS000063,STU00004,2026-02-08,5,57,8,2,5,215
LMS000064,STU00004,2026-03-01,2,98,0,4,1,163
LMS000065,STU00004,2026-01-22,8,118,12,2,2,184
LMS000066,STU00004,2026-03-16,1,55,14,4,3,128
LMS000067,STU00004,2026-02-15,4,14,11,5,2,49
LMS000068,STU00004,2026-01-22,0,151,11,3,2,106
LMS000069,STU00004,2026-06-27,4,160,15,0,0,21
LMS000070,STU00004,2026-05-04,0,95,14,2,2,53
LMS000071,STU00004,2026-01-24,1,166,15,0,1,118
LMS000072,STU00004,2026-05-16,1,155,13,3,2,164
LMS000073,STU00004,2026-02-11,8,145,0,2,5,115
LMS000074,STU00004,2026-05-14,6,164,9,0,0,86
LMS000075,STU00004,2026-03-12,7,147,7,1,4,112
LMS000076,STU00004,2026-05-12,8,6,4,4,5,102
LMS000077,STU00004,2026-03-22,5,79,5,2,3,216
LMS000078,STU00004,2026-04-14,3,179,15,2,0,130
LMS000079,STU00004,2026-05-16,8,30,8,5,1,220
LMS000080,STU00004,2026-01-07,2,50,9,3,3,78
LMS000081,STU00005,2026-01-09,3,79,2,2,5,180
LMS000082,STU00005,2026-03-09,6,75,15,0,3,213
LMS000083,STU00005,2026-01-14,4,90,9,3,4,24
LMS000084,STU00005,2026-04-11,6,172,8,0,2,48
LMS000085,STU00005,2026-05-17,8,94,7,0,4,18
LMS000086,STU00005,2026-02-15,8,2,14,3,2,40
LMS000087,STU00005,2026-05-10,7,164,12,4,1,236
LMS000088,STU00005,2026-01-04,6,71,7,4,3,75
LMS000089,STU00005,2026-03-19,2,145,3,0,4,135
LMS000090,STU00005,2026-01-17,4,159,0,5,1,119
LMS000091,STU00005,2026-05-15,6,62,7,5,0,150
LMS000092,STU00005,2026-05-04,8,10,11,1,4,33
LMS000093,STU00005,2026-02-01,3,108,11,3,0,103
LMS000094,STU00005,2026-02-03,3,23,4,4,0,12
LMS000095,STU00005,2026-06-21,2,158,15,5,5,213
LMS000096,STU00005,2026-06-27,1,14,15,0,4,111
LMS000097,STU00005,2026-02-21,0,162,7,3,4,176
LMS000098,STU00005,2026-03-21,1,141,6,3,0,123
LMS000099,STU00005,2026-03-05,3,38,4,4,4,167
LMS000100,STU00005,2026-02-21,1,148,7,4,0,120
LMS000101,STU00006,2026-04-17,2,86,12,3,2,114
LMS000102,STU00006,2026-06-12,4,115,14,3,2,151
LMS000103,STU00006,2026-05-01,1,179,5,1,5,103
LMS000104,STU00006,2026-04-30,7,173,0,1,3,150
LMS000105,STU00006,2026-05-28,5,64,10,4,0,153
LMS000106,STU00006,2026-02-07,3,176,15,4,1,212
LMS000107,STU00006,2026-06-12,3,169,2,2,2,58
LMS000108,STU00006,2026-06-26,6,140,15,2,2,112
LMS000109,STU00006,2026-01-12,4,43,15,2,5,36
LMS000110,STU00006,2026-05-07,8,155,15,0,1,201
LMS000111,STU00006,2026-02-23,5,152,10,5,5,31
LMS000112,STU00006,2026-05-10,1,4,6,1,4,59
LMS000113,STU00006,2026-05-01,3,32,12,4,0,4
LMS000114,STU00006,2026-05-15,8,162,1,5,2,132
LMS000115,STU00006,2026-04-08,5,12,5,2,1,172
LMS000116,STU00006,2026-01-15,5,58,3,0,1,48
LMS000117,STU00006,2026-06-04,7,45,11,1,2,111
LMS000118,STU00006,2026-04-29,2,38,14,1,1,55
LMS000119,STU00006,2026-05-19,0,22,6,3,1,5
LMS000120,STU00006,2026-02-19,6,34,12,4,3,0
LMS000121,STU00007,2026-06-09,3,170,13,1,0,42
LMS000122,STU00007,2026-02-15,2,95,7,1,5,162
LMS000123,STU00007,2026-06-15,7,79,2,4,1,176
LMS000124,STU00007,2026-04-26,8,132,10,4,5,94
LMS000125,STU00007,2026-05-01,1,48,2,0,3,112
LMS000126,STU00007,2026-01-25,3,160,0,1,1,60
LMS000127,STU00007,2026-06-25,5,148,4,3,2,139
LMS000128,STU00007,2026-05-17,6,166,15,0,4,118
LMS000129,STU00007,2026-06-13,8,179,11,1,4,46
LMS000130,STU00007,2026-02-27,5,165,10,1,5,61
LMS000131,STU00007,2026-03-21,4,158,1,4,1,150
LMS000132,STU00007,2026-03-01,1,156,6,4,0,161
LMS000133,STU00007,2026-06-28,4,73,8,0,3,74
LMS000134,STU00007,2026-05-09,3,177,3,5,4,27
LMS000135,STU00007,2026-01-02,0,85,6,5,5,211
LMS000136,STU00007,2026-06-29,2,61,12,4,4,210
LMS000137,STU00007,2026-05-01,5,80,3,0,5,158
LMS000138,STU00007,2026-05-24,4,170,1,2,3,216
LMS000139,STU00007,2026-02-08,1,30,0,3,4,2
LMS000140,STU00007,2026-02-05,8,134,7,1,0,178
LMS000141,STU00008,2026-03-17,7,115,0,0,2,211
LMS000142,STU00008,2026-01-17,3,56,13,2,1,186
LMS000143,STU00008,2026-04-09,8,143,2,1,2,176
LMS000144,STU00008,2026-01-19,7,109,15,3,4,61
LMS000145,STU00008,2026-05-03,0,75,10,1,1,134
LMS000146,STU00008,2026-06-20,6,111,11,2,0,23
LMS000147,STU00008,2026-06-18,5,88,0,4,5,179
LMS000148,STU00008,2026-04-26,0,134,12,0,1,163
LMS000149,STU00008,2026-04-02,7,111,14,0,4,33
LMS000150,STU00008,2026-04-22,3,21,14,0,5,134
LMS000151,STU00008,2026-03-22,8,122,13,0,5,171
LMS000152,STU00008,2026-03-24,7,132,12,2,0,9
LMS000153,STU00008,2026-01-13,5,91,5,5,4,28
LMS000154,STU00008,2026-05-25,1,179,3,5,5,232
LMS000155,STU00008,2026-02-19,4,122,4,2,4,220
LMS000156,STU00008,2026-03-22,8,56,10,3,1,2
LMS000157,STU00008,2026-05-31,2,26,11,3,4,175
LMS000158,STU00008,2026-02-16,1,172,4,4,0,128
LMS000159,STU00008,2026-01-07,1,46,6,4,4,92
LMS000160,STU00008,2026-06-13,6,91,9,2,1,159
LMS000161,STU00009,2026-01-20,1,133,9,2,5,174
LMS000162,STU00009,2026-01-20,3,62,12,5,1,158
LMS000163,STU00009,2026-01-10,3,80,11,4,0,212
LMS000164,STU00009,2026-01-23,0,32,0,1,4,144
LMS000165,STU00009,2026-04-03,6,63,11,1,5,143
LMS000166,STU00009,2026-04-01,3,99,6,5,0,211
LMS000167,STU00009,2026-03-10,0,132,8,0,3,72
LMS000168,STU00009,2026-04-23,3,113,5,3,0,237
LMS000169,STU00009,2026-02-06,6,121,10,1,1,92
LMS000170,STU00009,2026-03-30,1,91,15,1,2,170
LMS000171,STU00009,2026-05-29,4,73,2,2,4,11
LMS000172,STU00009,2026-04-24,4,13,12,0,2,207
LMS000173,STU00009,2026-06-17,7,0,2,4,3,49
LMS000174,STU00009,2026-04-06,8,63,14,3,5,23
LMS000175,STU00009,2026-02-07,0,136,11,5,0,23
LMS000176,STU00009,2026-01-05,7,141,14,2,4,146
LMS000177,STU00009,2026-03-13,5,107,15,1,0,10
LMS000178,STU00009,2026-06-01,3,7,9,1,2,209
LMS000179,STU00009,2026-01-26,3,86,2,5,0,118
LMS000180,STU00009,2026-02-22,0,107,8,3,4,0
LMS000181,STU00010,2026-01-06,7,162,0,0,0,49
LMS000182,STU00010,2026-05-15,5,37,15,0,3,85
LMS000183,STU00010,2026-05-25,6,61,14,3,1,31
LMS000184,STU00010,2026-03-16,2,34,0,1,5,88
LMS000185,STU00010,2026-03-16,2,17,8,5,5,14
LMS000186,STU00010,2026-02-15,6,65,14,2,2,156
LMS000187,STU00010,2026-03-24,7,67,8,1,1,159
LMS000188,STU00010,2026-06-11,6,42,1,4,4,50
LMS000189,STU00010,2026-06-05,4,42,5,1,4,23
LMS000190,STU00010,2026-06-13,0,26,13,2,4,111
LMS000191,STU00010,2026-05-21,4,105,15,3,4,208
LMS000192,STU00010,2026-03-25,5,12,15,0,0,164
LMS000193,STU00010,2026-03-19,0,168,11,1,1,49
LMS000194,STU00010,2026-06-05,5,76,5,5,5,92
LMS000195,STU00010,2026-01-31,1,36,5,4,3,214
LMS000196,STU00010,2026-05-02,6,75,3,5,3,113
LMS000197,STU00010,2026-06-15,2,42,1,2,5,43
LMS000198,STU00010,2026-05-08,4,49,4,2,4,131
LMS000199,STU00010,2026-04-28,7,58,4,2,1,197
LMS000200,STU00010,2026-03-25,1,159,9,0,0,4
LMS000201,STU00011,2026-04-29,0,17,0,3,2,183
LMS000202,STU00011,2026-03-30,8,170,14,3,2,4
LMS000203,STU00011,2026-05-26,0,157,10,5,1,64
LMS000204,STU00011,2026-04-17,5,123,12,3,2,147
LMS000205,STU00011,2026-03-12,0,29,11,5,5,31
LMS000206,STU00011,2026-03-03,8,4,12,5,4,170
LMS000207,STU00011,2026-03-07,5,28,10,4,0,98
LMS000208,STU00011,2026-01-16,1,3,11,1,2,139
LMS000209,STU00011,2026-05-07,1,147,14,3,2,56
LMS000210,STU00011,2026-05-12,4,30,2,2,2,65
LMS000211,STU00011,2026-06-07,4,66,1,3,5,36
LMS000212,STU00011,2026-04-30,7,171,13,5,2,215
LMS000213,STU00011,2026-05-26,5,89,14,3,1,206
LMS000214,STU00011,2026-01-08,6,86,10,0,1,51
LMS000215,STU00011,2026-06-29,8,55,7,4,3,179
LMS000216,STU00011,2026-06-07,2,111,9,3,3,40
LMS000217,STU00011,2026-05-16,0,101,14,5,5,186
LMS000218,STU00011,2026-01-09,0,12,0,1,0,192
LMS000219,STU00011,2026-01-19,2,49,0,2,2,202
LMS000220,STU00011,2026-06-27,6,136,3,2,2,32
LMS000221,STU00012,2026-02-24,1,35,7,1,2,128
LMS000222,STU00012,2026-01-09,0,169,14,5,4,112
LMS000223,STU00012,2026-02-19,2,84,2,5,3,31
LMS000224,STU00012,2026-01-23,0,171,5,5,1,67
LMS000225,STU00012,2026-06-16,1,168,2,1,2,171
LMS000226,STU00012,2026-02-27,2,98,15,3,0,149
LMS000227,STU00012,2026-06-14,6,21,2,0,0,29
LMS000228,STU00012,2026-03-11,3,161,5,5,3,113
LMS000229,STU00012,2026-06-11,8,49,12,0,2,79
LMS000230,STU00012,2026-04-15,4,7,9,1,5,52
LMS000231,STU00012,2026-06-17,8,78,3,2,2,22
LMS000232,STU00012,2026-02-15,0,167,12,3,1,56
LMS000233,STU00012,2026-04-28,0,151,8,5,1,120
LMS000234,STU00012,2026-03-03,3,9,3,2,5,6
LMS000235,STU00012,2026-02-22,2,103,3,3,2,108
LMS000236,STU00012,2026-04-16,7,149,11,2,1,233
LMS000237,STU00012,2026-03-28,0,92,7,0,0,234
LMS000238,STU00012,2026-01-05,5,144,2,5,2,62
LMS000239,STU00012,2026-03-28,5,141,6,3,4,122
LMS000240,STU00012,2026-01-18,8,129,14,2,2,236
LMS000241,STU00013,2026-01-10,7,134,3,2,2,101
LMS000242,STU00013,2026-06-04,6,118,6,1,5,101
LMS000243,STU00013,2026-05-19,6,138,1,2,4,69
LMS000244,STU00013,2026-03-25,2,4,2,1,0,114
LMS000245,STU00013,2026-04-12,1,35,14,2,4,229
LMS000246,STU00013,2026-04-15,1,109,13,5,1,139
LMS000247,STU00013,2026-01-20,7,90,13,3,5,139
LMS000248,STU00013,2026-04-22,3,117,14,4,2,95
LMS000249,STU00013,2026-01-26,8,132,10,0,3,48
LMS000250,STU00013,2026-04-08,7,142,3,5,1,194
LMS000251,STU00013,2026-03-08,0,86,14,5,5,37
LMS000252,STU00013,2026-01-01,4,17,4,3,2,84
LMS000253,STU00013,2026-04-14,6,27,11,0,2,86
LMS000254,STU00013,2026-02-20,5,64,2,0,0,165
LMS000255,STU00013,2026-01-13,4,17,12,5,0,40
LMS000256,STU00013,2026-03-12,4,41,9,4,2,125
LMS000257,STU00013,2026-02-26,0,138,9,2,4,78
LMS000258,STU00013,2026-02-17,7,101,8,4,4,194
LMS000259,STU00013,2026-03-02,3,47,1,1,3,223
LMS000260,STU00013,2026-03-22,0,84,5,5,5,4
LMS000261,STU00014,2026-04-03,6,86,4,5,0,50
LMS000262,STU00014,2026-05-25,0,25,14,5,0,190
LMS000263,STU00014,2026-03-06,0,144,15,3,4,226
LMS000264,STU00014,2026-01-13,0,5,7,2,5,54
LMS000265,STU00014,2026-04-05,6,122,3,1,3,75
LMS000266,STU00014,2026-02-22,6,61,4,2,4,33
LMS000267,STU00014,2026-06-08,0,59,15,4,5,164
LMS000268,STU00014,2026-01-29,2,80,12,0,2,51
LMS000269,STU00014,2026-02-08,7,97,3,3,3,157
LMS000270,STU00014,2026-05-09,1,180,13,2,0,72
LMS000271,STU00014,2026-06-06,7,132,15,3,2,106
LMS000272,STU00014,2026-01-08,5,60,0,3,4,108
LMS000273,STU00014,2026-02-04,2,34,9,5,2,137
LMS000274,STU00014,2026-02-13,8,86,7,1,2,116
LMS000275,STU00014,2026-02-14,1,174,15,0,5,87
LMS000276,STU00014,2026-04-29,5,47,0,4,4,44
LMS000277,STU00014,2026-02-10,0,86,5,3,1,41
LMS000278,STU00014,2026-04-07,4,61,3,5,3,7
LMS000279,STU00014,2026-04-15,7,57,2,0,5,208
LMS000280,STU00014,2026-01-04,6,161,9,0,0,172
LMS000281,STU00015,2026-06-26,2,174,8,0,4,220
LMS000282,STU00015,2026-01-14,3,62,14,0,2,36
LMS000283,STU00015,2026-05-26,4,82,2,3,0,162
LMS000284,STU00015,2026-01-11,6,115,8,1,4,173
LMS000285,STU00015,2026-01-24,7,150,10,4,0,232
LMS000286,STU00015,2026-01-29,5,27,15,2,5,210
LMS000287,STU00015,2026-04-11,0,68,15,5,2,35
LMS000288,STU00015,2026-06-27,8,47,6,5,0,39
LMS000289,STU00015,2026-01-16,5,75,1,1,1,151
LMS000290,STU00015,2026-02-11,5,39,8,3,2,46
LMS000291,STU00015,2026-02-25,0,58,9,0,3,112
LMS000292,STU00015,2026-04-03,7,168,3,2,0,74
LMS000293,STU00015,2026-02-18,0,133,4,5,5,103
LMS000294,STU00015,2026-04-11,8,13,14,2,0,105
LMS000295,STU00015,2026-02-12,5,144,2,5,3,178
LMS000296,STU00015,2026-01-06,2,5,14,4,2,58
LMS000297,STU00015,2026-03-13,6,118,10,4,0,144
LMS000298,STU00015,2026-01-18,4,135,14,1,3,80
LMS000299,STU00015,2026-04-23,8,112,6,2,0,119
LMS000300,STU00015,2026-03-19,4,82,15,2,4,196
LMS000301,STU00016,2026-01-09,4,163,1,4,5,48
LMS000302,STU00016,2026-01-04,5,97,7,1,1,191
LMS000303,STU00016,2026-05-01,3,39,12,1,1,201
LMS000304,STU00016,2026-04-23,0,138,14,1,2,112
LMS000305,STU00016,2026-05-24,8,152,11,3,4,177
LMS000306,STU00016,2026-01-01,1,110,1,4,2,98
LMS000307,STU00016,2026-03-16,3,63,1,4,3,222
LMS000308,STU00016,2026-04-29,8,162,3,1,0,215
LMS000309,STU00016,2026-06-02,1,135,0,0,2,30
LMS000310,STU00016,2026-05-12,7,153,11,2,3,0
LMS000311,STU00016,2026-04-22,8,27,10,3,5,78
LMS000312,STU00016,2026-05-17,7,90,1,5,2,59
LMS000313,STU00016,2026-02-07,0,76,4,4,5,100
LMS000314,STU00016,2026-04-30,0,64,12,5,1,219
LMS000315,STU00016,2026-02-06,5,50,8,1,5,77
LMS000316,STU00016,2026-06-03,6,175,4,3,0,67
LMS000317,STU00016,2026-04-03,3,127,1,3,5,74
LMS000318,STU00016,2026-03-31,2,62,1,2,5,157
LMS000319,STU00016,2026-06-22,1,76,10,5,3,104
LMS000320,STU00016,2026-05-27,1,55,2,2,0,173
LMS000321,STU00017,2026-01-16,1,146,11,1,3,1
LMS000322,STU00017,2026-06-06,4,169,4,3,0,185
LMS000323,STU00017,2026-03-04,4,104,13,1,0,124
LMS000324,STU00017,2026-04-11,2,107,9,3,1,61
LMS000325,STU00017,2026-04-25,5,97,9,4,1,88
LMS000326,STU00017,2026-02-11,8,44,1,2,1,129
LMS000327,STU00017,2026-02-06,1,152,14,1,5,177
LMS000328,STU00017,2026-04-23,2,18,6,3,5,60
LMS000329,STU00017,2026-04-05,5,49,10,3,0,97
LMS000330,STU00017,2026-04-18,4,133,3,1,0,24
LMS000331,STU00017,2026-03-11,5,19,1,1,5,173
LMS000332,STU00017,2026-05-05,1,47,10,3,2,5
LMS000333,STU00017,2026-06-12,0,146,2,2,0,97
LMS000334,STU00017,2026-04-12,7,115,14,0,0,149
LMS000335,STU00017,2026-02-18,2,116,15,0,5,42
LMS000336,STU00017,2026-04-24,0,140,7,5,4,214
LMS000337,STU00017,2026-04-27,6,167,9,2,4,34
LMS000338,STU00017,2026-03-06,1,120,1,4,5,202
LMS000339,STU00017,2026-05-14,2,69,9,2,2,61
LMS000340,STU00017,2026-05-12,0,112,0,1,5,205
LMS000341,STU00018,2026-03-20,1,31,15,2,1,11
LMS000342,STU00018,2026-02-27,8,115,11,5,1,109
LMS000343,STU00018,2026-06-14,1,145,4,4,4,1
LMS000344,STU00018,2026-06-26,4,163,15,3,4,24
LMS000345,STU00018,2026-06-21,0,64,6,5,5,196
LMS000346,STU00018,2026-01-03,1,170,12,0,5,158
LMS000347,STU00018,2026-03-04,4,77,4,3,3,188
LMS000348,STU00018,2026-03-02,7,106,14,1,4,92
LMS000349,STU00018,2026-04-06,7,170,3,0,2,73
LMS000350,STU00018,2026-06-23,0,58,11,0,5,100
LMS000351,STU00018,2026-05-02,8,71,13,0,3,84
LMS000352,STU00018,2026-04-26,5,22,1,4,1,12
LMS000353,STU00018,2026-05-31,8,54,9,3,3,33
LMS000354,STU00018,2026-05-25,2,46,12,5,1,191
LMS000355,STU00018,2026-04-22,4,2,6,0,3,94
LMS000356,STU00018,2026-06-25,0,56,6,3,4,100
LMS000357,STU00018,2026-06-23,5,79,12,3,5,163
LMS000358,STU00018,2026-05-23,7,41,9,1,0,123
LMS000359,STU00018,2026-03-19,8,46,15,1,3,103
LMS000360,STU00018,2026-03-12,4,89,7,1,5,48
LMS000361,STU00019,2026-01-27,1,67,0,2,1,9
LMS000362,STU00019,2026-01-09,1,169,14,4,4,228
LMS000363,STU00019,2026-04-18,0,0,13,4,5,225
LMS000364,STU00019,2026-05-21,4,155,4,4,5,131
LMS000365,STU00019,2026-01-23,3,165,7,2,0,189
LMS000366,STU00019,2026-05-19,4,64,12,2,4,8
LMS000367,STU00019,2026-04-14,5,111,7,5,0,133
LMS000368,STU00019,2026-01-30,7,68,10,4,5,164
LMS000369,STU00019,2026-06-08,0,166,2,4,0,75
LMS000370,STU00019,2026-02-26,0,127,1,1,0,131
LMS000371,STU00019,2026-05-10,8,114,12,0,4,15
LMS000372,STU00019,2026-06-16,1,48,9,1,3,192
LMS000373,STU00019,2026-02-04,3,64,4,5,0,57
LMS000374,STU00019,2026-05-22,5,104,15,5,2,86
LMS000375,STU00019,2026-01-31,6,29,3,3,1,225
LMS000376,STU00019,2026-01-30,7,6,9,5,5,124
LMS000377,STU00019,2026-06-09,0,146,2,3,1,155
LMS000378,STU00019,2026-03-17,2,174,8,5,4,193
LMS000379,STU00019,2026-05-30,0,110,3,1,3,49
LMS000380,STU00019,2026-05-13,7,33,8,4,5,37
LMS000381,STU00020,2026-02-07,6,7,15,2,0,151
LMS000382,STU00020,2026-02-25,7,89,1,4,0,87
LMS000383,STU00020,2026-04-05,0,38,2,3,0,226
LMS000384,STU00020,2026-01-09,0,133,0,5,0,8
LMS000385,STU00020,2026-02-26,4,99,15,1,3,60
LMS000386,STU00020,2026-04-10,8,64,6,0,5,11
LMS000387,STU00020,2026-02-20,7,32,14,1,2,123
LMS000388,STU00020,2026-05-18,6,64,13,4,3,172
LMS000389,STU00020,2026-06-10,8,42,9,4,2,48
LMS000390,STU00020,2026-03-21,8,93,6,3,5,125
LMS000391,STU00020,2026-05-22,1,134,12,4,1,43
LMS000392,STU00020,2026-06-17,8,85,8,3,3,166
LMS000393,STU00020,2026-03-09,3,16,15,0,3,79
LMS000394,STU00020,2026-03-04,8,159,11,5,4,223
LMS000395,STU00020,2026-06-08,6,86,3,1,5,182
LMS000396,STU00020,2026-06-06,0,33,7,1,3,213
LMS000397,STU00020,2026-05-11,1,56,1,5,2,158
LMS000398,STU00020,2026-06-28,7,124,2,5,1,112
LMS000399,STU00020,2026-05-25,6,47,15,1,0,11
LMS000400,STU00020,2026-01-26,4,142,8,3,5,186
LMS000401,STU00021,2026-06-26,6,40,10,0,1,79
LMS000402,STU00021,2026-05-20,1,67,5,1,4,4
LMS000403,STU00021,2026-04-16,6,129,4,1,0,48
LMS000404,STU00021,2026-05-28,1,50,13,0,0,190
LMS000405,STU00021,2026-04-15,4,25,5,4,3,45
LMS000406,STU00021,2026-04-13,4,111,10,2,3,233
LMS000407,STU00021,2026-02-24,4,172,11,2,5,194
LMS000408,STU00021,2026-01-25,5,84,4,5,3,206
LMS000409,STU00021,2026-02-22,8,101,3,2,3,50
LMS000410,STU00021,2026-05-03,1,68,4,3,2,22
LMS000411,STU00021,2026-03-04,7,105,11,5,2,181
LMS000412,STU00021,2026-02-19,2,174,0,0,1,181
LMS000413,STU00021,2026-03-30,3,82,4,3,3,221
LMS000414,STU00021,2026-04-01,7,92,1,3,4,176
LMS000415,STU00021,2026-03-05,2,39,8,5,5,106
LMS000416,STU00021,2026-05-17,4,156,15,4,0,47
LMS000417,STU00021,2026-06-13,0,103,10,1,3,187
LMS000418,STU00021,2026-03-31,6,166,0,1,3,105
LMS000419,STU00021,2026-01-07,8,16,1,0,2,89
LMS000420,STU00021,2026-03-31,1,54,7,2,3,48
LMS000421,STU00022,2026-05-14,4,103,13,3,2,95
LMS000422,STU00022,2026-02-22,1,70,1,5,4,46
LMS000423,STU00022,2026-06-25,8,112,5,1,0,129
LMS000424,STU00022,2026-06-03,4,85,1,2,2,56
LMS000425,STU00022,2026-02-07,4,26,9,3,4,116
LMS000426,STU00022,2026-01-01,8,151,0,2,3,102
LMS000427,STU00022,2026-02-24,7,164,7,5,5,149
LMS000428,STU00022,2026-04-07,5,109,6,3,5,119
LMS000429,STU00022,2026-02-06,3,12,15,1,1,154
LMS000430,STU00022,2026-02-09,0,9,10,3,3,218
LMS000431,STU00022,2026-03-26,8,154,1,3,3,59
LMS000432,STU00022,2026-01-19,2,49,9,5,3,110
LMS000433,STU00022,2026-01-10,7,149,12,2,2,120
LMS000434,STU00022,2026-03-10,0,108,14,2,0,129
LMS000435,STU00022,2026-06-11,6,147,2,3,1,3
LMS000436,STU00022,2026-05-13,4,69,1,2,2,43
LMS000437,STU00022,2026-03-01,2,176,6,1,1,93
LMS000438,STU00022,2026-06-12,1,129,11,4,2,74
LMS000439,STU00022,2026-06-06,6,64,2,0,5,147
LMS000440,STU00022,2026-03-10,5,147,3,5,4,107
LMS000441,STU00023,2026-06-09,2,15,7,1,0,50
LMS000442,STU00023,2026-01-30,0,136,15,3,1,194
LMS000443,STU00023,2026-02-26,6,39,15,2,0,149
LMS000444,STU00023,2026-03-29,7,77,15,1,0,149
LMS000445,STU00023,2026-03-06,7,166,5,0,5,160
LMS000446,STU00023,2026-04-19,2,39,11,1,2,50
LMS000447,STU00023,2026-02-23,4,102,3,1,5,46
LMS000448,STU00023,2026-03-08,4,3,10,5,5,205
LMS000449,STU00023,2026-05-11,6,3,5,0,4,89
LMS000450,STU00023,2026-04-01,0,58,4,5,0,79
LMS000451,STU00023,2026-02-04,6,165,5,2,0,55
LMS000452,STU00023,2026-04-18,2,166,3,3,3,194
LMS000453,STU00023,2026-05-03,7,170,10,3,2,228
LMS000454,STU00023,2026-05-13,4,158,15,1,5,193
LMS000455,STU00023,2026-05-10,0,39,2,2,2,110
LMS000456,STU00023,2026-06-19,0,81,7,2,0,143
LMS000457,STU00023,2026-01-04,7,96,15,2,1,16
LMS000458,STU00023,2026-06-01,0,150,1,5,4,175
LMS000459,STU00023,2026-05-01,7,138,6,5,0,143
LMS000460,STU00023,2026-05-18,4,103,12,1,5,173
LMS000461,STU00024,2026-06-25,1,142,4,5,1,168
LMS000462,STU00024,2026-03-27,3,102,13,0,1,43
LMS000463,STU00024,2026-04-03,6,153,2,0,5,23
