student_id,subject,total_classes,attended_classes,attendance_percentage
STU00013,Database Management,49,25,51.02
STU00013,Machine Learning,46,35,76.09
STU00013,Operating Systems,44,44,100.0
STU00014,Big Data Analytics,40,20,50.0
STU00014,Computer Networks,43,30,69.77
STU00014,Database Management,44,29,65.91
STU00014,Machine Learning,40,39,97.5
STU00014,Operating Systems,39,24,61.54
STU00015,Big Data Analytics,45,39,86.67
STU00015,Computer Networks,41,23,56.1
STU00015,Database Management,37,27,72.97
STU00015,Machine Learning,40,22,55.0
STU00015,Operating Systems,45,30,66.67
STU00016,Big Data Analytics,41,41,100.0
STU00016,Computer Networks,42,42,100.0
STU00016,Database Management,46,26,56.52
STU00016,Machine Learning,38,33,86.84
STU00016,Operating Systems,40,28,70.0
STU00017,Big Data Analytics,47,35,74.47
STU00017,Computer Networks,45,28,62.22
STU00017,Database Management,47,37,78.72
STU00017,Machine Learning,35,19,54.29
STU00017,Operating Systems,44,22,50.0
STU00018,Big Data Analytics,40,31,77.5
STU00018,Computer Networks,50,33,66.0
STU00018,Database Management,36,35,97.22
STU00018,Machine Learning,46,33,71.74
STU00018,Operating Systems,46,28,60.87
STU00019,Big Data Analytics,40,35,87.5
STU00019,Computer Networks,38,34,89.47
STU00019,Database Management,39,26,66.67
STU00019,Machine Learning,49,31,63.27
STU00019,Operating Systems,42,34,80.95
STU00020,Big Data Analytics,39,24,61.54
STU00020,Computer Networks,42,34,80.95
STU00020,Database Management,40,24,60.0
STU00020,Machine Learning,37,35,94.59
STU00020,Operating Systems,44,28,63.64
STU00021,Big Data Analytics,40,34,85.0
STU00021,Computer Networks,47,29,61.7
STU00021,Database Management,49,41,83.67
STU00021,Machine Learning,37,21,56.76
STU00021,Operating Systems,36,24,66.67
STU00022,Big Data Analytics,40,40,100.0
STU00022,Computer Networks,35,25,71.43
STU00022,Database Management,46,30,65.22
STU00022,Machine Learning,40,25,62.5
STU00022,Operating Systems,50,39,78.0
STU00023,Big Data Analytics,39,38,97.44
STU00023,Computer Networks,49,37,75.51
STU00023,Database Management,38,38,100.0
STU00023,Machine Learning,37,30,81.08
STU00023,Operating Systems,40,28,70.0
STU00024,Big Data Analytics,43,22,51.16
STU00024,Computer Networks,49,24,48.98
STU00024,Database Management,45,38,84.44
STU00024,Machine Learning,46,37,80.43
STU00024,Operating Systems,39,30,76.92
STU00025,Big Data Analytics,44,35,79.55
STU00025,Computer Networks,42,26,61.9
STU00025,Database Management,37,27,72.97
STU00025,Machine Learning,46,24,52.17
STU00025,Operating Systems,48,32,66.67
STU00026,Big Data Analytics,46,34,73.91
STU00026,Computer Networks,41,35,85.37
STU00026,Database Management,45,42,93.33
STU00026,Machine Learning,46,43,93.48
STU00026,Operating Systems,41,22,53.66
STU00027,Big Data Analytics,42,35,83.33
STU00027,Computer Networks,43,43,100.0
STU00027,Database Management,43,36,83.72
STU00027,Machine Learning,37,22,59.46
STU00027,Operating Systems,47,40,85.11
STU00028,Big Data Analytics,50,28,56.0
STU00028,Computer Networks,35,33,94.29
STU00028,Database Management,48,27,56.25
STU00028,Machine Learning,37,34,91.89
STU00028,Operating Systems,38,29,76.32
STU00029,Big Data Analytics,40,27,67.5
STU00029,Computer Networks,49,24,48.98
STU00029,Database Management,42,41,97.62
STU00029,Machine Learning,35,27,77.14
STU00029,Operating Systems,46,37,80.43
STU00030,Big Data Analytics,49,25,51.02
STU00030,Computer Networks,38,35,92.11
STU00030,Database Management,38,28,73.68
STU00030,Machine Learning,35,27,77.14
STU00030,Operating Systems,42,28,66.67
STU00031,Big Data Analytics,48,35,72.92
STU00031,Computer Networks,40,31,77.5
STU00031,Database Management,48,25,52.08
STU00031,Machine Learning,41,24,58.54
STU00031,Operating Systems,40,38,95.0
STU00032,Big Data Analytics,42,38,90.48
STU00032,Computer Networks,50,40,80.0
STU00032,Database Management,41,26,63.41
STU00032,Machine Learning,49,31,63.27
STU00032,Operating Systems,40,40,100.0
STU00033,Big Data Analytics,41,38,92.68
STU00033,Computer Networks,40,22,55.0
STU00033,Database Management,48,29,60.42
STU00033,Machine Learning,39,27,69.23
STU00033,Operating Systems,38,28,73.68
STU00034,Big Data Analytics,40,38,95.0
STU00034,Computer Networks,41,38,92.68
STU00034,Database Management,46,29,63.04
STU00034,Machine Learning,43,26,60.47
STU00034,Operating Systems,41,30,73.17
STU00035,Big Data Analytics,42,37,88.1
STU00035,Computer Networks,45,31,68.89
STU00035,Database Management,40,26,65.0
STU00035,Machine Learning,50,50,100.0
STU00035,Operating Systems,40,28,70.0
STU00036,Big Data Analytics,42,42,100.0
STU00036,Computer Networks,39,36,92.31
STU00036,Database Management,39,32,82.05
STU00036,Machine Learning,40,39,97.5
STU00036,Operating Systems,35,18,51.43
STU00037,Big Data Analytics,43,29,67.44
STU00037,Computer Networks,38,20,52.63
STU00037,Database Management,45,26,57.78
STU00037,Machine Learning,42,25,59.52
STU00037,Operating Systems,42,39,92.86
STU00038,Big Data Analytics,36,35,97.22
STU00038,Computer Networks,42,36,85.71
STU00038,Database Management,45,29,64.44
STU00038,Machine Learning,47,35,74.47
STU00038,Operating Systems,38,29,76.32
STU00039,Big Data Analytics,36,23,63.89
STU00039,Computer Networks,42,34,80.95
STU00039,Database Management,45,34,75.56
STU00039,Machine Learning,39,26,66.67
STU00039,Operating Systems,37,25,67.57
STU00040,Big Data Analytics,36,28,77.78
STU00040,Computer Networks,47,32,68.09
STU00040,Database Management,45,23,51.11
STU00040,Machine Learning,47,31,65.96
STU00040,Operating Systems,50,38,76.0
STU00041,Big Data Analytics,40,22,55.0
STU00041,Computer Networks,44,28,63.64
STU00041,Database Management,39,27,69.23
STU00041,Machine Learning,43,34,79.07
STU00041,Operating Systems,41,21,51.22
STU00042,Big Data Analytics,47,42,89.36
STU00042,Computer Networks,38,36,94.74
STU00042,Database Management,50,41,82.0
STU00042,Machine Learning,42,29,69.05
STU00042,Operating Systems,47,38,80.85
STU00043,Big Data Analytics,48,31,64.58
STU00043,Computer Networks,40,29,72.5
STU00043,Database Management,44,37,84.09
STU00043,Machine Learning,37,21,56.76
STU00043,Operating Systems,48,43,89.58
STU00044,Big Data Analytics,50,32,64.0
STU00044,Computer Networks,42,41,97.62
STU00044,Database Management,46,29,63.04
STU00044,Machine Learning,39,20,51.28
STU00044,Operating Systems,46,40,86.96
STU00045,Big Data Analytics,42,25,59.52
STU00045,Computer Networks,44,28,63.64
STU00045,Database Management,41,22,53.66
STU00045,Machine Learning,41,32,78.05
STU00045,Operating Systems,44,27,61.36
STU00046,Big Data Analytics,42,41,97.62
STU00046,Computer Networks,49,24,48.98
STU00046,Database Management,35,35,100.0
STU00046,Machine Learning,41,27,65.85
STU00046,Operating Systems,35,19,54.29
STU00047,Big Data Analytics,47,35,74.47
STU00047,Computer Networks,50,42,84.0
STU00047,Database Management,38,32,84.21
STU00047,Machine Learning,42,29,69.05
STU00047,Operating Systems,41,35,85.37
STU00048,Big Data Analytics,42,41,97.62
STU00048,Computer Networks,43,24,55.81
STU00048,Database Management,48,47,97.92
STU00048,Machine Learning,39,22,56.41
STU00048,Operating Systems,49,36,73.47
STU00049,Big Data Analytics,35,29,82.86
STU00049,Computer Networks,42,42,100.0
STU00049,Database Management,45,38,84.44
STU00049,Machine Learning,35,20,57.14
STU00049,Operating Systems,50,49,98.0
STU00050,Big Data Analytics,46,35,76.09
STU00050,Computer Networks,36,23,63.89
STU00050,Database Management,49,36,73.47
STU00050,Machine Learning,44,33,75.0
STU00050,Operating Systems,42,22,52.38
STU00051,Big Data Analytics,36,19,52.78
STU00051,Computer Networks,43,25,58.14
STU00051,Database Management,38,27,71.05
STU00051,Machine Learning,46,28,60.87
STU00051,Operating Systems,46,37,80.43
STU00052,Big Data Analytics,36,23,63.89
STU00052,Computer Networks,40,28,70.0
STU00052,Database Management,36,28,77.78
STU00052,Machine Learning,43,33,76.74
STU00052,Operating Systems,42,39,92.86
STU00053,Big Data Analytics,35,34,97.14
STU00053,Computer Networks,47,24,51.06
STU00053,Database Management,43,34,79.07
STU00053,Machine Learning,42,39,92.86
STU00053,Operating Systems,39,29,74.36
STU00054,Big Data Analytics,43,29,67.44
STU00054,Computer Networks,47,44,93.62
STU00054,Database Management,42,21,50.0
STU00054,Machine Learning,37,37,100.0
STU00054,Operating Systems,46,43,93.48
STU00055,Big Data Analytics,35,31,88.57
STU00055,Computer Networks,42,41,97.62
STU00055,Database Management,39,32,82.05
STU00055,Machine Learning,49,37,75.51
STU00055,Operating Systems,42,32,76.19
STU00056,Big Data Analytics,48,28,58.33
STU00056,Computer Networks,45,37,82.22
STU00056,Database Management,50,46,92.0
STU00056,Machine Learning,47,46,97.87
STU00056,Operating Systems,44,23,52.27
STU00057,Big Data Analytics,41,25,60.98
STU00057,Computer Networks,41,40,97.56
STU00057,Database Management,39,29,74.36
STU00057,Machine Learning,38,27,71.05
STU00057,Operating Systems,36,18,50.0
STU00058,Big Data Analytics,40,38,95.0
STU00058,Computer Networks,47,41,87.23
STU00058,Database Management,46,43,93.48
STU00058,Machine Learning,43,37,86.05
STU00058,Operating Systems,42,33,78.57
STU00059,Big Data Analytics,44,44,100.0
STU00059,Computer Networks,38,30,78.95
STU00059,Database Management,38,27,71.05
STU00059,Machine Learning,49,49,100.0
STU00059,Operating Systems,40,29,72.5
STU00060,Big Data Analytics,42,21,50.0
STU00060,Computer Networks,35,27,77.14
STU00060,Database Management,43,31,72.09
STU00060,Machine Learning,44,30,68.18
STU00060,Operating Systems,45,37,82.22
STU00061,Big Data Analytics,49,26,53.06
STU00061,Computer Networks,43,23,53.49
STU00061,Database Management,46,43,93.48
STU00061,Machine Learning,38,33,86.84
STU00061,Operating Systems,35,33,94.29
STU00062,Big Data Analytics,48,42,87.5
STU00062,Computer Networks,37,24,64.86
STU00062,Database Management,43,32,74.42
STU00062,Machine Learning,42,26,61.9
STU00062,Operating Systems,35,22,62.86
STU00063,Big Data Analytics,50,26,52.0
STU00063,Computer Networks,36,33,91.67
STU00063,Database Management,46,28,60.87
STU00063,Machine Learning,42,33,78.57
STU00063,Operating Systems,50,33,66.0
STU00064,Big Data Analytics,50,47,94.0
STU00064,Computer Networks,49,47,95.92
STU00064,Database Management,41,22,53.66
STU00064,Machine Learning,47,29,61.7
STU00064,Operating Systems,43,23,53.49
STU00065,Big Data Analytics,48,29,60.42
STU00065,Computer Networks,39,30,76.92
STU00065,Database Management,37,27,72.97
STU00065,Machine Learning,46,23,50.0
STU00065,Operating Systems,38,28,73.68
STU00066,Big Data Analytics,41,28,68.29
STU00066,Computer Networks,35,22,62.86
STU00066,Database Management,47,42,89.36
STU00066,Machine Learning,36,25,69.44
STU00066,Operating Systems,46,38,82.61
STU00067,Big Data Analytics,49,41,83.67
STU00067,Computer Networks,46,30,65.22
STU00067,Database Management,38,25,65.79
STU00067,Machine Learning,50,43,86.0
STU00067,Operating Systems,40,34,85.0
STU00068,Big Data Analytics,49,44,89.8
STU00068,Computer Networks,44,37,84.09
STU00068,Database Management,46,34,73.91
STU00068,Machine Learning,45,27,60.0
STU00068,Operating Systems,42,25,59.52
STU00069,Big Data Analytics,41,39,95.12
STU00069,Computer Networks,38,38,100.0
STU00069,Database Management,41,32,78.05
STU00069,Machine Learning,39,37,94.87
STU00069,Operating Systems,42,38,90.48
STU00070,Big Data Analytics,37,36,97.3
STU00070,Computer Networks,39,26,66.67
STU00070,Database Management,39,35,89.74
STU00070,Machine Learning,50,37,74.0
STU00070,Operating Systems,40,31,77.5
STU00071,Big Data Analytics,43,38,88.37
STU00071,Computer Networks,45,30,66.67
STU00071,Database Management,38,38,100.0
STU00071,Machine Learning,48,28,58.33
STU00071,Operating Systems,39,38,97.44
STU00072,Big Data Analytics,50,37,74.0
STU00072,Computer Networks,49,31,63.27
STU00072,Database Management,36,35,97.22
STU00072,Machine Learning,43,25,58.14
STU00072,Operating Systems,50,27,54.0
STU00073,Big Data Analytics,37,36,97.3
STU00073,Computer Networks,40,22,55.0
STU00073,Database Management,48,31,64.58
STU00073,Machine Learning,46,45,97.83
STU00073,Operating Systems,40,31,77.5
STU00074,Big Data Analytics,35,33,94.29
STU00074,Computer Networks,38,25,65.79
STU00074,Database Management,41,33,80.49
STU00074,Machine Learning,41,39,95.12
STU00074,Operating Systems,45,25,55.56
STU00075,Big Data Analytics,49,38,77.55
STU00075,Computer Networks,46,26,56.52
STU00075,Database Management,35,22,62.86
STU00075,Machine Learning,46,40,86.96
STU00075,Operating Systems,38,21,55.26
STU00076,Big Data Analytics,41,30,73.17
STU00076,Computer Networks,47,38,80.85
STU00076,Database Management,39,29,74.36
STU00076,Machine Learning,46,41,89.13
STU00076,Operating Systems,41,20,48.78
STU00077,Big Data Analytics,43,24,55.81
STU00077,Computer Networks,38,36,94.74
STU00077,Database Management,42,40,95.24
STU00077,Machine Learning,46,28,60.87
STU00077,Operating Systems,42,40,95.24
STU00078,Big Data Analytics,42,26,61.9
STU00078,Computer Networks,38,26,68.42
STU00078,Database Management,40,34,85.0
STU00078,Machine Learning,35,18,51.43
STU00078,Operating Systems,45,40,88.89
STU00079,Big Data Analytics,44,27,61.36
STU00079,Computer Networks,46,30,65.22
STU00079,Database Management,37,35,94.59
STU00079,Machine Learning,46,33,71.74
STU00079,Operating Systems,37,24,64.86
STU00080,Big Data Analytics,37,37,100.0
STU00080,Computer Networks,36,30,83.33
STU00080,Database Management,37,21,56.76
STU00080,Machine Learning,36,29,80.56
STU00080,Operating Systems,36,26,72.22
STU00081,Big Data Analytics,41,36,87.8
STU00081,Computer Networks,39,35,89.74
STU00081,Database Management,38,33,86.84
STU00081,Machine Learning,44,39,88.64
STU00081,Operating Systems,45,39,86.67
STU00082,Big Data Analytics,35,34,97.14
STU00082,Computer Networks,37,31,83.78
STU00082,Database Management,40,31,77.5
STU00082,Machine Learning,42,39,92.86
STU00082,Operating Systems,50,35,70.0
STU00083,Big Data Analytics,36,22,61.11
STU00083,Computer Networks,48,38,79.17
STU00083,Database Management,44,28,63.64
STU00083,Machine Learning,41,39,95.12
STU00083,Operating Systems,37,31,83.78
STU00084,Big Data Analytics,48,34,70.83
STU00084,Computer Networks,38,22,57.89
STU00084,Database Management,38,33,86.84
STU00084,Machine Learning,50,36,72.0
STU00084,Operating Systems,37,24,64.86
STU00085,Big Data Analytics,43,30,69.77
STU00085,Computer Networks,46,44,95.65
STU00085,Database Management,40,21,52.5
STU00085,Machine Learning,40,24,60.0
STU00085,Operating Systems,45,34,75.56
STU00086,Big Data Analytics,42,37,88.1
STU00086,Computer Networks,37,24,64.86
STU00086,Database Management,42,27,64.29
STU00086,Machine Learning,43,42,97.67
STU00086,Operating Systems,36,35,97.22
STU00087,Big Data Analytics,40,38,95.0
STU00087,Computer Networks,46,42,91.3
STU00087,Database Management,40,20,50.0
STU00087,Machine Learning,36,29,80.56
STU00087,Operating Systems,43,30,69.77
STU00088,Big Data Analytics,35,33,94.29
STU00088,Computer Networks,42,23,54.76
STU00088,Database Management,40,31,77.5
STU00088,Machine Learning,44,42,95.45
STU00088,Operating Systems,50,33,66.0
STU00089,Big Data Analytics,35,34,97.14
STU00089,Computer Networks,46,34,73.91
STU00089,Database Management,46,44,95.65
STU00089,Machine Learning,35,33,94.29
STU00089,Operating Systems,42,34,80.95
STU00090,Big Data Analytics,37,23,62.16
STU00090,Computer Networks,47,37,78.72
STU00090,Database Management,35,34,97.14
STU00090,Machine Learning,35,34,97.14
STU00090,Operating Systems,46,32,69.57
STU00091,Big Data Analytics,46,44,95.65
STU00091,Computer Networks,41,41,100.0
STU00091,Database Management,41,34,82.93
STU00091,Machine Learning,45,29,64.44
STU00091,Operating Systems,36,28,77.78
STU00092,Big Data Analytics,39,23,58.97
STU00092,Computer Networks,46,32,69.57
STU00092,Database Management,35,32,91.43
STU00092,Machine Learning,37,20,54.05
STU00092,Operating Systems,46,43,93.48
STU00093,Big Data Analytics,50,26,52.0
STU00093,Computer Networks,38,23,60.53
STU00093,Database Management,46,24,52.17
STU00093,Machine Learning,43,43,100.0
STU00093,Operating Systems,35,33,94.29
STU00094,Big Data Analytics,41,32,78.05
STU00094,Computer Networks,37,29,78.38
STU00094,Database Management,46,35,76.09
STU00094,Machine Learning,42,29,69.05
STU00094,Operating Systems,41,29,70.73
STU00095,Big Data Analytics,35,29,82.86
STU00095,Computer Networks,35,34,97.14
STU00095,Database Management,46,34,73.91
STU00095,Machine Learning,50,32,64.0
STU00095,Operating Systems,50,36,72.0
STU00096,Big Data Analytics,35,26,74.29
STU00096,Computer Networks,41,38,92.68
STU00096,Database Management,37,22,59.46
STU00096,Machine Learning,43,30,69.77
STU00096,Operating Systems,39,26,66.67
STU00097,Big Data Analytics,35,33,94.29
STU00097,Computer Networks,50,48,96.0
STU00097,Database Management,49,33,67.35
STU00097,Machine Learning,35,25,71.43
STU00097,Operating Systems,46,26,56.52
STU00098,Big Data Analytics,36,19,52.78
STU00098,Computer Networks,43,36,83.72
STU00098,Database Management,42,23,54.76
STU00098,Machine Learning,44,26,59.09
STU00098,Operating Systems,47,43,91.49
STU00099,Big Data Analytics,43,41,95.35
STU00099,Computer Networks,40,35,87.5
STU00099,Database Management,49,30,61.22
STU00099,Machine Learning,50,45,90.0
STU00099,Operating Systems,36,29,80.56
STU00100,Big Data Analytics,38,21,55.26
STU00100,Computer Networks,46,23,50.0
STU00100,Database Management,41,37,90.24
STU00100,Machine Learning,49,43,87.76
STU00100,Operating Systems,45,38,84.44
STU00101,Big Data Analytics,39,36,92.31
STU00101,Computer Networks,40,39,97.5
STU00101,Database Management,41,35,85.37
STU00101,Machine Learning,38,34,89.47
STU00101,Operating Systems,39,35,89.74
STU00102,Big Data Analytics,42,39,92.86
STU00102,Computer Networks,47,44,93.62
STU00102,Database Management,35,18,51.43
STU00102,Machine Learning,35,33,94.29
STU00102,Operating Systems,44,37,84.09
STU00103,Big Data Analytics,36,30,83.33
STU00103,Computer Networks,45,42,93.33
STU00103,Database Management,36,29,80.56
STU00103,Machine Learning,46,44,95.65
STU00103,Operating Systems,41,40,97.56
STU00104,Big Data Analytics,38,36,94.74
STU00104,Computer Networks,37,36,97.3
STU00104,Database Management,50,42,84.0
STU00104,Machine Learning,35,17,48.57
STU00104,Operating Systems,37,34,91.89
STU00105,Big Data Analytics,45,31,68.89
STU00105,Computer Networks,49,43,87.76
STU00105,Database Management,50,30,60.0
STU00105,Machine Learning,38,38,100.0
STU00105,Operating Systems,45,39,86.67
STU00106,Big Data Analytics,47,30,63.83
STU00106,Computer Networks,37,35,94.59
STU00106,Database Management,37,23,62.16
STU00106,Machine Learning,37,25,67.57
STU00106,Operating Systems,41,27,65.85
STU00107,Big Data Analytics,50,35,70.0
STU00107,Computer Networks,41,37,90.24
STU00107,Database Management,35,24,68.57
STU00107,Machine Learning,49,44,89.8
STU00107,Operating Systems,47,34,72.34
STU00108,Big Data Analytics,36,33,91.67
STU00108,Computer Networks,37,21,56.76
STU00108,Database Management,37,31,83.78
STU00108,Machine Learning,50,41,82.0
STU00108,Operating Systems,35,24,68.57
STU00109,Big Data Analytics,38,36,94.74
STU00109,Computer Networks,38,23,60.53
STU00109,Database Management,41,39,95.12
STU00109,Machine Learning,35,19,54.29
STU00109,Operating Systems,38,34,89.47
STU00110,Big Data Analytics,50,25,50.0
STU00110,Computer Networks,48,24,50.0
STU00110,Database Management,48,40,83.33
STU00110,Machine Learning,39,19,48.72
STU00110,Operating Systems,46,24,52.17
STU00111,Big Data Analytics,41,29,70.73
STU00111,Computer Networks,37,32,86.49
STU00111,Database Management,36,18,50.0
STU00111,Machine Learning,37,36,97.3
STU00111,Operating Systems,44,28,63.64
STU00112,Big Data Analytics,46,39,84.78
STU00112,Computer Networks,40,36,90.0
STU00112,Database Management,50,26,52.0
STU00112,Machine Learning,38,37,97.37
STU00112,Operating Systems,44,26,59.09
STU00113,Big Data Analytics,41,33,80.49
STU00113,Computer Networks,49,49,100.0
STU00113,Database Management,48,42,87.5
STU00113,Machine Learning,40,28,70.0
STU00113,Operating Systems,43,27,62.79
STU00114,Big Data Analytics,46,25,54.35
STU00114,Computer Networks,37,29,78.38
STU00114,Database Management,41,41,100.0
STU00114,Machine Learning,35,31,88.57
STU00114,Operating Systems,50,46,92.0
STU00115,Big Data Analytics,46,45,97.83
STU00115,Computer Networks,36,25,69.44
STU00115,Database Management,44,39,88.64
STU00115,Machine Learning,36,28,77.78
STU00115,Operating Systems,49,49,100.0
STU00116,Big Data Analytics,48,26,54.17
STU00116,Computer Networks,37,32,86.49
STU00116,Database Management,49,39,79.59
STU00116,Machine Learning,49,26,53.06
STU00116,Operating Systems,49,35,71.43
STU00117,Big Data Analytics,39,39,100.0
STU00117,Computer Networks,35,35,100.0
STU00117,Database Management,35,23,65.71
STU00117,Machine Learning,46,37,80.43
STU00117,Operating Systems,36,29,80.56
STU00118,Big Data Analytics,35,25,71.43
STU00118,Computer Networks,42,40,95.24
STU00118,Database Management,43,25,58.14
STU00118,Machine Learning,47,42,89.36
STU00118,Operating Systems,42,21,50.0
STU00119,Big Data Analytics,40,20,50.0
STU00119,Computer Networks,36,29,80.56
STU00119,Database Management,47,25,53.19
STU00119,Machine Learning,49,30,61.22
STU00119,Operating Systems,44,24,54.55
STU00120,Big Data Analytics,46,45,97.83
STU00120,Computer Networks,50,31,62.0
STU00120,Database Management,50,39,78.0
STU00120,Machine Learning,45,22,48.89
STU00120,Operating Systems,46,28,60.87
STU00121,Big Data Analytics,41,22,53.66
STU00121,Computer Networks,41,40,97.56
STU00121,Database Management,43,30,69.77
STU00121,Machine Learning,47,33,70.21
STU00121,Operating Systems,37,31,83.78
STU00122,Big Data Analytics,42,35,83.33
STU00122,Computer Networks,41,24,58.54
STU00122,Database Management,47,42,89.36
STU00122,Machine Learning,47,25,53.19
STU00122,Operating Systems,43,27,62.79
STU00123,Big Data Analytics,48,41,85.42
STU00123,Computer Networks,45,34,75.56
STU00123,Database Management,43,22,51.16
STU00123,Machine Learning,35,35,100.0
STU00123,Operating Systems,44,41,93.18
STU00124,Big Data Analytics,39,19,48.72
STU00124,Computer Networks,50,32,64.0
STU00124,Database Management,39,29,74.36
STU00124,Machine Learning,45,35,77.78
STU00124,Operating Systems,46,43,93.48
STU00125,Big Data Analytics,47,34,72.34
STU00125,Computer Networks,40,38,95.0
STU00125,Database Management,42,24,57.14
STU00125,Machine Learning,35,33,94.29
STU00125,Operating Systems,35,33,94.29
STU00126,Big Data Analytics,43,41,95.35
STU00126,Computer Networks,42,38,90.48
STU00126,Database Management,46,27,58.7
STU00126,Machine Learning,44,38,86.36
STU00126,Operating Systems,46,43,93.48
STU00127,Big Data Analytics,39,19,48.72
STU00127,Computer Networks,43,32,74.42
STU00127,Database Management,35,18,51.43
STU00127,Machine Learning,42,35,83.33
STU00127,Operating Systems,42,34,80.95
STU00128,Big Data Analytics,47,40,85.11
STU00128,Computer Networks,40,21,52.5
STU00128,Database Management,36,21,58.33
STU00128,Machine Learning,44,32,72.73
STU00128,Operating Systems,37,37,100.0
STU00129,Big Data Analytics,42,31,73.81
STU00129,Computer Networks,46,45,97.83
STU00129,Database Management,46,28,60.87
STU00129,Machine Learning,40,30,75.0
STU00129,Operating Systems,38,29,76.32
STU00130,Big Data Analytics,43,37,86.05
STU00130,Computer Networks,40,27,67.5
STU00130,Database Management,46,39,84.78
STU00130,Machine Learning,42,30,71.43
STU00130,Operating Systems,36,18,50.0
STU00131,Big Data Analytics,41,24,58.54
STU00131,Computer Networks,45,38,84.44
STU00131,Database Management,50,41,82.0
STU00131,Machine Learning,35,29,82.86
STU00131,Operating Systems,48,29,60.42
STU00132,Big Data Analytics,43,25,58.14
STU00132,Computer Networks,36,32,88.89
STU00132,Database Management,35,32,91.43
STU00132,Machine Learning,46,38,82.61
STU00132,Operating Systems,47,26,55.32
STU00133,Big Data Analytics,38,24,63.16
STU00133,Computer Networks,46,30,65.22
STU00133,Database Management,40,23,57.5
STU00133,Machine Learning,36,33,91.67
STU00133,Operating Systems,38,23,60.53
STU00134,Big Data Analytics,46,42,91.3
STU00134,Computer Networks,43,30,69.77
STU00134,Database Management,40,38,95.0
STU00134,Machine Learning,42,26,61.9
STU00134,Operating Systems,50,33,66.0
STU00135,Big Data Analytics,42,23,54.76
STU00135,Computer Networks,36,19,52.78
STU00135,Database Management,41,36,87.8
STU00135,Machine Learning,41,29,70.73
STU00135,Operating Systems,46,26,56.52
STU00136,Big Data Analytics,49,45,91.84
STU00136,Computer Networks,48,47,97.92
STU00136,Database Management,42,36,85.71
STU00136,Machine Learning,47,33,70.21
STU00136,Operating Systems,37,34,91.89
STU00137,Big Data Analytics,43,36,83.72
STU00137,Computer Networks,49,30,61.22
STU00137,Database Management,47,29,61.7
STU00137,Machine Learning,39,25,64.1
STU00137,Operating Systems,44,30,68.18
STU00138,Big Data Analytics,36,35,97.22
STU00138,Computer Networks,39,35,89.74
STU00138,Database Management,38,32,84.21
STU00138,Machine Learning,36,20,55.56
STU00138,Operating Systems,44,40,90.91
STU00139,Big Data Analytics,43,31,72.09
STU00139,Computer Networks,41,29,70.73
STU00139,Database Management,42,42,100.0
STU00139,Machine Learning,49,29,59.18
STU00139,Operating Systems,46,40,86.96
STU00140,Big Data Analytics,43,21,48.84
STU00140,Computer Networks,47,37,78.72
