assignment_id,student_id,subject,total_assignments,submitted_assignments,completion_percentage,average_assignment_score
ASG00044,STU00009,Machine Learning,12,11,91.67,88.62
ASG00045,STU00009,Operating Systems,11,4,36.36,78.69
ASG00046,STU00010,Big Data Analytics,8,4,50.0,51.03
ASG00047,STU00010,Computer Networks,12,10,83.33,47.05
ASG00048,STU00010,Database Management,9,7,77.78,78.14
ASG00049,STU00010,Machine Learning,10,8,80.0,94.12
ASG00050,STU00010,Operating Systems,8,8,100.0,88.51
ASG00051,STU00011,Big Data Analytics,8,8,100.0,84.81
ASG00052,STU00011,Computer Networks,10,8,80.0,46.75
ASG00053,STU00011,Database Management,8,5,62.5,93.52
ASG00054,STU00011,Machine Learning,12,11,91.67,88.25
ASG00055,STU00011,Operating Systems,10,6,60.0,45.41
ASG00056,STU00012,Big Data Analytics,11,8,72.73,49.93
ASG00057,STU00012,Computer Networks,8,6,75.0,50.81
ASG00058,STU00012,Database Management,12,10,83.33,46.95
ASG00059,STU00012,Machine Learning,8,6,75.0,87.04
ASG00060,STU00012,Operating Systems,8,6,75.0,69.79
ASG00061,STU00013,Big Data Analytics,8,8,100.0,79.84
ASG00062,STU00013,Computer Networks,9,9,100.0,87.6
ASG00063,STU00013,Database Management,12,8,66.67,70.41
ASG00064,STU00013,Machine Learning,12,7,58.33,66.55
ASG00065,STU00013,Operating Systems,11,5,45.45,38.19
ASG00066,STU00014,Big Data Analytics,11,11,100.0,69.85
ASG00067,STU00014,Computer Networks,12,8,66.67,62.18
ASG00068,STU00014,Database Management,10,6,60.0,39.13
ASG00069,STU00014,Machine Learning,11,10,90.91,86.87
ASG00070,STU00014,Operating Systems,8,4,50.0,85.29
ASG00071,STU00015,Big Data Analytics,8,8,100.0,58.11
ASG00072,STU00015,Computer Networks,12,9,75.0,78.89
ASG00073,STU00015,Database Management,11,5,45.45,60.58
ASG00074,STU00015,Machine Learning,12,9,75.0,77.57
ASG00075,STU00015,Operating Systems,11,9,81.82,39.4
ASG00076,STU00016,Big Data Analytics,11,5,45.45,62.39
ASG00077,STU00016,Computer Networks,10,9,90.0,70.92
ASG00078,STU00016,Database Management,11,10,90.91,38.59
ASG00079,STU00016,Machine Learning,9,3,33.33,89.19
ASG00080,STU00016,Operating Systems,10,10,100.0,40.17
ASG00081,STU00017,Big Data Analytics,8,4,50.0,55.59
ASG00082,STU00017,Computer Networks,10,5,50.0,53.84
ASG00083,STU00017,Database Management,11,4,36.36,58.38
ASG00084,STU00017,Machine Learning,11,3,27.27,40.23
ASG00085,STU00017,Operating Systems,11,5,45.45,46.51
ASG00086,STU00018,Big Data Analytics,11,11,100.0,57.64
ASG00087,STU00018,Computer Networks,9,8,88.89,77.89
ASG00088,STU00018,Database Management,8,7,87.5,77.24
ASG00089,STU00018,Machine Learning,8,5,62.5,55.38
ASG00090,STU00018,Operating Systems,12,3,25.0,45.64
ASG00091,STU00019,Big Data Analytics,9,4,44.44,77.01
ASG00092,STU00019,Computer Networks,8,3,37.5,35.72
ASG00093,STU00019,Database Management,10,10,100.0,77.05
ASG00094,STU00019,Machine Learning,9,8,88.89,75.07
ASG00095,STU00019,Operating Systems,10,7,70.0,61.65
ASG00096,STU00020,Big Data Analytics,11,4,36.36,74.93
ASG00097,STU00020,Computer Networks,11,7,63.64,52.9
ASG00098,STU00020,Database Management,12,11,91.67,73.2
ASG00099,STU00020,Machine Learning,9,7,77.78,50.35
ASG00100,STU00020,Operating Systems,8,6,75.0,90.03
ASG00101,STU00021,Big Data Analytics,9,4,44.44,47.71
ASG00102,STU00021,Computer Networks,9,7,77.78,98.74
ASG00103,STU00021,Database Management,12,12,100.0,35.15
ASG00104,STU00021,Machine Learning,12,12,100.0,58.56
ASG00105,STU00021,Operating Systems,10,9,90.0,83.24
ASG00106,STU00022,Big Data Analytics,9,6,66.67,95.25
ASG00107,STU00022,Computer Networks,11,9,81.82,85.65
ASG00108,STU00022,Database Management,10,8,80.0,55.01
ASG00109,STU00022,Machine Learning,12,12,100.0,55.61
ASG00110,STU00022,Operating Systems,11,10,90.91,77.62
ASG00111,STU00023,Big Data Analytics,10,6,60.0,56.68
ASG00112,STU00023,Computer Networks,9,6,66.67,95.68
ASG00113,STU00023,Database Management,9,6,66.67,47.17
ASG00114,STU00023,Machine Learning,9,8,88.89,92.54
ASG00115,STU00023,Operating Systems,8,8,100.0,74.22
ASG00116,STU00024,Big Data Analytics,9,8,88.89,59.97
ASG00117,STU00024,Computer Networks,10,4,40.0,89.27
ASG00118,STU00024,Database Management,11,11,100.0,48.11
ASG00119,STU00024,Machine Learning,12,12,100.0,78.78
ASG00120,STU00024,Operating Systems,11,3,27.27,53.75
ASG00121,STU00025,Big Data Analytics,8,6,75.0,40.95
ASG00122,STU00025,Computer Networks,11,9,81.82,89.88
ASG00123,STU00025,Database Management,12,5,41.67,65.55
ASG00124,STU00025,Machine Learning,12,6,50.0,71.2
ASG00125,STU00025,Operating Systems,9,3,33.33,96.75
ASG00126,STU00026,Big Data Analytics,10,4,40.0,49.43
ASG00127,STU00026,Computer Networks,8,4,50.0,43.77
ASG00128,STU00026,Database Management,11,3,27.27,97.63
ASG00129,STU00026,Machine Learning,12,8,66.67,53.34
ASG00130,STU00026,Operating Systems,11,7,63.64,52.73
ASG00131,STU00027,Big Data Analytics,9,5,55.56,47.87
ASG00132,STU00027,Computer Networks,11,6,54.55,54.92
ASG00133,STU00027,Database Management,11,4,36.36,55.0
ASG00134,STU00027,Machine Learning,8,7,87.5,41.64
ASG00135,STU00027,Operating Systems,12,8,66.67,47.13
ASG00136,STU00028,Big Data Analytics,10,7,70.0,40.93
ASG00137,STU00028,Computer Networks,10,8,80.0,84.63
ASG00138,STU00028,Database Management,9,8,88.89,53.65
ASG00139,STU00028,Machine Learning,9,4,44.44,93.01
ASG00140,STU00028,Operating Systems,10,6,60.0,48.56
ASG00141,STU00029,Big Data Analytics,12,8,66.67,81.26
ASG00142,STU00029,Computer Networks,8,3,37.5,77.24
ASG00143,STU00029,Database Management,11,4,36.36,96.63
ASG00144,STU00029,Machine Learning,11,9,81.82,84.67
ASG00145,STU00029,Operating Systems,11,5,45.45,96.07
ASG00146,STU00030,Big Data Analytics,9,3,33.33,53.63
ASG00147,STU00030,Computer Networks,8,4,50.0,50.84
ASG00148,STU00030,Database Management,12,11,91.67,48.3
ASG00149,STU00030,Machine Learning,12,11,91.67,64.75
ASG00150,STU00030,Operating Systems,9,4,44.44,49.59
ASG00151,STU00031,Big Data Analytics,9,6,66.67,92.92
ASG00152,STU00031,Computer Networks,11,10,90.91,41.71
ASG00153,STU00031,Database Management,10,9,90.0,36.3
ASG00154,STU00031,Machine Learning,12,6,50.0,85.63
ASG00155,STU00031,Operating Systems,10,7,70.0,85.55
ASG00156,STU00032,Big Data Analytics,8,6,75.0,41.76
ASG00157,STU00032,Computer Networks,9,3,33.33,82.49
ASG00158,STU00032,Database Management,8,8,100.0,78.71
ASG00159,STU00032,Machine Learning,8,8,100.0,42.67
ASG00160,STU00032,Operating Systems,9,9,100.0,37.82
ASG00161,STU00033,Big Data Analytics,8,4,50.0,87.24
ASG00162,STU00033,Computer Networks,11,6,54.55,78.55
ASG00163,STU00033,Database Management,8,7,87.5,71.43
ASG00164,STU00033,Machine Learning,11,7,63.64,61.47
ASG00165,STU00033,Operating Systems,8,6,75.0,68.8
ASG00166,STU00034,Big Data Analytics,8,3,37.5,92.37
ASG00167,STU00034,Computer Networks,12,9,75.0,60.92
ASG00168,STU00034,Database Management,11,7,63.64,60.11
ASG00169,STU00034,Machine Learning,10,4,40.0,87.56
ASG00170,STU00034,Operating Systems,12,3,25.0,93.71
ASG00171,STU00035,Big Data Analytics,10,9,90.0,55.35
ASG00172,STU00035,Computer Networks,9,8,88.89,51.66
ASG00173,STU00035,Database Management,10,9,90.0,93.22
ASG00174,STU00035,Machine Learning,11,5,45.45,75.83
ASG00175,STU00035,Operating Systems,12,12,100.0,61.09
ASG00176,STU00036,Big Data Analytics,12,4,33.33,69.72
ASG00177,STU00036,Computer Networks,9,9,100.0,84.76
ASG00178,STU00036,Database Management,9,8,88.89,55.08
ASG00179,STU00036,Machine Learning,9,9,100.0,87.82
ASG00180,STU00036,Operating Systems,11,4,36.36,57.31
ASG00181,STU00037,Big Data Analytics,10,10,100.0,76.94
ASG00182,STU00037,Computer Networks,9,5,55.56,48.18
ASG00183,STU00037,Database Management,9,4,44.44,65.18
ASG00184,STU00037,Machine Learning,8,4,50.0,39.42
ASG00185,STU00037,Operating Systems,11,8,72.73,78.44
ASG00186,STU00038,Big Data Analytics,10,5,50.0,93.71
ASG00187,STU00038,Computer Networks,9,5,55.56,54.24
ASG00188,STU00038,Database Management,10,5,50.0,73.83
ASG00189,STU00038,Machine Learning,11,3,27.27,54.06
ASG00190,STU00038,Operating Systems,8,8,100.0,48.24
ASG00191,STU00039,Big Data Analytics,10,8,80.0,35.03
ASG00192,STU00039,Computer Networks,10,4,40.0,72.82
ASG00193,STU00039,Database Management,8,8,100.0,59.29
ASG00194,STU00039,Machine Learning,8,3,37.5,63.84
ASG00195,STU00039,Operating Systems,9,7,77.78,70.08
ASG00196,STU00040,Big Data Analytics,11,8,72.73,39.27
ASG00197,STU00040,Computer Networks,12,11,91.67,98.55
ASG00198,STU00040,Database Management,10,9,90.0,93.2
ASG00199,STU00040,Machine Learning,12,9,75.0,43.26
ASG00200,STU00040,Operating Systems,9,9,100.0,65.13
ASG00201,STU00041,Big Data Analytics,12,10,83.33,64.34
ASG00202,STU00041,Computer Networks,8,7,87.5,73.49
ASG00203,STU00041,Database Management,11,8,72.73,84.57
ASG00204,STU00041,Machine Learning,12,8,66.67,86.75
ASG00205,STU00041,Operating Systems,11,11,100.0,55.23
ASG00206,STU00042,Big Data Analytics,8,3,37.5,75.14
ASG00207,STU00042,Computer Networks,11,3,27.27,97.91
ASG00208,STU00042,Database Management,9,8,88.89,44.25
ASG00209,STU00042,Machine Learning,10,6,60.0,46.22
ASG00210,STU00042,Operating Systems,12,4,33.33,47.64
ASG00211,STU00043,Big Data Analytics,11,6,54.55,89.81
ASG00212,STU00043,Computer Networks,8,7,87.5,75.71
ASG00213,STU00043,Database Management,10,6,60.0,69.15
ASG00214,STU00043,Machine Learning,12,4,33.33,55.9
ASG00215,STU00043,Operating Systems,8,7,87.5,81.48
ASG00216,STU00044,Big Data Analytics,9,3,33.33,58.33
ASG00217,STU00044,Computer Networks,11,11,100.0,41.09
ASG00218,STU00044,Database Management,11,11,100.0,87.65
ASG00219,STU00044,Machine Learning,10,8,80.0,43.75
ASG00220,STU00044,Operating Systems,12,7,58.33,60.03
ASG00221,STU00045,Big Data Analytics,11,7,63.64,97.6
ASG00222,STU00045,Computer Networks,11,6,54.55,44.46
ASG00223,STU00045,Database Management,12,10,83.33,95.48
ASG00224,STU00045,Machine Learning,8,6,75.0,96.68
ASG00225,STU00045,Operating Systems,10,5,50.0,97.03
ASG00226,STU00046,Big Data Analytics,11,9,81.82,89.9
ASG00227,STU00046,Computer Networks,11,10,90.91,78.61
ASG00228,STU00046,Database Management,12,11,91.67,75.7
ASG00229,STU00046,Machine Learning,10,10,100.0,62.19
ASG00230,STU00046,Operating Systems,12,12,100.0,50.18
ASG00231,STU00047,Big Data Analytics,12,7,58.33,96.78
ASG00232,STU00047,Computer Networks,12,8,66.67,47.14
ASG00233,STU00047,Database Management,8,5,62.5,37.88
ASG00234,STU00047,Machine Learning,11,6,54.55,78.81
ASG00235,STU00047,Operating Systems,8,8,100.0,58.96
ASG00236,STU00048,Big Data Analytics,11,9,81.82,50.21
ASG00237,STU00048,Computer Networks,12,11,91.67,39.48
ASG00238,STU00048,Database Management,10,7,70.0,76.76
ASG00239,STU00048,Machine Learning,9,3,33.33,64.34
ASG00240,STU00048,Operating Systems,11,8,72.73,79.83
ASG00241,STU00049,Big Data Analytics,9,6,66.67,44.81
ASG00242,STU00049,Computer Networks,10,10,100.0,61.31
ASG00243,STU00049,Database Management,11,4,36.36,42.49
ASG00244,STU00049,Machine Learning,8,4,50.0,59.48
ASG00245,STU00049,Operating Systems,11,9,81.82,51.71
ASG00246,STU00050,Big Data Analytics,8,7,87.5,69.27
ASG00247,STU00050,Computer Networks,12,6,50.0,60.75
ASG00248,STU00050,Database Management,8,8,100.0,43.34
ASG00249,STU00050,Machine Learning,11,9,81.82,99.49
ASG00250,STU00050,Operating Systems,12,11,91.67,83.16
ASG00251,STU00051,Big Data Analytics,12,5,41.67,67.92
ASG00252,STU00051,Computer Networks,8,6,75.0,65.55
ASG00253,STU00051,Database Management,10,5,50.0,83.83
ASG00254,STU00051,Machine Learning,9,4,44.44,66.63
ASG00255,STU00051,Operating Systems,12,8,66.67,96.91
ASG00256,STU00052,Big Data Analytics,11,9,81.82,73.85
ASG00257,STU00052,Computer Networks,11,11,100.0,88.59
ASG00258,STU00052,Database Management,11,9,81.82,50.24
ASG00259,STU00052,Machine Learning,10,8,80.0,79.67
ASG00260,STU00052,Operating Systems,8,4,50.0,93.92
ASG00261,STU00053,Big Data Analytics,12,6,50.0,50.92
ASG00262,STU00053,Computer Networks,9,8,88.89,97.16
ASG00263,STU00053,Database Management,8,4,50.0,59.19
ASG00264,STU00053,Machine Learning,11,9,81.82,97.21
ASG00265,STU00053,Operating Systems,12,5,41.67,44.5
ASG00266,STU00054,Big Data Analytics,9,9,100.0,64.68
ASG00267,STU00054,Computer Networks,8,4,50.0,83.02
ASG00268,STU00054,Database Management,8,3,37.5,55.57
ASG00269,STU00054,Machine Learning,11,7,63.64,43.86
ASG00270,STU00054,Operating Systems,8,8,100.0,81.35
ASG00271,STU00055,Big Data Analytics,11,5,45.45,86.59
ASG00272,STU00055,Computer Networks,12,10,83.33,88.16
ASG00273,STU00055,Database Management,11,6,54.55,86.52
ASG00274,STU00055,Machine Learning,10,8,80.0,87.64
ASG00275,STU00055,Operating Systems,11,7,63.64,49.23
ASG00276,STU00056,Big Data Analytics,8,6,75.0,99.1
ASG00277,STU00056,Computer Networks,8,8,100.0,62.0
ASG00278,STU00056,Database Management,12,12,100.0,71.76
ASG00279,STU00056,Machine Learning,10,9,90.0,39.35
ASG00280,STU00056,Operating Systems,12,5,41.67,48.61
ASG00281,STU00057,Big Data Analytics,8,5,62.5,39.73
ASG00282,STU00057,Computer Networks,10,5,50.0,93.66
ASG00283,STU00057,Database Management,10,10,100.0,64.09
ASG00284,STU00057,Machine Learning,9,9,100.0,49.05
ASG00285,STU00057,Operating Systems,8,6,75.0,71.42
ASG00286,STU00058,Big Data Analytics,12,7,58.33,45.44
ASG00287,STU00058,Computer Networks,11,11,100.0,66.35
ASG00288,STU00058,Database Management,8,7,87.5,46.76
ASG00289,STU00058,Machine Learning,9,5,55.56,40.64
ASG00290,STU00058,Operating Systems,11,3,27.27,48.42
ASG00291,STU00059,Big Data Analytics,12,8,66.67,75.63
ASG00292,STU00059,Computer Networks,12,10,83.33,84.61
ASG00293,STU00059,Database Management,10,9,90.0,74.45
ASG00294,STU00059,Machine Learning,12,4,33.33,63.44
ASG00295,STU00059,Operating Systems,9,5,55.56,66.69
ASG00296,STU00060,Big Data Analytics,11,3,27.27,55.35
ASG00297,STU00060,Computer Networks,8,3,37.5,82.98
ASG00298,STU00060,Database Management,9,8,88.89,76.0
ASG00299,STU00060,Machine Learning,12,3,25.0,88.46
ASG00300,STU00060,Operating Systems,8,7,87.5,45.21
ASG00301,STU00061,Big Data Analytics,9,4,44.44,70.41
ASG00302,STU00061,Computer Networks,9,6,66.67,74.56
ASG00303,STU00061,Database Management,9,4,44.44,54.21
ASG00304,STU00061,Machine Learning,9,3,33.33,48.65
ASG00305,STU00061,Operating Systems,10,10,100.0,89.06
ASG00306,STU00062,Big Data Analytics,10,8,80.0,70.91
ASG00307,STU00062,Computer Networks,9,7,77.78,70.78
ASG00308,STU00062,Database Management,8,4,50.0,42.56
ASG00309,STU00062,Machine Learning,11,6,54.55,49.1
ASG00310,STU00062,Operating Systems,8,7,87.5,88.32
ASG00311,STU00063,Big Data Analytics,9,8,88.89,35.32
ASG00312,STU00063,Computer Networks,12,9,75.0,48.05
ASG00313,STU00063,Database Management,12,10,83.33,86.76
ASG00314,STU00063,Machine Learning,10,3,30.0,39.4
ASG00315,STU00063,Operating Systems,12,8,66.67,96.95
ASG00316,STU00064,Big Data Analytics,12,3,25.0,90.28
ASG00317,STU00064,Computer Networks,11,6,54.55,42.14
ASG00318,STU00064,Database Management,9,4,44.44,66.83
ASG00319,STU00064,Machine Learning,11,4,36.36,45.63
ASG00320,STU00064,Operating Systems,8,8,100.0,69.27
ASG00321,STU00065,Big Data Analytics,9,8,88.89,57.8
ASG00322,STU00065,Computer Networks,11,10,90.91,81.74
ASG00323,STU00065,Database Management,12,6,50.0,66.61
ASG00324,STU00065,Machine Learning,8,8,100.0,60.05
ASG00325,STU00065,Operating Systems,9,3,33.33,83.15
ASG00326,STU00066,Big Data Analytics,8,5,62.5,53.87
ASG00327,STU00066,Computer Networks,12,8,66.67,92.76
ASG00328,STU00066,Database Management,8,8,100.0,46.83
ASG00329,STU00066,Machine Learning,12,6,50.0,59.87
ASG00330,STU00066,Operating Systems,8,6,75.0,65.29
ASG00331,STU00067,Big Data Analytics,11,3,27.27,94.24
ASG00332,STU00067,Computer Networks,9,9,100.0,38.4
ASG00333,STU00067,Database Management,12,12,100.0,35.27
ASG00334,STU00067,Machine Learning,12,3,25.0,92.41
ASG00335,STU00067,Operating Systems,8,3,37.5,64.59
ASG00336,STU00068,Big Data Analytics,11,3,27.27,93.64
ASG00337,STU00068,Computer Networks,11,10,90.91,60.54
ASG00338,STU00068,Database Management,12,7,58.33,70.57
ASG00339,STU00068,Machine Learning,12,9,75.0,60.59
ASG00340,STU00068,Operating Systems,9,3,33.33,38.94
ASG00341,STU00069,Big Data Analytics,8,7,87.5,68.38
ASG00342,STU00069,Computer Networks,11,5,45.45,36.63
ASG00343,STU00069,Database Management,9,7,77.78,94.94
ASG00344,STU00069,Machine Learning,11,8,72.73,35.04
ASG00345,STU00069,Operating Systems,12,11,91.67,82.37
ASG00346,STU00070,Big Data Analytics,12,11,91.67,35.67
ASG00347,STU00070,Computer Networks,9,5,55.56,51.41
ASG00348,STU00070,Database Management,8,3,37.5,38.65
ASG00349,STU00070,Machine Learning,9,5,55.56,81.84
ASG00350,STU00070,Operating Systems,11,7,63.64,91.2
ASG00351,STU00071,Big Data Analytics,11,6,54.55,64.27
ASG00352,STU00071,Computer Networks,9,8,88.89,63.44
ASG00353,STU00071,Database Management,10,6,60.0,58.19
ASG00354,STU00071,Machine Learning,12,4,33.33,42.01
ASG00355,STU00071,Operating Systems,9,3,33.33,39.73
ASG00356,STU00072,Big Data Analytics,10,3,30.0,81.29
ASG00357,STU00072,Computer Networks,11,5,45.45,92.31
ASG00358,STU00072,Database Management,9,8,88.89,43.52
ASG00359,STU00072,Machine Learning,12,7,58.33,90.53
ASG00360,STU00072,Operating Systems,12,3,25.0,81.01
ASG00361,STU00073,Big Data Analytics,9,3,33.33,55.32
ASG00362,STU00073,Computer Networks,10,9,90.0,69.33
ASG00363,STU00073,Database Management,9,6,66.67,56.66
ASG00364,STU00073,Machine Learning,8,8,100.0,92.07
ASG00365,STU00073,Operating Systems,10,6,60.0,49.79
ASG00366,STU00074,Big Data Analytics,8,8,100.0,94.65
ASG00367,STU00074,Computer Networks,9,5,55.56,51.46
ASG00368,STU00074,Database Management,9,7,77.78,41.7
ASG00369,STU00074,Machine Learning,12,5,41.67,76.14
ASG00370,STU00074,Operating Systems,12,5,41.67,72.63
ASG00371,STU00075,Big Data Analytics,9,9,100.0,50.25
ASG00372,STU00075,Computer Networks,8,4,50.0,98.37
ASG00373,STU00075,Database Management,8,8,100.0,84.48
ASG00374,STU00075,Machine Learning,11,8,72.73,39.43
ASG00375,STU00075,Operating Systems,12,7,58.33,73.49
ASG00376,STU00076,Big Data Analytics,12,4,33.33,63.94
ASG00377,STU00076,Computer Networks,9,7,77.78,54.63
ASG00378,STU00076,Database Management,10,8,80.0,63.64
ASG00379,STU00076,Machine Learning,10,3,30.0,74.28
ASG00380,STU00076,Operating Systems,12,6,50.0,41.89
ASG00381,STU00077,Big Data Analytics,8,4,50.0,98.58
ASG00382,STU00077,Computer Networks,10,3,30.0,96.87
ASG00383,STU00077,Database Management,12,4,33.33,82.31
ASG00384,STU00077,Machine Learning,12,9,75.0,51.37
ASG00385,STU00077,Operating Systems,8,6,75.0,72.45
ASG00386,STU00078,Big Data Analytics,12,9,75.0,48.0
ASG00387,STU00078,Computer Networks,11,11,100.0,60.31
ASG00388,STU00078,Database Management,8,4,50.0,62.84
ASG00389,STU00078,Machine Learning,12,7,58.33,89.48
ASG00390,STU00078,Operating Systems,10,7,70.0,41.85
ASG00391,STU00079,Big Data Analytics,8,4,50.0,72.77
ASG00392,STU00079,Computer Networks,9,7,77.78,57.2
ASG00393,STU00079,Database Management,11,8,72.73,92.61
ASG00394,STU00079,Machine Learning,10,8,80.0,75.27
ASG00395,STU00079,Operating Systems,8,6,75.0,51.25
ASG00396,STU00080,Big Data Analytics,10,6,60.0,61.3
ASG00397,STU00080,Computer Networks,8,7,87.5,56.57
ASG00398,STU00080,Database Management,9,8,88.89,41.17
ASG00399,STU00080,Machine Learning,9,9,100.0,70.35
ASG00400,STU00080,Operating Systems,12,11,91.67,53.37
ASG00401,STU00081,Big Data Analytics,10,5,50.0,84.52
ASG00402,STU00081,Computer Networks,9,8,88.89,56.47
ASG00403,STU00081,Database Management,11,3,27.27,80.93
ASG00404,STU00081,Machine Learning,11,4,36.36,72.72
ASG00405,STU00081,Operating Systems,11,11,100.0,85.61
ASG00406,STU00082,Big Data Analytics,12,5,41.67,59.56
ASG00407,STU00082,Computer Networks,11,9,81.82,60.74
ASG00408,STU00082,Database Management,8,4,50.0,45.26
ASG00409,STU00082,Machine Learning,10,5,50.0,82.82
ASG00410,STU00082,Operating Systems,10,6,60.0,97.87
ASG00411,STU00083,Big Data Analytics,9,8,88.89,51.46
ASG00412,STU00083,Computer Networks,11,9,81.82,99.14
ASG00413,STU00083,Database Management,12,4,33.33,75.03
ASG00414,STU00083,Machine Learning,9,8,88.89,50.97
ASG00415,STU00083,Operating Systems,11,8,72.73,68.46
ASG00416,STU00084,Big Data Analytics,11,6,54.55,41.71
ASG00417,STU00084,Computer Networks,9,6,66.67,85.76
ASG00418,STU00084,Database Management,8,5,62.5,80.29
ASG00419,STU00084,Machine Learning,10,6,60.0,65.84
ASG00420,STU00084,Operating Systems,10,7,70.0,87.17
ASG00421,STU00085,Big Data Analytics,10,7,70.0,55.43
ASG00422,STU00085,Computer Networks,9,5,55.56,77.5
ASG00423,STU00085,Database Management,10,7,70.0,60.36
ASG00424,STU00085,Machine Learning,9,9,100.0,77.2
ASG00425,STU00085,Operating Systems,11,8,72.73,46.77
ASG00426,STU00086,Big Data Analytics,9,3,33.33,55.18
ASG00427,STU00086,Computer Networks,9,9,100.0,91.68
ASG00428,STU00086,Database Management,10,4,40.0,86.06
ASG00429,STU00086,Machine Learning,9,8,88.89,35.79
ASG00430,STU00086,Operating Systems,10,10,100.0,65.07
ASG00431,STU00087,Big Data Analytics,10,9,90.0,43.65
ASG00432,STU00087,Computer Networks,12,5,41.67,90.97
ASG00433,STU00087,Database Management,10,4,40.0,69.17
ASG00434,STU00087,Machine Learning,8,5,62.5,78.3
ASG00435,STU00087,Operating Systems,10,9,90.0,50.63
ASG00436,STU00088,Big Data Analytics,10,9,90.0,71.73
ASG00437,STU00088,Computer Networks,11,6,54.55,50.71
ASG00438,STU00088,Database Management,8,8,100.0,66.04
ASG00439,STU00088,Machine Learning,9,8,88.89,92.59
ASG00440,STU00088,Operating Systems,8,4,50.0,84.37
ASG00441,STU00089,Big Data Analytics,8,8,100.0,60.17
ASG00442,STU00089,Computer Networks,10,10,100.0,85.53
ASG00443,STU00089,Database Management,12,8,66.67,86.68
ASG00444,STU00089,Machine Learning,12,3,25.0,75.2
ASG00445,STU00089,Operating Systems,12,7,58.33,85.24
ASG00446,STU00090,Big Data Analytics,8,7,87.5,55.63
ASG00447,STU00090,Computer Networks,10,7,70.0,83.46
ASG00448,STU00090,Database Management,12,7,58.33,94.45
ASG00449,STU00090,Machine Learning,11,3,27.27,72.72
ASG00450,STU00090,Operating Systems,11,5,45.45,41.99
ASG00451,STU00091,Big Data Analytics,12,10,83.33,80.37
ASG00452,STU00091,Computer Networks,12,6,50.0,62.06
ASG00453,STU00091,Database Management,8,5,62.5,46.05
ASG00454,STU00091,Machine Learning,10,7,70.0,64.75
ASG00455,STU00091,Operating Systems,10,10,100.0,44.39
ASG00456,STU00092,Big Data Analytics,10,5,50.0,98.29
ASG00457,STU00092,Computer Networks,8,5,62.5,65.65
ASG00458,STU00092,Database Management,10,5,50.0,71.36
ASG00459,STU00092,Machine Learning,12,6,50.0,60.42
ASG00460,STU00092,Operating Systems,11,8,72.73,76.23
ASG00461,STU00093,Big Data Analytics,11,5,45.45,81.32
ASG00462,STU00093,Computer Networks,11,10,90.91,42.09
ASG00463,STU00093,Database Management,8,6,75.0,90.37
