student_id,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency
STU00070,37.18,69.52,26.72,28.37,30.83,289,6.3
STU00071,43.22,65.41,26.2,37.97,20.0,278,4.3
STU00072,30.94,74.66,23.24,27.47,29.81,232,5.9
STU00073,32.72,60.61,25.22,25.21,27.68,291,5.1
STU00074,28.94,72.97,24.33,31.01,28.45,266,5.6
STU00075,39.2,63.97,24.83,35.11,27.05,289,4.3
STU00076,49.24,59.76,17.14,41.03,16.43,232,5.2
STU00077,44.39,69.26,31.51,30.79,27.31,327,5.3
STU00078,41.73,62.55,23.01,28.49,16.15,240,8.2
STU00079,54.23,71.23,20.78,25.96,23.86,283,5.9
STU00080,28.02,67.52,35.63,31.95,18.98,283,6.0
STU00081,39.83,61.42,26.23,32.33,26.56,304,5.8
STU00082,42.9,70.23,17.27,28.91,27.69,197,5.7
STU00083,44.51,69.84,28.0,34.37,26.88,290,7.3
STU00084,39.34,77.85,20.87,33.71,17.23,307,7.0
STU00085,47.66,63.49,27.03,38.99,26.02,195,6.1
STU00086,48.05,68.11,23.45,29.51,22.27,175,6.1
STU00087,43.98,67.66,28.96,41.27,28.34,198,5.3
STU00088,41.44,71.94,24.85,34.3,26.09,270,3.7
STU00089,46.56,67.9,27.8,26.43,24.47,232,4.4
STU00090,27.5,63.06,35.21,26.25,25.64,264,5.0
STU00091,33.84,69.16,20.45,28.7,29.88,268,3.8
STU00092,46.54,68.31,31.32,32.81,26.25,292,6.8
STU00093,39.19,70.07,20.9,26.61,28.52,307,3.1
STU00094,42.05,70.79,20.98,33.58,26.84,260,5.6
STU00095,28.07,70.65,16.33,31.73,19.0,222,5.3
STU00096,42.85,73.33,19.28,30.04,30.3,256,4.6
STU00097,35.35,65.76,25.86,33.78,23.74,329,5.6
STU00098,45.09,66.92,21.55,34.3,31.85,320,5.0
STU00099,46.33,70.09,32.63,38.57,22.34,287,5.7
STU00100,33.08,67.82,24.89,34.5,17.74,226,5.7
STU00101,46.35,66.44,22.78,32.41,22.66,296,6.8
STU00102,41.76,71.64,24.37,30.11,24.31,268,5.8
STU00103,60.73,65.11,29.1,35.34,23.36,287,4.8
STU00104,41.81,74.79,19.23,29.52,34.27,335,6.4
STU00105,50.29,67.25,25.62,31.83,20.12,231,6.2
STU00106,42.67,72.96,26.95,35.55,20.9,320,4.4
STU00107,35.77,66.01,29.46,36.81,26.93,260,4.2
STU00108,33.19,63.83,27.49,34.88,27.54,172,4.9
STU00109,45.08,72.41,29.45,43.44,28.47,263,3.7
STU00110,44.2,67.19,25.69,28.55,15.34,182,6.3
STU00111,41.98,70.28,23.31,33.98,23.42,266,6.9
STU00112,32.1,65.66,22.68,38.99,24.67,269,7.3
STU00113,47.15,68.8,25.76,28.28,27.63,263,4.9
STU00114,47.49,73.76,22.75,37.6,23.62,290,5.3
STU00115,39.41,73.22,22.96,38.85,26.4,246,5.8
STU00116,39.6,69.95,21.49,32.09,26.78,254,5.1
STU00117,38.18,71.11,22.14,36.14,31.48,196,4.7
STU00118,50.04,70.53,26.35,29.1,24.29,305,5.5
STU00119,50.01,70.69,29.0,38.76,31.28,163,5.2
STU00120,41.09,67.52,23.27,36.59,25.34,291,4.1
STU00121,54.02,71.3,25.77,32.26,28.23,219,6.6
STU00122,36.1,67.72,19.52,27.87,33.1,259,3.9
STU00123,46.61,71.44,20.18,35.12,16.73,223,5.9
STU00124,46.15,68.62,29.58,38.42,20.87,245,4.1
STU00125,35.56,64.71,21.2,27.13,31.62,225,4.2
STU00126,54.64,67.93,28.37,30.57,35.66,259,7.0
STU00127,36.64,67.0,22.44,32.09,24.95,220,5.3
STU00128,41.5,61.97,18.08,40.08,21.89,349,5.9
STU00129,52.22,69.08,29.22,30.75,32.5,186,5.8
STU00130,48.72,64.62,26.72,31.5,19.31,186,5.0
STU00131,43.53,69.09,23.05,39.55,22.41,267,6.1
STU00132,49.86,61.51,24.59,35.26,22.59,263,7.7
STU00133,48.31,63.62,32.52,27.3,23.38,278,6.7
STU00134,37.81,64.41,24.36,32.23,24.55,295,5.7
STU00135,39.79,61.98,33.16,32.53,26.68,221,5.1
STU00136,34.95,66.12,25.49,32.22,31.78,301,3.9
STU00137,39.93,61.04,18.36,25.26,24.81,256,4.2
STU00138,39.27,70.34,15.94,38.14,15.24,258,5.2
STU00139,50.8,70.88,19.46,33.42,26.65,195,5.8
STU00140,40.08,65.07,28.23,31.03,19.61,263,5.3
STU00141,35.8,58.97,33.11,32.06,27.36,282,6.2
STU00142,54.36,63.1,17.94,32.56,25.52,182,6.4
STU00143,33.78,66.95,23.01,39.53,21.48,266,4.9
STU00144,46.57,67.95,22.31,34.42,24.63,238,4.9
STU00145,53.82,67.92,21.95,33.8,22.32,259,7.7
STU00146,31.08,72.08,25.75,23.29,28.67,265,5.2
STU00147,50.75,63.77,22.7,40.02,25.8,161,7.0
STU00148,53.01,70.97,26.57,27.47,23.14,242,4.6
STU00149,30.09,69.02,30.78,34.68,34.49,259,4.4
STU00150,42.38,69.0,35.42,27.33,22.08,202,5.9
STU00151,50.94,71.94,29.14,41.71,27.69,275,5.3
STU00152,37.41,61.1,20.77,36.01,26.23,191,5.5
STU00153,38.37,61.29,25.21,34.99,31.79,169,4.6
STU00154,41.39,65.12,25.77,33.18,24.91,332,5.1
STU00155,43.43,63.49,31.89,33.58,21.73,253,3.9
STU00156,39.36,64.61,17.55,25.84,25.3,231,7.1
STU00157,45.72,67.36,19.0,36.87,26.42,237,7.8
STU00158,46.68,63.33,18.91,37.84,28.83,163,7.0
STU00159,44.89,70.0,32.37,34.57,26.15,277,6.9
STU00160,40.32,71.64,22.65,32.48,27.73,333,5.8
STU00161,40.57,66.33,15.32,27.24,25.97,275,4.4
STU00162,49.28,73.59,31.07,35.73,33.17,268,5.9
STU00163,26.01,68.8,16.86,32.09,19.27,284,5.2
STU00164,53.63,71.06,26.38,35.88,24.57,227,4.7
STU00165,44.12,68.08,14.12,30.69,22.54,298,6.9
STU00166,48.45,71.27,29.23,36.94,22.66,236,6.7
STU00167,46.04,67.36,22.97,36.35,24.71,262,5.2
STU00168,42.36,64.26,27.18,33.27,31.6,198,6.2
STU00169,42.93,66.57,29.04,27.26,19.42,222,6.4
STU00170,36.26,71.2,22.51,33.15,23.53,290,6.6
STU00171,54.37,71.45,24.72,34.62,26.67,209,5.5
STU00172,39.85,65.67,30.35,35.25,24.85,134,4.8
STU00173,48.55,67.55,28.22,37.37,22.76,316,6.0
STU00174,38.13,64.82,19.8,33.14,28.61,277,4.5
STU00175,43.6,68.0,29.38,25.24,16.09,329,6.5
STU00176,50.96,76.28,23.91,36.04,27.83,278,6.9
STU00177,31.53,69.25,21.4,26.45,20.68,271,6.0
STU00178,48.13,74.61,22.66,30.9,16.63,229,6.3
STU00179,40.84,60.63,28.28,37.87,19.35,291,6.6
STU00180,33.98,74.92,24.35,33.44,18.94,211,4.4
STU00181,38.14,70.12,35.01,38.25,26.95,327,4.6
STU00182,41.97,67.03,25.14,31.69,34.4,288,5.6
STU00183,40.07,58.45,23.67,37.61,31.97,359,5.3
STU00184,38.77,61.85,23.04,29.8,22.08,311,5.5
STU00185,38.37,68.48,25.43,34.48,20.58,298,6.0
STU00186,38.26,67.73,30.04,22.37,21.85,155,4.8
STU00187,38.73,67.38,32.34,33.81,30.68,274,4.6
STU00188,46.74,69.07,29.41,27.67,21.59,246,7.2
STU00189,39.72,68.01,27.24,23.21,25.93,287,5.1
STU00190,42.64,60.44,33.06,29.17,32.47,221,6.4
STU00191,41.85,64.26,22.38,30.43,24.44,202,6.2
STU00192,47.41,60.61,29.16,33.56,22.71,198,5.5
STU00193,51.62,71.91,32.8,31.11,21.14,232,3.8
STU00194,35.27,65.47,25.82,34.97,24.7,234,5.7
STU00195,50.09,66.58,22.91,30.71,27.49,129,7.0
STU00196,26.76,62.48,20.99,36.79,28.74,292,6.3
STU00197,39.18,70.37,25.64,28.47,26.74,276,6.1
STU00198,32.24,64.13,26.28,39.06,17.67,270,5.1
STU00199,39.62,67.11,22.02,30.03,23.42,252,5.6
STU00200,48.53,71.4,34.44,24.1,26.54,262,4.7
STU00201,30.67,65.25,22.0,30.18,27.41,228,6.0
STU00202,36.71,64.43,18.12,26.58,21.19,272,6.3
STU00203,49.41,59.9,31.14,21.69,29.35,221,4.8
STU00204,42.61,70.97,29.95,30.07,30.79,275,6.2
STU00205,33.95,74.65,24.84,38.85,14.07,209,3.9
STU00206,54.52,65.92,27.33,31.6,23.4,178,5.1
STU00207,42.16,71.38,25.36,28.86,21.25,231,5.7
STU00208,37.74,61.7,20.55,33.91,32.62,243,7.4
STU00209,32.39,66.15,24.28,24.99,17.85,246,4.4
STU00210,44.9,62.17,27.21,36.57,32.1,229,4.1
STU00211,46.65,73.44,26.78,27.5,23.56,278,4.8
STU00212,34.87,73.11,29.73,23.63,28.8,224,5.8
STU00213,44.68,73.46,18.95,30.17,25.08,172,6.1
STU00214,48.76,68.77,18.6,34.97,29.91,293,6.0
STU00215,35.76,72.69,19.77,38.86,32.02,307,4.8
STU00216,22.6,70.16,24.1,38.74,30.52,190,4.8
STU00217,38.83,68.75,26.26,36.83,26.48,318,4.6
STU00218,48.81,70.24,31.41,32.07,21.14,281,4.6
STU00219,52.13,69.37,19.64,32.54,17.37,207,5.7
STU00220,48.19,71.16,19.99,36.16,22.7,278,6.3
STU00221,47.24,62.13,19.47,30.04,27.63,332,5.8
STU00222,44.77,58.21,33.7,37.58,21.37,275,6.8
STU00223,48.95,62.48,27.41,35.97,16.1,152,6.2
STU00224,47.97,65.82,23.78,34.57,28.98,188,5.2
STU00225,45.7,68.24,30.4,25.89,28.86,182,5.2
STU00226,48.42,71.58,21.51,28.17,26.99,167,3.9
STU00227,36.77,74.21,21.31,27.01,26.34,270,5.4
STU00228,34.03,64.44,30.22,38.82,25.0,291,4.3
STU00229,40.39,66.88,24.06,33.02,30.35,233,4.8
STU00230,47.18,72.21,20.23,35.02,20.19,282,4.6
STU00231,37.64,70.56,23.46,31.56,29.61,227,5.9
STU00232,32.38,73.86,28.86,39.46,29.13,285,4.9
STU00233,37.07,65.74,34.7,36.53,29.3,227,4.5
STU00234,35.24,74.32,17.79,30.96,31.38,256,6.0
STU00235,40.98,63.59,21.08,31.25,18.01,305,6.3
STU00236,54.17,69.54,31.74,38.47,23.69,272,4.1
STU00237,48.74,73.0,26.05,26.13,24.79,261,5.7
STU00238,42.97,74.63,22.04,35.65,19.6,254,4.7
STU00239,52.06,63.76,20.79,31.68,23.86,273,5.6
STU00240,50.86,67.98,28.68,26.44,26.91,257,4.9
STU00241,51.11,61.5,24.27,39.12,25.35,212,6.3
STU00242,38.17,64.35,28.01,33.63,22.46,200,4.7
STU00243,39.71,64.52,24.5,22.14,21.1,253,5.6
STU00244,44.95,66.48,20.51,28.68,17.09,228,5.1
STU00245,35.05,61.35,22.45,28.42,20.7,245,5.9
STU00246,43.23,67.23,25.2,36.41,25.94,198,5.5
STU00247,43.95,66.29,27.03,27.94,19.9,220,4.3
STU00248,51.1,70.82,26.68,33.61,27.16,284,4.6
STU00249,41.41,66.62,21.45,35.3,29.26,288,5.7
STU00250,33.49,78.53,21.11,31.17,29.19,222,5.4
STU00251,46.62,70.0,22.97,40.31,26.57,220,4.3
STU00252,52.26,69.72,20.38,37.91,15.95,247,4.7
STU00253,49.5,70.57,29.43,27.99,19.64,263,4.9
STU00254,36.82,67.9,21.78,42.23,21.31,227,6.1
STU00255,34.76,66.38,31.41,39.79,25.7,303,7.5
STU00256,50.32,67.28,26.65,31.34,29.99,290,5.0
STU00257,38.31,66.91,21.17,35.25,21.08,178,3.8
STU00258,53.61,60.81,20.09,37.09,21.25,228,6.5
STU00259,57.69,69.39,30.0,33.03,19.53,142,5.0
STU00260,46.0,79.78,29.57,29.15,26.8,242,5.8
STU00261,47.12,60.78,24.56,37.14,25.62,298,5.6
STU00262,45.79,67.73,22.06,29.49,25.89,279,5.5
STU00263,40.28,65.17,24.65,38.77,25.91,268,4.3
STU00264,32.76,61.41,25.49,43.35,21.85,324,6.8
STU00265,38.97,71.06,25.21,27.73,24.52,210,4.1
STU00266,50.34,64.83,32.92,32.53,17.9,198,6.0
STU00267,49.09,68.65,27.88,32.72,27.96,190,5.9
STU00268,44.48,64.7,24.22,28.48,31.7,241,5.9
STU00269,44.13,69.2,21.12,24.85,29.2,261,5.8
STU00270,37.85,69.65,27.66,33.26,22.97,219,6.5
STU00271,37.12,66.62,14.24,31.53,26.82,265,6.0
STU00272,40.95,63.85,23.94,25.41,27.24,210,6.1
STU00273,59.24,66.55,30.99,28.27,26.17,254,5.9
STU00274,33.6,64.75,23.12,33.27,24.77,275,5.4
STU00275,35.98,64.47,33.55,29.64,25.47,218,6.8
STU00276,41.79,72.56,32.79,28.89,18.75,201,5.8
STU00277,38.98,78.54,17.53,39.69,26.2,293,4.0
STU00278,47.47,64.14,27.07,33.13,29.31,150,6.0
STU00279,49.98,68.83,16.8,34.87,24.56,291,5.6
STU00280,42.43,64.18,26.39,32.35,28.68,296,4.5
STU00281,39.39,69.94,35.07,38.22,28.07,231,5.2
STU00282,44.59,68.15,22.61,40.49,23.24,138,7.1
STU00283,31.3,68.84,27.19,29.06,23.98,235,5.5
STU00284,26.09,72.12,22.19,31.42,21.17,220,6.1
STU00285,38.71,71.29,26.55,19.34,28.4,196,5.8
STU00286,37.88,66.76,21.85,32.93,32.29,250,6.2
STU00287,42.52,62.31,21.13,27.25,27.49,278,4.7
STU00288,31.93,68.91,22.17,32.95,21.41,230,4.9
STU00289,40.96,62.81,21.43,33.83,26.18,332,5.5
STU00290,27.25,67.6,24.41,27.62,22.16,199,5.3
STU00291,50.76,67.29,29.57,32.72,25.59,233,6.1
STU00292,47.59,68.69,19.3,33.57,30.08,253,6.9
STU00293,45.55,62.86,23.22,28.51,23.17,292,3.8
STU00294,33.33,60.42,30.54,27.36,25.98,272,6.9
STU00295,41.66,66.35,22.8,32.57,22.85,282,4.3
STU00296,44.72,66.35,28.84,29.47,21.07,321,5.4
STU00297,45.51,70.19,23.27,29.72,23.51,286,6.5
STU00298,53.91,65.64,20.31,30.15,28.99,284,6.3
STU00299,45.92,65.29,25.82,32.89,32.3,264,6.5
STU00300,31.35,69.03,18.14,33.94,25.89,230,3.9
STU00301,58.53,67.27,26.99,34.78,23.77,266,5.7
STU00302,53.58,61.35,28.65,42.75,18.5,201,5.4
STU00303,39.15,67.29,21.99,32.2,13.58,265,5.8
STU00304,39.64,63.41,25.8,30.11,31.58,243,4.9
STU00305,35.16,60.99,30.31,24.98,20.58,154,5.1
STU00306,37.81,65.17,32.04,38.67,26.02,213,4.4
STU00307,42.15,70.32,26.24,30.16,23.46,300,4.6
STU00308,41.97,57.86,26.69,31.96,26.93,243,6.6
STU00309,35.51,67.37,25.82,36.02,27.87,214,4.6
STU00310,43.7,70.33,21.13,35.43,23.38,310,6.6
STU00311,46.18,72.42,19.56,35.44,17.64,311,5.3
STU00312,52.53,63.48,22.61,33.32,22.4,317,5.6
STU00313,44.74,67.9,34.24,29.22,20.67,317,6.4
STU00314,40.51,72.69,18.06,36.74,23.47,226,4.5
STU00315,40.3,65.17,31.12,43.43,19.45,248,4.8
STU00316,42.64,70.99,24.53,36.79,29.01,282,5.5
STU00317,31.33,69.08,27.77,34.2,25.14,222,4.8
STU00318,28.62,65.3,26.2,34.76,29.34,335,4.4
STU00319,38.9,66.02,14.64,35.53,29.95,155,4.5
STU00320,54.04,62.57,29.38,29.72,23.37,278,7.3
STU00321,36.51,61.85,24.02,29.8,31.21,184,5.7
STU00322,35.3,63.11,28.88,33.29,20.92,241,5.1
STU00323,44.81,70.23,25.96,35.27,20.39,308,5.7
STU00324,43.31,64.1,31.82,36.61,30.83,256,6.0
STU00325,53.08,69.2,20.93,26.96,22.87,285,5.7
STU00326,42.19,70.26,21.91,34.96,30.96,231,4.3
STU00327,43.67,72.73,24.63,42.0,28.87,288,6.5
STU00328,35.91,76.0,20.94,31.52,28.75,229,5.2
STU00329,41.03,66.72,21.63,32.48,19.25,311,5.2
STU00330,34.98,66.04,23.82,36.08,31.82,151,4.3
STU00331,53.78,66.02,26.57,34.05,27.14,292,5.9
STU00332,33.07,74.1,26.58,31.12,26.5,277,6.3
STU00333,39.49,64.57,22.73,30.53,21.13,220,5.8
STU00334,47.66,57.01,25.12,35.95,23.03,306,3.9
STU00335,41.97,65.58,26.32,29.75,25.88,224,5.2
STU00336,54.66,68.97,23.03,29.83,26.14,264,4.2
STU00337,40.32,62.06,31.74,40.37,23.48,348,6.1
STU00338,39.91,75.72,28.03,24.96,25.34,209,5.9
STU00339,35.23,74.67,27.44,27.58,27.86,232,5.4
STU00340,29.4,70.04,24.52,31.05,26.28,262,5.5
STU00341,50.34,68.26,29.82,26.43,22.9,315,6.0
STU00342,34.36,66.92,28.05,28.45,22.88,257,5.8
STU00343,49.08,65.56,20.92,36.15,31.64,218,6.2
STU00344,44.51,72.74,31.57,41.63,19.72,213,5.4
STU00345,41.54,66.44,31.73,27.04,24.08,299,5.0
STU00346,35.1,65.32,13.79,36.71,22.21,285,4.7
STU00347,30.89,73.68,25.11,29.35,19.42,232,5.7
STU00348,50.16,69.38,29.59,25.9,30.72,241,6.8
STU00349,34.85,64.11,26.55,35.2,20.64,253,6.4
STU00350,44.3,58.11,22.71,29.64,32.53,173,5.4
STU00351,34.59,62.22,30.79,28.11,18.76,200,5.0
STU00352,51.7,67.44,23.88,33.48,29.02,239,5.0
STU00353,43.81,65.63,26.07,37.12,23.34,232,5.1
STU00354,35.75,70.38,17.34,37.39,28.61,199,3.4
STU00355,46.01,73.42,25.07,31.81,23.23,227,5.0
STU00356,32.41,68.52,27.18,33.95,25.88,261,3.9
STU00357,53.57,64.97,20.35,27.36,26.52,277,7.3
STU00358,42.92,65.75,23.92,40.17,22.82,227,6.7
STU00359,49.73,69.86,21.39,27.27,27.06,402,5.0
STU00360,40.21,59.56,24.02,28.05,17.58,284,6.6
STU00361,44.77,63.3,20.49,32.36,36.24,272,5.3
STU00362,37.6,71.91,20.61,29.22,25.67,188,7.3
STU00363,33.93,63.76,27.16,29.03,22.56,244,7.2
STU00364,39.98,60.53,28.37,33.04,27.3,271,6.2
STU00365,48.76,63.69,31.33,34.04,23.4,297,5.9
STU00366,37.78,78.93,26.25,35.47,25.57,300,5.4
STU00367,51.28,60.46,29.71,34.18,25.05,225,4.2
STU00368,31.83,70.28,23.48,39.94,28.64,295,4.3
STU00369,47.56,66.01,20.55,28.74,17.24,205,4.9
STU00370,37.05,60.48,23.48,32.3,27.97,288,7.3
STU00371,34.02,74.23,18.99,28.02,23.09,289,5.4
STU00372,53.9,61.26,23.41,38.01,19.2,281,5.4
STU00373,30.28,61.24,26.21,40.4,31.0,287,5.6
STU00374,37.97,69.6,21.72,30.67,23.46,287,5.8
STU00375,32.17,55.94,24.87,24.95,34.6,222,6.1
STU00376,45.67,63.65,32.01,32.72,23.35,264,4.1
STU00377,43.36,73.82,27.42,32.28,27.25,303,5.9
STU00378,36.36,60.41,28.94,34.23,26.13,198,6.7
STU00379,38.13,66.94,21.9,35.64,30.99,346,5.0
STU00380,38.47,70.17,29.21,24.28,31.34,256,4.2
STU00381,37.14,69.87,19.49,30.02,24.98,233,6.4
STU00382,40.62,69.74,28.8,36.07,25.1,273,4.7
STU00383,37.47,69.0,14.85,38.82,20.88,243,4.7
STU00384,47.42,71.12,25.08,35.3,23.77,325,5.5
STU00385,47.92,75.14,25.16,39.52,21.51,236,4.9
STU00386,55.44,63.76,14.51,31.46,25.32,248,4.8
STU00387,30.49,67.66,25.23,29.19,22.33,217,5.6
STU00388,39.75,68.6,20.39,31.08,20.08,348,5.9
STU00389,36.0,71.75,18.99,33.75,32.25,217,6.5
STU00390,50.85,71.57,23.76,26.5,23.67,329,5.8
STU00391,31.3,68.1,24.31,32.9,30.69,360,6.8
STU00392,28.78,63.42,25.55,24.21,30.19,192,5.4
STU00393,33.75,74.7,22.59,33.53,21.21,241,5.5
STU00394,38.19,67.31,22.16,30.09,26.78,191,4.1
STU00395,34.43,60.1,25.68,41.34,20.65,219,5.1
STU00396,39.96,60.38,21.86,37.81,36.34,184,6.8
STU00397,38.15,63.62,25.9,35.39,19.63,250,6.5
STU00398,34.75,61.11,23.66,39.88,21.96,306,6.5
STU00399,45.89,71.86,27.17,30.71,20.98,412,5.7
STU00400,31.56,71.18,23.86,31.26,25.66,245,6.0
STU00401,51.18,61.0,18.9,36.85,26.36,306,3.9
STU00402,51.85,79.06,30.79,28.69,28.14,204,5.7
STU00403,46.04,72.71,20.88,37.68,16.69,231,7.3
STU00404,50.31,65.6,30.56,36.42,21.4,262,5.8
STU00405,51.46,69.97,22.89,37.6,21.16,271,4.4
STU00406,40.33,67.59,27.21,29.31,28.73,393,5.1
STU00407,45.3,60.13,26.68,31.39,23.58,288,6.3
STU00408,28.1,68.36,22.27,31.26,24.63,196,5.7
STU00409,40.18,66.71,21.81,42.5,33.22,304,6.9
STU00410,31.8,74.8,24.63,34.11,20.29,224,7.3
STU00411,29.24,64.17,27.12,25.7,24.76,231,5.6
STU00412,46.69,62.11,28.38,37.6,25.66,179,4.9
STU00413,48.35,67.08,30.46,31.59,24.39,297,4.4
STU00414,43.49,67.73,31.9,33.87,25.16,269,7.4
STU00415,51.77,65.82,28.79,27.17,23.06,237,5.0
STU00416,35.19,59.24,26.74,32.85,25.43,346,5.9
STU00417,45.86,66.79,24.91,33.84,33.92,225,6.8
STU00418,29.17,69.54,30.99,31.81,23.22,279,5.9
STU00419,42.24,66.36,28.22,29.67,28.25,189,5.8
STU00420,40.0,67.7,19.06,34.39,16.06,370,5.2
STU00421,38.56,62.8,22.48,26.33,28.83,300,4.4
STU00422,43.32,65.19,19.02,38.94,33.8,186,6.4
STU00423,39.9,61.82,22.37,35.1,32.73,243,5.5
STU00424,58.18,66.81,23.59,32.6,30.73,213,4.6
STU00425,42.94,63.91,26.44,37.14,27.89,245,7.1
STU00426,35.32,67.27,15.14,37.15,19.83,291,6.1
STU00427,45.16,69.49,23.98,34.85,15.89,257,5.7
STU00428,36.17,71.05,31.6,34.46,30.75,315,5.8
STU00429,36.78,70.01,25.49,35.87,12.48,226,7.5
STU00430,46.38,62.24,26.28,26.32,29.62,345,7.1
STU00431,44.3,68.25,21.24,34.28,24.05,214,5.5
STU00432,37.61,63.54,19.16,37.88,22.72,350,6.2
STU00433,41.83,68.59,24.63,24.44,23.06,201,5.5
STU00434,48.73,67.24,26.23,32.4,22.71,331,5.2
STU00435,42.12,61.74,30.32,30.51,28.47,225,4.8
STU00436,49.14,64.92,26.97,34.13,21.73,315,6.3
STU00437,43.47,68.68,21.2,28.71,23.79,272,5.9
STU00438,36.15,71.43,24.61,30.91,33.49,260,7.3
STU00439,44.44,64.38,21.67,36.04,24.01,174,4.5
STU00440,38.35,61.7,21.39,41.32,28.4,365,6.4
STU00441,51.54,71.55,30.75,34.14,32.76,234,6.3
STU00442,49.6,67.06,26.31,27.32,20.56,272,6.0
STU00443,52.8,69.01,20.93,39.29,26.03,224,6.1
STU00444,46.58,64.51,19.61,33.9,20.53,212,5.4
STU00445,42.26,60.61,26.58,32.53,26.54,194,6.2
STU00446,42.11,68.84,23.36,19.04,31.41,214,6.7
STU00447,39.89,69.22,28.81,30.23,29.98,157,4.8
