student_id,avg_attendance,attended_classes,total_classes
STU00168,79.47,177,221
STU00169,65.75,154,234
STU00170,70.56,160,228
STU00171,58.25,117,202
STU00172,74.44,159,213
STU00173,78.79,174,221
STU00174,72.55,166,229
STU00175,65.88,135,201
STU00176,68.6,138,202
STU00177,75.27,155,206
STU00178,84.84,175,206
STU00179,73.65,162,222
STU00180,61.86,127,206
STU00181,77.78,161,208
STU00182,77.33,158,204
STU00183,86.51,184,212
STU00184,72.93,161,223
STU00185,71.55,152,211
STU00186,70.37,146,210
STU00187,81.5,166,203
STU00188,61.2,138,225
STU00189,76.02,151,198
STU00190,56.66,120,209
STU00191,84.71,174,206
STU00192,73.79,153,205
STU00193,69.37,146,213
STU00194,80.62,181,223
STU00195,58.56,126,217
STU00196,76.68,175,227
STU00197,71.45,154,215
STU00198,81.91,183,226
STU00199,71.28,162,228
STU00200,80.33,163,204
STU00201,70.94,159,223
STU00202,70.16,160,229
STU00203,67.63,132,197
STU00204,82.06,177,213
STU00205,69.02,151,216
STU00206,80.42,168,207
STU00207,73.52,161,216
STU00208,67.59,144,214
STU00209,69.55,141,205
STU00210,69.4,142,204
STU00211,73.05,164,226
STU00212,77.16,171,223
STU00213,85.45,175,206
STU00214,79.03,155,196
STU00215,65.6,145,220
STU00216,77.01,163,214
STU00217,84.93,184,218
STU00218,89.29,179,200
STU00219,63.83,127,197
STU00220,85.3,192,225
STU00221,80.11,167,213
STU00222,71.52,158,219
STU00223,72.35,149,206
STU00224,69.34,145,210
STU00225,67.0,144,217
STU00226,76.57,168,219
STU00227,84.42,173,206
STU00228,84.58,180,214
STU00229,68.08,139,201
STU00230,73.42,152,211
STU00231,66.37,142,213
STU00232,80.23,174,215
STU00233,82.67,182,218
STU00234,74.76,157,211
STU00235,80.37,165,205
STU00236,82.88,171,210
STU00237,78.51,162,209
STU00238,75.92,157,206
STU00239,65.99,134,206
STU00240,79.49,165,210
STU00241,66.11,143,214
STU00242,71.63,161,225
STU00243,80.96,173,216
STU00244,83.32,184,222
STU00245,76.93,152,197
STU00246,73.18,150,207
STU00247,69.71,150,214
STU00248,74.93,171,227
STU00249,73.26,159,217
STU00250,90.22,198,220
STU00251,72.04,148,205
STU00252,70.42,150,212
STU00253,68.8,153,223
STU00254,71.62,159,220
STU00255,62.8,127,202
STU00256,84.9,178,209
STU00257,70.38,138,197
STU00258,74.05,149,204
STU00259,67.53,139,206
STU00260,84.4,179,211
STU00261,78.93,169,212
STU00262,75.34,160,213
STU00263,78.38,166,210
STU00264,79.39,168,211
STU00265,72.57,160,224
STU00266,76.03,161,216
STU00267,68.37,131,192
STU00268,63.3,132,211
STU00269,76.41,171,220
STU00270,66.67,136,205
STU00271,69.39,143,207
STU00272,75.79,168,218
STU00273,69.18,143,205
STU00274,72.4,162,220
STU00275,74.43,149,201
STU00276,69.95,148,210
STU00277,72.78,161,219
STU00278,65.68,140,212
STU00279,68.12,161,236
STU00280,71.28,145,206
STU00281,75.91,158,206
STU00282,76.52,164,218
STU00283,76.72,158,207
STU00284,79.16,175,220
STU00285,66.43,142,213
STU00286,73.49,148,201
STU00287,66.59,140,212
STU00288,71.51,161,226
STU00289,59.81,138,230
STU00290,74.75,163,222
STU00291,74.0,152,205
STU00292,75.56,173,227
STU00293,68.7,140,203
STU00294,63.17,141,224
STU00295,70.69,147,203
STU00296,66.55,150,231
STU00297,78.95,172,219
STU00298,76.56,167,215
STU00299,68.41,150,218
STU00300,74.26,159,216
STU00301,64.25,136,213
STU00302,77.88,164,213
STU00303,83.35,189,227
STU00304,76.49,158,209
STU00305,82.01,168,207
STU00306,67.95,154,228
STU00307,67.19,153,224
STU00308,89.56,190,211
STU00309,69.79,156,223
STU00310,81.98,178,216
STU00311,70.35,158,224
STU00312,75.86,175,230
STU00313,74.1,154,209
STU00314,69.91,145,206
STU00315,81.69,185,228
STU00316,87.45,206,236
STU00317,75.54,175,232
STU00318,64.3,133,205
STU00319,78.67,166,212
STU00320,77.31,148,190
STU00321,77.61,165,214
STU00322,72.08,154,214
STU00323,64.68,131,204
STU00324,70.39,148,212
STU00325,85.8,171,197
STU00326,60.09,123,200
STU00327,69.62,145,212
STU00328,72.47,160,221
STU00329,83.15,171,206
STU00330,73.38,155,210
STU00331,83.17,179,216
STU00332,74.82,159,215
STU00333,66.61,139,209
STU00334,75.36,148,197
STU00335,65.58,147,225
STU00336,66.56,133,200
STU00337,64.76,137,209
STU00338,61.51,135,218
STU00339,68.47,150,222
STU00340,79.65,170,213
STU00341,67.59,141,213
STU00342,89.16,203,229
STU00343,89.97,179,199
STU00344,70.01,161,228
STU00345,80.85,187,231
STU00346,80.27,164,204
STU00347,81.64,162,197
STU00348,66.65,144,217
STU00349,77.68,169,215
STU00350,72.27,167,229
STU00351,85.13,177,210
STU00352,82.81,196,238
STU00353,57.13,112,196
STU00354,72.19,152,210
STU00355,76.99,158,204
STU00356,76.46,175,227
STU00357,71.27,138,195
STU00358,82.7,181,220
STU00359,70.08,151,216
STU00360,77.24,162,210
STU00361,69.86,161,229
STU00362,72.59,150,207
STU00363,63.32,133,212
STU00364,70.15,149,215
STU00365,67.34,151,222
STU00366,78.35,172,221
STU00367,67.44,145,214
STU00368,77.76,155,199
STU00369,84.91,173,203
STU00370,69.63,138,199
STU00371,84.02,178,214
STU00372,78.56,161,208
STU00373,77.81,174,220
STU00374,77.16,151,199
STU00375,80.11,179,221
STU00376,71.97,159,220
STU00377,69.65,152,218
STU00378,62.38,129,206
STU00379,82.42,164,198
STU00380,72.24,149,206
STU00381,87.41,184,213
STU00382,82.34,172,208
STU00383,70.95,165,231
STU00384,64.98,134,207
STU00385,70.27,144,205
STU00386,73.41,150,205
STU00387,76.69,172,223
STU00388,71.66,138,192
STU00389,64.72,155,240
STU00390,76.17,166,217
STU00391,68.89,129,190
STU00392,73.73,158,212
STU00393,86.18,195,228
STU00394,77.21,164,211
STU00395,73.12,157,213
STU00396,78.95,174,217
STU00397,78.75,161,205
STU00398,74.44,158,209
STU00399,80.64,185,228
STU00400,64.92,136,209
STU00401,81.63,174,212
STU00402,66.63,137,209
STU00403,78.13,175,222
STU00404,74.21,159,215
STU00405,67.09,146,217
STU00406,79.08,166,211
STU00407,80.74,157,193
STU00408,74.91,151,200
STU00409,78.48,164,209
STU00410,64.01,130,202
STU00411,73.4,162,222
STU00412,85.95,194,226
STU00413,68.85,154,224
STU00414,83.52,172,205
STU00415,65.52,128,195
STU00416,79.45,175,220
STU00417,68.66,134,194
STU00418,81.37,172,210
STU00419,72.31,147,201
STU00420,80.86,179,218
STU00421,73.93,165,224
STU00422,69.77,152,218
STU00423,73.14,148,206
STU00424,82.49,179,216
STU00425,76.92,172,226
STU00426,73.75,168,228
STU00427,69.64,144,209
STU00428,76.01,170,223
STU00429,65.18,156,239
STU00430,75.94,155,203
STU00431,72.85,162,221
STU00432,74.77,149,199
STU00433,79.12,159,203
STU00434,79.2,177,223
STU00435,59.69,121,201
STU00436,79.97,173,218
STU00437,65.54,133,206
STU00438,81.65,172,211
STU00439,81.7,167,205
STU00440,69.89,144,205
STU00441,70.57,139,197
STU00442,78.84,167,209
STU00443,78.6,160,200
STU00444,69.53,141,206
STU00445,70.1,147,207
STU00446,73.49,159,216
STU00447,73.44,166,226
STU00448,72.33,145,202
STU00449,86.36,185,211
STU00450,74.79,164,219
STU00451,70.8,164,230
STU00452,64.12,138,215
STU00453,75.06,156,207
STU00454,66.79,139,210
STU00455,79.21,162,203
STU00456,77.18,161,207
STU00457,81.68,182,224
STU00458,73.22,150,203
STU00459,85.03,189,222
STU00460,76.44,158,212
STU00461,81.02,189,232
STU00462,74.7,159,214
STU00463,71.97,166,232
STU00464,66.69,145,219
STU00465,80.06,177,221
STU00466,79.79,174,221
STU00467,71.97,145,202
STU00468,67.76,146,214
STU00469,91.09,173,189
STU00470,67.13,139,204
STU00471,76.42,164,212
STU00472,78.06,177,225
STU00473,74.38,162,216
STU00474,72.47,160,221
STU00475,71.62,158,221
STU00476,76.24,156,200
STU00477,75.59,158,207
STU00478,68.26,146,214
STU00479,79.39,173,217
STU00480,84.63,191,223
STU00481,76.15,174,229
STU00482,67.12,141,214
STU00483,77.05,166,213
STU00484,68.28,146,213
STU00485,63.97,133,206
STU00486,75.87,142,189
STU00487,60.58,132,217
STU00488,72.64,151,207
STU00489,60.92,125,206
STU00490,68.19,138,205
STU00491,66.57,137,205
STU00492,71.29,145,206
STU00493,80.79,183,223
STU00494,72.89,160,223
STU00495,60.51,132,218
STU00496,77.37,168,217
STU00497,85.82,187,216
STU00498,80.06,179,222
STU00499,72.74,158,217
STU00500,74.84,163,218
