student_id,total_logins,total_video_minutes,total_resources_viewed,total_quiz_attempts,total_forum_posts,total_session_minutes
STU00065,67,1568,159,44,55,1655
STU00066,80,1938,164,59,24,1972
STU00067,72,1199,176,53,51,2243
STU00068,91,1424,139,61,48,1922
STU00069,68,1938,183,60,46,2749
STU00070,87,1512,124,49,54,1976
STU00071,71,1662,142,57,46,2109
STU00072,69,1633,156,52,45,2092
STU00073,87,1864,131,43,47,2178
STU00074,87,2472,160,48,63,2485
STU00075,69,1638,159,42,45,1985
STU00076,79,1861,157,49,52,2493
STU00077,78,1851,169,37,39,2656
STU00078,80,1588,140,33,46,2435
STU00079,77,1453,144,46,55,2131
STU00080,70,1608,121,58,47,2828
STU00081,72,1662,168,40,50,2309
STU00082,77,1565,156,55,49,2331
STU00083,75,1549,169,51,41,2234
STU00084,76,1775,135,38,45,2786
STU00085,98,1735,157,46,46,2373
STU00086,68,1811,166,40,49,2636
STU00087,85,1660,152,45,40,2906
STU00088,82,2033,164,63,60,1987
STU00089,66,2001,164,44,56,2574
STU00090,70,1835,137,56,55,2286
STU00091,102,1942,155,46,53,2154
STU00092,55,1584,134,56,39,2440
STU00093,74,1410,203,53,55,2955
STU00094,87,1575,122,43,69,3111
STU00095,52,1972,144,67,56,2280
STU00096,88,1711,126,48,50,2965
STU00097,67,1687,158,52,54,2211
STU00098,59,1666,146,46,42,2361
STU00099,89,1683,140,36,41,2377
STU00100,71,1798,115,56,51,2509
STU00101,106,1664,151,57,48,2225
STU00102,77,1785,123,45,42,2140
STU00103,85,1867,151,55,56,2586
STU00104,78,1755,156,41,41,2285
STU00105,70,1729,147,51,38,1881
STU00106,91,1740,129,63,65,3412
STU00107,69,1429,181,38,50,2922
STU00108,88,1684,131,49,61,2501
STU00109,76,1369,171,53,49,2551
STU00110,69,1786,164,50,54,2142
STU00111,64,1741,134,57,44,1762
STU00112,93,2073,145,45,53,1917
STU00113,79,1617,136,67,59,2938
STU00114,80,1441,171,59,45,2325
STU00115,75,1913,160,42,48,2162
STU00116,80,1526,120,43,58,2998
STU00117,73,1614,166,58,58,1891
STU00118,91,1689,166,57,49,2841
STU00119,81,1913,138,48,58,2120
STU00120,71,1614,148,43,36,3223
STU00121,83,1659,133,59,45,2758
STU00122,66,1711,123,45,52,2320
STU00123,77,2017,140,54,47,2213
STU00124,84,1770,131,47,49,2857
STU00125,86,1405,155,48,49,1656
STU00126,79,1516,144,55,49,2036
STU00127,85,1830,142,57,47,2282
STU00128,79,1592,170,43,69,2582
STU00129,88,1662,118,65,43,2080
STU00130,91,1894,140,52,50,2158
STU00131,88,1602,147,54,51,2178
STU00132,84,1992,161,59,48,2789
STU00133,78,1736,95,42,59,2620
STU00134,68,1555,183,48,45,2240
STU00135,66,1569,156,53,51,2560
STU00136,76,1778,153,44,41,2423
STU00137,74,1944,162,55,57,2496
STU00138,57,2087,103,57,44,2011
STU00139,101,1564,135,44,48,2858
STU00140,76,1475,137,46,62,2761
STU00141,73,1866,178,61,34,2546
STU00142,80,1514,135,68,65,2313
STU00143,71,2024,156,41,47,2192
STU00144,83,1904,135,53,43,2530
STU00145,77,1585,177,57,52,2738
STU00146,60,2090,116,49,53,2512
STU00147,88,2008,176,55,56,2764
STU00148,70,1493,144,39,59,2679
STU00149,96,1829,131,48,53,2410
STU00150,89,2196,136,50,41,2502
STU00151,59,1745,172,41,54,2527
STU00152,77,1930,132,47,62,2473
STU00153,61,1480,137,59,36,2278
STU00154,93,1822,168,54,55,1918
STU00155,108,2100,152,47,49,2296
STU00156,85,1944,151,51,66,2202
STU00157,77,1439,149,58,48,2540
STU00158,85,1921,157,45,52,1994
STU00159,96,1886,96,52,54,1591
STU00160,78,1648,163,37,50,1957
STU00161,76,2173,145,59,59,2492
STU00162,86,1257,140,51,49,1755
STU00163,80,2024,123,55,44,2628
STU00164,82,1936,144,56,64,2667
STU00165,90,2080,138,65,51,2219
STU00166,74,1841,183,47,42,2206
STU00167,97,2271,152,48,40,2796
STU00168,66,2029,176,59,50,2370
STU00169,92,1700,137,32,44,2441
STU00170,90,1682,135,60,60,2559
STU00171,78,1990,156,53,51,2778
STU00172,77,1908,146,51,52,1820
STU00173,75,1745,172,60,48,2817
STU00174,77,1962,190,44,49,2361
STU00175,76,2409,152,40,54,3149
STU00176,76,2076,145,44,43,2739
STU00177,84,1889,138,58,41,2148
STU00178,90,1654,125,47,48,2722
STU00179,73,1887,131,51,64,2404
STU00180,90,2141,126,60,43,2851
STU00181,77,2098,139,56,49,2070
STU00182,89,2343,130,51,53,2572
STU00183,65,1375,178,47,47,2554
STU00184,89,1875,141,41,48,2614
STU00185,72,1952,145,45,47,2666
STU00186,114,1818,164,47,46,2451
STU00187,77,1738,138,58,41,1872
STU00188,78,1819,154,56,51,2615
STU00189,103,2404,128,49,56,2437
STU00190,75,1992,156,60,41,2593
STU00191,67,1670,137,49,40,2300
STU00192,78,1964,147,60,50,2233
STU00193,79,2056,172,50,35,2900
STU00194,69,1864,158,39,49,2272
STU00195,83,1618,178,59,60,2953
STU00196,74,1789,149,44,45,2305
STU00197,80,2446,144,50,56,2127
STU00198,93,2172,158,39,64,2679
STU00199,92,1943,166,49,56,1843
STU00200,94,1861,193,46,49,2410
STU00201,101,1912,146,48,47,1948
STU00202,91,1745,145,53,40,2650
STU00203,96,1963,154,55,52,2241
STU00204,87,1719,141,59,54,2426
STU00205,69,2004,149,52,49,2037
STU00206,71,1907,143,45,43,2472
STU00207,72,2140,154,53,48,2797
STU00208,83,1885,168,40,62,2626
STU00209,82,1943,106,47,44,2251
STU00210,79,2026,142,47,43,2853
STU00211,68,1776,151,45,45,1533
STU00212,71,1793,164,50,39,2325
STU00213,76,1229,137,43,33,2460
STU00214,71,1896,118,53,39,2127
STU00215,112,2033,145,53,49,2592
STU00216,90,1750,155,56,57,2303
STU00217,71,2066,132,49,36,2426
STU00218,92,1413,129,61,48,2266
STU00219,55,1425,139,48,51,2549
STU00220,91,1858,143,54,55,1746
STU00221,89,1474,128,67,51,2258
STU00222,91,1133,156,46,46,2579
STU00223,84,2022,131,49,56,1972
STU00224,73,1107,161,47,50,2646
STU00225,68,1975,182,52,54,2295
STU00226,60,2021,116,48,47,2306
STU00227,80,1807,163,47,45,2275
STU00228,98,2543,167,43,55,2360
STU00229,66,1783,93,58,48,2476
STU00230,104,1805,160,55,72,2517
STU00231,94,1981,153,39,63,2182
STU00232,80,1759,138,46,42,2366
STU00233,85,1957,150,49,47,2798
STU00234,83,2174,166,51,53,2888
STU00235,94,1941,179,56,52,2341
STU00236,92,1744,186,46,61,2589
STU00237,78,2036,158,52,56,2342
STU00238,75,1919,181,47,57,2105
STU00239,106,1779,143,45,52,2429
STU00240,64,1425,134,57,54,2014
STU00241,77,1408,141,49,37,2480
STU00242,73,1706,166,48,70,2275
STU00243,74,2029,137,47,58,2448
STU00244,68,1970,166,49,50,2005
STU00245,107,1841,143,46,45,2855
STU00246,84,1643,164,63,50,2151
STU00247,88,2095,156,53,46,1858
STU00248,81,1811,172,47,31,2082
STU00249,90,1916,146,38,60,2589
STU00250,71,1743,172,39,54,2443
STU00251,75,1945,122,54,46,3238
STU00252,75,1691,167,41,42,1922
STU00253,69,1687,140,61,42,2664
STU00254,89,1243,118,37,39,2378
STU00255,94,1520,123,60,44,2326
STU00256,85,1569,146,44,49,2398
STU00257,73,1890,172,61,47,2110
STU00258,91,1980,150,45,42,2456
STU00259,82,1506,121,41,53,2619
STU00260,71,1356,125,58,53,2466
STU00261,69,1379,136,51,59,2885
STU00262,90,1751,161,31,36,2199
STU00263,94,2029,121,47,63,2400
STU00264,93,2141,136,64,50,2376
STU00265,79,1971,152,58,53,2858
STU00266,86,1956,172,48,38,2209
STU00267,84,1785,103,52,52,2436
STU00268,88,2059,134,55,45,2438
STU00269,71,1303,151,42,60,1747
STU00270,68,1773,190,46,35,2431
STU00271,66,1471,167,39,54,2171
STU00272,70,2324,126,60,45,2623
STU00273,76,1818,165,60,47,2067
STU00274,67,1598,137,49,49,2448
STU00275,76,1582,142,52,56,2569
STU00276,82,2107,174,56,52,2142
STU00277,71,2178,125,53,63,2310
STU00278,85,1925,175,53,42,2668
STU00279,90,1466,143,46,56,2688
STU00280,86,2056,118,59,39,2517
STU00281,76,2087,175,42,47,2616
STU00282,80,1715,142,56,62,2623
STU00283,77,1675,139,46,49,2431
STU00284,75,1202,108,39,48,2666
STU00285,64,2159,111,56,42,2048
STU00286,83,1613,144,42,52,2307
STU00287,61,1979,190,53,52,1859
STU00288,86,1413,191,42,51,2315
STU00289,69,1677,187,43,61,2615
STU00290,76,1773,146,65,59,2057
STU00291,86,1604,136,53,42,2573
STU00292,79,1985,165,49,36,2823
STU00293,86,1888,167,36,78,2122
STU00294,96,1644,148,49,50,2619
STU00295,122,1401,157,45,47,2346
STU00296,91,1813,109,56,57,2280
STU00297,73,1605,141,69,41,2127
STU00298,97,1790,144,44,46,2194
STU00299,78,1998,147,41,53,2128
STU00300,86,1869,198,59,46,2447
STU00301,74,1425,140,60,49,2030
STU00302,89,1545,154,48,56,2368
STU00303,95,1675,139,55,55,2497
STU00304,63,1668,168,40,63,2892
STU00305,90,1818,102,51,50,2445
STU00306,66,1611,129,43,44,2655
STU00307,98,2003,148,46,54,2422
STU00308,77,1790,128,47,44,2510
STU00309,75,1902,162,49,46,2832
STU00310,74,1848,202,38,32,2395
STU00311,87,1964,182,37,52,1867
STU00312,79,1771,129,44,52,2361
STU00313,83,1884,141,47,45,2234
STU00314,86,1873,131,58,43,2003
STU00315,63,2290,123,60,56,2727
STU00316,76,1783,149,52,42,2199
STU00317,87,1870,152,55,45,2439
STU00318,56,1943,164,66,50,2272
STU00319,77,1997,152,61,44,2690
STU00320,56,1869,170,53,44,2292
STU00321,75,1896,106,47,54,2474
STU00322,73,1810,151,60,38,1624
STU00323,93,1876,144,40,46,1928
STU00324,78,1741,155,49,58,3038
STU00325,94,1495,139,51,56,2162
STU00326,57,1711,182,54,51,2476
STU00327,82,2039,166,59,43,2930
STU00328,93,1735,156,54,58,2260
STU00329,97,1850,155,51,59,1862
STU00330,79,1902,168,63,46,2318
STU00331,71,1688,144,40,47,2572
STU00332,82,1755,147,61,54,2452
STU00333,86,1875,139,64,51,2668
STU00334,71,1851,138,59,57,2280
STU00335,95,1590,152,55,51,2308
STU00336,78,1663,167,52,50,2074
STU00337,100,1610,162,54,41,2150
STU00338,69,2102,124,45,44,2304
STU00339,80,1806,172,40,38,2424
STU00340,88,1969,160,49,47,2211
STU00341,81,1462,145,58,46,2671
STU00342,79,1695,135,43,54,1917
STU00343,87,1772,160,68,47,2303
STU00344,79,1952,172,46,49,2871
STU00345,94,2106,118,49,52,2077
STU00346,60,2010,152,47,59,1806
STU00347,86,1632,146,41,43,2539
STU00348,78,1653,141,52,48,2628
STU00349,81,1824,140,43,47,2347
STU00350,87,1905,170,38,52,2265
STU00351,100,2105,148,34,44,2444
STU00352,84,1924,150,59,48,2140
STU00353,64,1580,182,54,48,2545
STU00354,70,1540,132,48,42,2716
STU00355,90,1956,174,49,37,2470
STU00356,74,1994,158,46,43,2602
STU00357,81,1752,135,47,59,2516
STU00358,83,1977,149,46,57,2376
STU00359,101,1996,171,46,55,2781
STU00360,78,1470,159,43,42,2723
STU00361,66,1543,150,44,58,1727
STU00362,98,2355,158,32,46,2493
STU00363,72,1826,142,34,46,2186
STU00364,109,1502,133,42,45,2039
STU00365,74,1713,127,61,50,2452
STU00366,98,1396,156,49,62,2187
STU00367,79,1850,148,54,60,2300
STU00368,85,1912,124,59,57,2634
STU00369,79,1785,133,38,45,2253
STU00370,89,1938,129,59,47,2800
STU00371,55,1353,171,58,51,2843
STU00372,71,1951,169,60,56,2217
STU00373,73,1921,171,58,39,2288
STU00374,86,2249,169,45,36,2934
STU00375,98,1822,134,53,47,1910
STU00376,75,1932,167,40,41,2091
STU00377,84,2345,130,62,47,1915
STU00378,90,2022,172,44,34,1982
STU00379,80,1839,151,50,47,2224
STU00380,67,2146,143,62,55,2408
STU00381,79,1450,179,56,58,2316
STU00382,84,1991,144,51,48,2662
STU00383,97,1641,139,41,44,2412
STU00384,87,1563,174,53,38,2831
STU00385,64,1805,138,52,44,2513
STU00386,93,1892,137,60,55,2777
STU00387,80,1660,194,50,57,2309
STU00388,74,1902,139,49,46,2525
STU00389,98,1798,140,45,57,2179
STU00390,58,1956,167,45,35,2631
STU00391,85,1356,164,51,53,2401
STU00392,91,1554,138,53,53,2375
STU00393,76,1983,107,52,36,2699
STU00394,62,1771,141,50,47,2230
STU00395,92,1678,140,39,50,2488
STU00396,75,1844,146,43,58,2525
STU00397,87,1740,207,44,54,2448
STU00398,83,1808,155,47,51,2531
STU00399,78,1432,183,54,42,1995
STU00400,55,1575,89,45,50,2875
STU00401,78,1812,145,53,40,2568
STU00402,58,1732,173,44,32,2354
STU00403,82,1857,169,50,37,2454
STU00404,90,1963,177,45,44,2328
STU00405,96,2216,167,47,61,1843
STU00406,70,1588,151,58,53,2231
STU00407,88,1720,144,51,51,2624
STU00408,78,1880,124,52,57,2851
STU00409,68,1378,144,67,52,2154
STU00410,84,1852,159,46,48,2381
STU00411,92,2031,160,50,60,1674
STU00412,75,1813,122,51,51,1807
STU00413,72,1457,147,47,50,2343
STU00414,94,1836,147,44,50,2778
STU00415,102,1558,150,41,45,2467
STU00416,79,2009,142,51,57,2969
STU00417,89,1954,177,55,58,2471
STU00418,86,1415,136,50,69,2272
STU00419,89,1896,110,60,52,2783
STU00420,71,2338,118,51,50,1943
STU00421,82,2009,176,49,51,2572
STU00422,65,1990,176,41,49,2361
STU00423,91,1842,121,38,52,2887
STU00424,91,1712,125,38,56,2451
STU00425,72,1954,140,54,39,1968
STU00426,105,1385,164,50,41,2488
STU00427,63,1984,151,47,45,2099
STU00428,80,1423,152,55,54,2063
STU00429,71,1618,157,50,34,2466
STU00430,78,1696,172,48,41,2208
STU00431,63,2154,159,54,57,2919
STU00432,83,1971,152,50,42,2389
STU00433,88,1867,153,70,48,2574
STU00434,83,1942,164,38,52,2590
STU00435,83,1744,156,48,44,2427
STU00436,78,1770,123,55,66,2392
STU00437,52,1769,173,57,54,1919
STU00438,79,2212,157,58,41,1794
STU00439,66,1879,142,57,43,2483
STU00440,63,1828,152,28,59,2448
STU00441,80,1634,164,46,48,2835
STU00442,70,1658,138,51,62,2331
STU00443,82,1578,184,42,64,2685
STU00444,93,1430,151,52,45,2695
STU00445,98,1943,137,44,55,2657
STU00446,93,1675,153,39,53,3039
STU00447,79,1978,145,58,43,2358
STU00448,88,2223,163,54,56,2305
STU00449,83,2070,177,63,38,2340
STU00450,89,1740,161,61,41,2651
STU00451,69,1834,112,46,64,2281
STU00452,78,1809,141,48,54,2429
STU00453,81,1900,157,59,47,2281
STU00454,72,1536,143,43,40,2436
STU00455,55,1882,152,51,41,2396
STU00456,77,2231,129,48,48,2845
STU00457,95,1946,158,53,52,2341
STU00458,79,1611,136,55,46,2343
STU00459,89,1782,133,41,48,2466
STU00460,65,1940,132,57,43,2795
STU00461,88,1979,139,40,54,2049
STU00462,78,1654,160,61,55,2499
STU00463,70,1770,167,37,39,2193
STU00464,71,2058,123,34,62,2565
STU00465,95,2007,135,59,48,2906
STU00466,110,1786,137,42,40,2423
STU00467,91,1707,141,45,59,2354
STU00468,60,1994,112,51,46,2776
STU00469,41,1990,147,42,47,2646
STU00470,106,1728,131,37,53,2153
STU00471,85,1691,173,62,41,2726
STU00472,96,1805,130,53,49,1926
STU00473,74,1550,183,32,44,2737
STU00474,82,1960,111,66,55,2130
STU00475,78,1945,131,48,60,2438
STU00476,76,1852,126,47,51,2660
STU00477,99,2161,163,43,45,1853
STU00478,86,1715,126,51,41,2997
STU00479,70,1708,162,38,39,2728
STU00480,91,1817,177,27,60,2678
STU00481,81,2105,128,40,50,2321
STU00482,77,1726,186,54,43,2725
STU00483,73,1638,177,65,60,2244
STU00484,75,1694,152,54,43,2717
STU00485,82,2143,113,47,57,3023
STU00486,94,1836,127,43,51,2519
STU00487,77,1674,155,56,57,2144
STU00488,86,1714,144,58,48,2291
STU00489,61,2052,150,50,48,2765
STU00490,74,1810,158,40,43,2347
STU00491,75,1953,134,56,54,2391
STU00492,96,1739,178,68,53,2303
STU00493,65,1977,154,58,40,2468
STU00494,93,1445,182,45,49,2632
STU00495,95,1928,152,54,42,2024
STU00496,58,2506,154,47,43,2694
STU00497,80,1626,195,52,58,2408
STU00498,88,1999,168,46,43,2093
STU00499,91,1478,120,48,48,2017
STU00500,85,2134,147,45,49,2708
