student_id,assignment_completion_percentage,avg_assignment_completion,avg_assignment_score,submitted_assignments,total_assignments
STU00092,57.05,57.05,74.39,29,51
STU00093,70.82,70.82,71.91,36,51
STU00094,59.82,59.82,75.51,31,52
STU00095,66.86,66.86,70.08,32,49
STU00096,82.88,82.88,62.99,44,53
STU00097,60.33,60.33,80.08,30,51
STU00098,83.4,83.4,75.07,46,54
STU00099,59.79,59.79,78.85,29,49
STU00100,62.22,62.22,58.96,33,51
STU00101,60.32,60.32,62.39,31,52
STU00102,72.43,72.43,65.6,36,51
STU00103,41.83,41.83,63.71,23,54
STU00104,64.0,64.0,59.82,30,47
STU00105,76.28,76.28,72.98,39,51
STU00106,74.5,74.5,65.86,36,48
STU00107,75.78,75.78,64.42,35,46
STU00108,58.51,58.51,70.29,28,47
STU00109,58.81,58.81,73.07,30,51
STU00110,58.85,58.85,76.42,27,47
STU00111,60.91,60.91,71.45,31,51
STU00112,73.61,73.61,67.81,35,47
STU00113,60.59,60.59,71.91,27,45
STU00114,58.05,58.05,77.77,29,49
STU00115,59.17,59.17,79.61,27,47
STU00116,65.91,65.91,82.78,34,53
STU00117,60.28,60.28,64.88,30,51
STU00118,79.8,79.8,65.99,38,48
STU00119,72.83,72.83,78.87,33,45
STU00120,47.15,47.15,71.44,23,49
STU00121,62.33,62.33,73.09,29,47
STU00122,52.33,52.33,65.54,29,55
STU00123,67.0,67.0,69.96,36,54
STU00124,47.31,47.31,74.07,24,50
STU00125,49.27,49.27,66.56,25,51
STU00126,76.79,76.79,66.1,34,44
STU00127,75.33,75.33,76.47,39,53
STU00128,68.69,68.69,57.68,34,51
STU00129,62.42,62.42,71.78,30,49
STU00130,71.33,71.33,63.77,37,51
STU00131,61.61,61.61,65.03,28,48
STU00132,60.94,60.94,69.79,33,53
STU00133,69.18,69.18,69.58,33,47
STU00134,72.83,72.83,74.88,36,50
STU00135,40.27,40.27,77.92,19,49
STU00136,54.22,54.22,67.71,30,55
STU00137,63.43,63.43,79.82,33,52
STU00138,74.66,74.66,58.38,35,47
STU00139,70.96,70.96,65.4,36,52
STU00140,60.02,60.02,72.53,31,51
STU00141,82.73,82.73,69.34,44,53
STU00142,62.63,62.63,61.04,35,56
STU00143,69.27,69.27,62.22,34,50
STU00144,61.61,61.61,82.72,34,56
STU00145,72.0,72.0,75.96,39,53
STU00146,49.4,49.4,81.34,24,50
STU00147,75.33,75.33,75.8,34,45
STU00148,56.27,56.27,77.22,25,45
STU00149,53.53,53.53,61.56,26,49
STU00150,73.61,73.61,79.59,31,42
STU00151,67.87,67.87,62.5,33,49
STU00152,60.45,60.45,63.82,30,50
STU00153,64.21,64.21,66.29,31,49
STU00154,61.61,61.61,73.05,30,47
STU00155,70.98,70.98,83.88,37,52
STU00156,65.28,65.28,66.26,30,46
STU00157,59.55,59.55,66.23,28,48
STU00158,51.5,51.5,82.64,22,44
STU00159,50.11,50.11,73.17,27,55
STU00160,71.26,71.26,47.31,35,51
STU00161,63.03,63.03,63.09,32,51
STU00162,66.77,66.77,64.6,33,48
STU00163,83.27,83.27,70.41,40,49
STU00164,67.88,67.88,70.95,33,50
STU00165,83.5,83.5,62.38,39,47
STU00166,63.39,63.39,74.33,31,48
STU00167,72.22,72.22,68.65,36,50
STU00168,64.45,64.45,75.56,36,56
STU00169,75.3,75.3,71.35,44,58
STU00170,49.72,49.72,51.18,23,46
STU00171,66.67,66.67,72.33,28,44
STU00172,77.94,77.94,75.52,41,53
STU00173,47.07,47.07,76.59,26,56
STU00174,51.51,51.51,62.5,26,51
STU00175,69.7,69.7,66.11,33,47
STU00176,64.49,64.49,74.88,29,46
STU00177,60.16,60.16,65.94,29,49
STU00178,62.92,62.92,71.11,31,50
STU00179,77.45,77.45,84.65,37,47
STU00180,73.44,73.44,66.11,37,50
STU00181,60.33,60.33,72.43,34,55
STU00182,65.22,65.22,54.7,31,47
STU00183,67.31,67.31,58.26,34,52
STU00184,55.82,55.82,61.28,29,53
STU00185,73.74,73.74,68.48,39,53
STU00186,43.89,43.89,61.53,20,47
STU00187,54.69,54.69,73.45,25,46
STU00188,65.95,65.95,76.35,29,44
STU00189,54.17,54.17,81.32,26,46
STU00190,70.46,70.46,56.54,39,55
STU00191,65.76,65.76,61.07,37,56
STU00192,43.47,43.47,60.23,21,49
STU00193,56.56,56.56,81.31,25,47
STU00194,63.67,63.67,65.26,32,51
STU00195,50.6,50.6,48.6,28,54
STU00196,58.52,58.52,79.85,33,57
STU00197,58.28,58.28,61.56,31,51
STU00198,62.2,62.2,71.4,30,49
STU00199,75.45,75.45,80.59,34,48
STU00200,66.53,66.53,70.32,33,50
STU00201,63.59,63.59,58.4,33,53
STU00202,66.11,66.11,75.46,32,48
STU00203,49.45,49.45,59.87,25,50
STU00204,47.22,47.22,71.75,24,51
STU00205,54.32,54.32,82.11,29,53
STU00206,75.32,75.32,74.51,38,51
STU00207,65.83,65.83,59.62,37,54
STU00208,63.89,63.89,63.69,30,46
STU00209,65.22,65.22,69.78,30,46
STU00210,55.28,55.28,76.06,27,47
STU00211,71.67,71.67,53.27,33,46
STU00212,58.28,58.28,74.78,26,45
STU00213,77.85,77.85,65.47,43,55
STU00214,75.17,75.17,56.3,36,49
STU00215,62.38,62.38,61.79,33,52
STU00216,67.22,67.22,66.83,31,47
STU00217,68.89,68.89,55.92,35,49
STU00218,88.0,88.0,71.61,46,52
STU00219,79.67,79.67,81.63,38,48
STU00220,63.06,63.06,60.56,34,53
STU00221,80.44,80.44,72.33,39,48
STU00222,62.81,62.81,68.81,32,51
STU00223,56.55,56.55,67.68,27,49
STU00224,65.4,65.4,71.93,31,49
STU00225,57.27,57.27,72.77,30,52
STU00226,79.42,79.42,53.71,37,46
STU00227,79.77,79.77,71.11,36,47
STU00228,76.35,76.35,65.04,37,49
STU00229,88.56,88.56,72.56,44,50
STU00230,51.83,51.83,75.78,25,49
STU00231,82.56,82.56,66.57,40,49
STU00232,88.89,88.89,57.76,44,50
STU00233,38.54,38.54,73.27,21,54
STU00234,75.05,75.05,56.31,39,52
STU00235,44.91,44.91,57.04,24,54
STU00236,64.19,64.19,72.62,29,46
STU00237,38.23,38.23,65.39,17,45
STU00238,71.37,71.37,74.16,34,49
STU00239,80.0,80.0,71.92,37,48
STU00240,55.5,55.5,58.82,25,44
STU00241,77.28,77.28,61.14,39,49
STU00242,68.05,68.05,72.88,33,49
STU00243,68.49,68.49,73.67,35,51
STU00244,64.17,64.17,83.57,33,51
STU00245,53.33,53.33,76.22,29,55
STU00246,79.33,79.33,61.26,41,52
STU00247,51.44,51.44,78.64,28,55
STU00248,53.69,53.69,62.63,27,50
STU00249,53.12,53.12,57.8,29,54
STU00250,47.78,47.78,67.41,21,44
STU00251,82.67,82.67,68.51,46,55
STU00252,67.64,67.64,70.31,35,51
STU00253,65.4,65.4,60.09,33,51
STU00254,94.0,94.0,65.77,43,46
STU00255,66.17,66.17,74.89,34,53
STU00256,69.17,69.17,73.47,32,46
STU00257,60.76,60.76,73.11,33,53
STU00258,42.73,42.73,59.09,25,59
STU00259,59.67,59.67,74.82,28,46
STU00260,59.62,59.62,61.02,29,48
STU00261,72.27,72.27,82.71,34,49
STU00262,69.67,69.67,70.71,34,50
STU00263,62.44,62.44,66.84,33,52
STU00264,58.57,58.57,65.83,30,51
STU00265,61.06,61.06,53.62,27,45
STU00266,46.0,46.0,61.85,21,46
STU00267,62.78,62.78,72.83,29,46
STU00268,62.0,62.0,60.72,33,52
STU00269,70.68,70.68,60.69,31,43
STU00270,73.0,73.0,65.18,37,50
STU00271,59.06,59.06,62.78,31,53
STU00272,69.72,69.72,55.66,33,49
STU00273,51.11,51.11,71.46,26,50
STU00274,52.93,52.93,68.66,27,52
STU00275,57.64,57.64,60.39,29,50
STU00276,66.78,66.78,71.3,35,53
STU00277,66.09,66.09,77.55,30,46
STU00278,55.08,55.08,75.82,30,52
STU00279,61.57,61.57,55.69,33,53
STU00280,80.56,80.56,69.03,40,51
STU00281,59.89,59.89,69.11,27,47
STU00282,72.36,72.36,55.14,39,53
STU00283,61.94,61.94,73.73,32,53
STU00284,76.36,76.36,70.15,36,47
STU00285,56.74,56.74,63.94,28,48
STU00286,72.73,72.73,66.86,34,47
STU00287,79.33,79.33,52.56,41,52
STU00288,50.0,50.0,61.19,24,49
STU00289,69.77,69.77,62.5,33,49
STU00290,66.35,66.35,71.88,32,50
STU00291,70.56,70.56,63.9,32,47
STU00292,72.89,72.89,48.33,36,50
STU00293,68.89,68.89,64.14,36,52
STU00294,58.05,58.05,71.7,29,52
STU00295,68.36,68.36,58.45,35,51
STU00296,44.34,44.34,70.74,25,56
STU00297,64.61,64.61,58.97,29,44
STU00298,59.92,59.92,77.03,26,44
STU00299,70.24,70.24,70.81,38,54
STU00300,68.67,68.67,51.31,36,51
STU00301,69.79,69.79,57.65,36,53
STU00302,71.33,71.33,73.04,34,48
STU00303,70.43,70.43,62.09,35,50
STU00304,58.85,58.85,69.38,30,51
STU00305,67.39,67.39,69.95,33,47
STU00306,55.39,55.39,56.45,25,45
STU00307,68.0,68.0,68.01,36,53
STU00308,57.44,57.44,51.45,29,52
STU00309,69.67,69.67,53.48,34,49
STU00310,69.11,69.11,69.99,35,49
STU00311,62.5,62.5,85.86,36,56
STU00312,63.71,63.71,68.98,31,48
STU00313,83.0,83.0,66.54,36,44
STU00314,57.09,57.09,66.3,27,47
STU00315,66.12,66.12,65.32,34,51
STU00316,55.08,55.08,72.6,25,47
STU00317,39.85,39.85,65.99,22,55
STU00318,78.07,78.07,56.04,40,51
STU00319,57.22,57.22,74.83,26,46
STU00320,85.07,85.07,61.33,46,54
STU00321,53.27,53.27,64.2,30,56
STU00322,70.83,70.83,66.85,32,46
STU00323,67.0,67.0,77.3,36,55
STU00324,57.55,57.55,68.72,29,52
STU00325,74.43,74.43,74.11,38,51
STU00326,62.83,62.83,78.14,34,53
STU00327,57.67,57.67,73.21,33,56
STU00328,46.11,46.11,81.42,20,43
STU00329,49.8,49.8,70.27,26,52
STU00330,67.87,67.87,70.19,33,51
STU00331,64.2,64.2,69.11,31,49
STU00332,63.16,63.16,70.17,31,50
STU00333,72.56,72.56,66.2,38,51
STU00334,60.7,60.7,58.13,33,55
STU00335,59.37,59.37,53.51,26,44
STU00336,66.11,66.11,59.14,32,49
STU00337,86.11,86.11,76.1,45,52
STU00338,58.41,58.41,74.58,30,53
STU00339,64.21,64.21,76.18,33,50
STU00340,69.35,69.35,68.03,36,51
STU00341,82.73,82.73,77.44,41,50
STU00342,56.0,56.0,61.79,28,51
STU00343,62.22,62.22,65.98,33,53
STU00344,69.29,69.29,60.46,36,52
STU00345,70.75,70.75,75.29,35,50
STU00346,67.61,67.61,69.22,34,49
STU00347,60.09,60.09,87.54,30,51
STU00348,50.77,50.77,83.11,25,49
STU00349,69.72,69.72,73.02,32,46
STU00350,68.49,68.49,64.32,39,57
STU00351,59.21,59.21,64.51,31,52
STU00352,55.0,55.0,65.02,29,52
STU00353,62.72,62.72,71.66,28,47
STU00354,56.67,56.67,70.15,26,47
STU00355,67.14,67.14,63.72,32,48
STU00356,58.23,58.23,54.92,30,50
STU00357,60.1,60.1,80.33,30,49
STU00358,92.88,92.88,66.31,48,52
STU00359,68.08,68.08,67.83,34,49
STU00360,75.52,75.52,53.96,35,46
STU00361,72.65,72.65,68.3,35,50
STU00362,65.15,65.15,92.13,36,56
STU00363,66.94,66.94,79.28,38,56
STU00364,58.42,58.42,66.08,31,53
STU00365,57.58,57.58,58.65,31,54
STU00366,62.73,62.73,71.2,33,53
STU00367,60.91,60.91,64.2,31,49
STU00368,65.58,65.58,50.6,36,54
STU00369,71.88,71.88,77.96,39,55
STU00370,63.67,63.67,50.87,32,52
STU00371,64.28,64.28,69.17,32,48
STU00372,67.09,67.09,63.48,36,53
STU00373,57.78,57.78,74.31,28,49
STU00374,61.36,61.36,57.61,33,55
STU00375,65.05,65.05,78.7,34,53
STU00376,69.67,69.67,68.51,33,47
STU00377,72.17,72.17,63.98,37,51
STU00378,64.95,64.95,71.7,33,49
STU00379,75.56,75.56,62.36,35,45
STU00380,63.73,63.73,66.34,29,46
STU00381,65.79,65.79,71.14,31,48
STU00382,65.0,65.0,77.69,32,49
STU00383,73.89,73.89,82.67,37,50
STU00384,73.94,73.94,67.82,41,55
STU00385,68.0,68.0,83.16,35,51
STU00386,86.67,86.67,73.73,46,53
STU00387,48.0,48.0,59.72,25,51
STU00388,75.78,75.78,65.84,36,49
STU00389,74.66,74.66,64.73,35,47
STU00390,52.52,52.52,59.92,27,52
STU00391,61.72,61.72,67.72,29,48
STU00392,74.0,74.0,59.42,35,46
STU00393,52.78,52.78,78.36,25,49
STU00394,75.0,75.0,70.55,42,56
STU00395,63.33,63.33,58.47,31,49
STU00396,62.58,62.58,72.13,29,46
STU00397,51.18,51.18,70.65,26,52
STU00398,51.34,51.34,72.46,25,49
STU00399,63.89,63.89,66.25,32,52
STU00400,69.34,69.34,47.74,32,46
STU00401,48.88,48.88,72.43,25,53
STU00402,71.67,71.67,47.05,34,47
STU00403,74.06,74.06,67.16,34,46
STU00404,63.33,63.33,71.04,32,50
STU00405,81.67,81.67,63.65,36,44
STU00406,70.1,70.1,59.57,37,53
STU00407,68.83,68.83,69.58,35,52
STU00408,59.65,59.65,70.36,29,50
STU00409,53.72,53.72,73.32,25,49
STU00410,36.97,36.97,66.01,20,54
STU00411,69.28,69.28,68.54,33,47
STU00412,72.22,72.22,72.02,33,46
STU00413,61.61,61.61,60.19,32,52
STU00414,50.42,50.42,61.1,26,52
STU00415,69.82,69.82,52.56,37,53
STU00416,68.17,68.17,63.02,31,46
STU00417,49.56,49.56,69.0,24,49
STU00418,77.5,77.5,58.25,38,49
STU00419,79.14,79.14,60.01,35,44
STU00420,59.02,59.02,69.65,27,44
STU00421,53.79,53.79,67.45,29,53
STU00422,61.67,61.67,53.71,32,51
STU00423,59.33,59.33,51.17,28,49
STU00424,74.2,74.2,52.81,34,47
STU00425,60.11,60.11,62.42,29,49
STU00426,72.22,72.22,49.51,36,49
STU00427,56.39,56.39,62.4,30,53
STU00428,64.46,64.46,62.89,31,48
STU00429,63.33,63.33,90.4,30,48
STU00430,57.73,57.73,70.32,30,53
STU00431,76.36,76.36,67.28,36,48
STU00432,71.67,71.67,66.6,35,50
STU00433,72.48,72.48,63.28,40,55
STU00434,63.05,63.05,75.87,34,53
STU00435,66.99,66.99,58.52,35,51
STU00436,59.7,59.7,67.63,32,55
STU00437,85.05,85.05,56.73,44,51
STU00438,61.0,61.0,61.28,33,54
STU00439,59.77,59.77,65.69,28,49
STU00440,71.48,71.48,83.94,34,48
STU00441,71.11,71.11,67.37,35,50
STU00442,71.51,71.51,74.91,37,51
STU00443,69.94,69.94,85.04,39,56
STU00444,57.78,57.78,65.29,31,53
STU00445,67.24,67.24,74.71,36,54
STU00446,76.16,76.16,70.71,37,48
STU00447,65.94,65.94,48.29,33,51
STU00448,66.0,66.0,70.41,32,48
STU00449,67.71,67.71,75.11,36,53
STU00450,54.78,54.78,79.87,26,48
STU00451,87.33,87.33,76.71,41,47
STU00452,64.13,64.13,66.26,34,52
STU00453,74.55,74.55,71.5,38,51
STU00454,69.27,69.27,73.57,34,50
STU00455,71.09,71.09,76.83,32,46
STU00456,66.17,66.17,66.16,31,47
STU00457,69.14,69.14,60.02,31,44
STU00458,69.29,69.29,65.23,36,52
STU00459,65.83,65.83,55.34,32,47
STU00460,75.05,75.05,55.92,39,53
STU00461,62.45,62.45,62.28,28,44
STU00462,77.44,77.44,67.48,35,47
STU00463,66.18,66.18,69.23,30,45
STU00464,68.09,68.09,76.2,37,54
STU00465,79.98,79.98,65.06,42,52
STU00466,73.71,73.71,64.61,33,47
STU00467,65.82,65.82,72.37,35,53
STU00468,65.89,65.89,73.35,29,45
STU00469,62.78,62.78,54.76,29,49
STU00470,56.51,56.51,69.75,30,52
STU00471,73.25,73.25,64.62,36,50
STU00472,56.98,56.98,56.25,28,49
STU00473,61.09,61.09,58.45,29,49
STU00474,58.73,58.73,66.22,30,52
STU00475,63.61,63.61,77.32,32,49
STU00476,64.33,64.33,80.98,34,53
STU00477,44.69,44.69,68.61,22,51
STU00478,67.78,67.78,65.69,35,51
STU00479,69.83,69.83,65.37,33,49
STU00480,69.09,69.09,71.25,38,55
STU00481,63.3,63.3,59.21,35,56
STU00482,74.67,74.67,62.98,36,50
STU00483,82.55,82.55,71.32,41,50
STU00484,54.86,54.86,55.83,27,51
STU00485,74.55,74.55,56.33,39,52
STU00486,82.06,82.06,57.32,37,45
STU00487,75.68,75.68,70.57,40,53
STU00488,59.44,59.44,73.33,32,54
STU00489,62.23,62.23,73.04,33,54
STU00490,59.66,59.66,65.84,29,50
STU00491,53.94,53.94,71.37,31,57
STU00492,73.03,73.03,63.27,37,49
STU00493,54.4,54.4,76.57,26,49
STU00494,48.12,48.12,66.86,25,52
STU00495,80.06,80.06,64.25,37,46
STU00496,45.8,45.8,61.76,22,48
STU00497,63.17,63.17,61.14,30,48
STU00498,54.72,54.72,71.35,25,48
STU00499,72.33,72.33,57.31,35,50
STU00500,70.0,70.0,65.12,33,49
