student_id,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa
STU00088,54.49,28.2,20.4,24.8,73.4,6.77
STU00089,35.44,29.8,21.2,27.4,78.4,4.91
STU00090,54.76,30.2,22.0,24.4,76.6,8.88
STU00091,69.66,32.8,20.4,23.2,76.4,5.51
STU00092,59.21,32.0,25.4,25.4,82.8,8.9
STU00093,69.41,34.8,23.2,25.2,83.2,6.42
STU00094,76.97,32.4,21.8,25.0,79.2,9.52
STU00095,62.68,32.6,22.6,25.0,80.2,4.61
STU00096,47.84,28.2,22.4,24.2,74.8,4.67
STU00097,62.42,28.0,19.8,24.0,71.8,9.8
STU00098,76.3,29.2,23.6,24.4,77.2,6.5
STU00099,75.26,32.8,27.8,25.2,85.8,5.47
STU00100,68.6,32.0,20.4,25.6,78.0,6.45
STU00101,68.57,31.8,20.8,22.8,75.4,8.92
STU00102,58.1,29.2,22.4,25.4,77.0,6.32
STU00103,75.81,29.2,21.4,26.4,77.0,7.84
STU00104,65.47,32.4,25.8,24.2,82.4,8.23
STU00105,55.41,31.0,23.0,26.6,80.6,6.05
STU00106,76.4,29.6,19.0,25.6,74.2,4.96
STU00107,66.47,27.2,19.0,22.2,68.4,5.24
STU00108,45.03,33.2,21.6,24.2,79.0,7.7
STU00109,45.59,30.0,23.4,25.8,79.2,5.05
STU00110,60.79,26.6,24.6,24.2,75.4,9.55
STU00111,52.82,28.4,28.0,22.8,79.2,6.37
STU00112,56.35,29.6,21.2,24.4,75.2,6.67
STU00113,58.43,29.4,19.4,21.6,70.4,5.23
STU00114,52.16,32.4,24.8,22.2,79.4,9.1
STU00115,60.0,29.8,24.4,22.8,77.0,6.93
STU00116,65.55,29.2,20.4,25.4,75.0,8.75
STU00117,61.55,27.4,25.0,23.6,76.0,9.54
STU00118,62.76,29.0,23.8,24.2,77.0,7.37
STU00119,54.4,30.8,22.2,25.2,78.2,9.64
STU00120,74.86,32.6,23.6,24.0,80.2,8.48
STU00121,68.01,32.2,18.4,27.8,78.4,5.38
STU00122,62.18,30.0,22.0,26.8,78.8,9.92
STU00123,61.03,33.8,21.8,28.2,83.8,8.08
STU00124,60.42,30.6,21.2,25.4,77.2,9.77
STU00125,65.37,29.8,26.4,24.6,80.8,9.6
STU00126,74.02,31.2,24.6,25.8,81.6,8.95
STU00127,39.64,29.8,20.6,26.6,77.0,6.74
STU00128,64.02,35.4,23.8,22.8,82.0,8.99
STU00129,51.93,30.4,24.2,24.4,79.0,8.01
STU00130,69.47,26.2,21.2,23.4,70.8,7.96
STU00131,51.8,26.0,23.0,23.6,72.6,6.76
STU00132,67.74,33.2,20.6,26.2,80.0,8.1
STU00133,62.14,33.4,23.4,26.2,83.0,8.16
STU00134,52.07,33.4,25.0,25.2,83.6,7.5
STU00135,59.14,28.4,19.6,26.6,74.6,8.55
STU00136,58.33,28.8,22.2,23.8,74.8,6.97
STU00137,50.82,29.6,23.6,25.2,78.4,8.5
STU00138,74.95,27.8,24.2,26.4,78.4,8.61
STU00139,53.16,32.8,23.2,28.2,84.2,4.52
STU00140,62.19,30.2,25.4,25.4,81.0,5.16
STU00141,71.42,27.0,24.4,25.6,77.0,8.9
STU00142,50.87,30.2,21.0,25.4,76.6,5.41
STU00143,62.68,30.0,25.0,26.8,81.8,8.59
STU00144,58.32,32.6,19.6,24.8,77.0,8.0
STU00145,47.34,27.8,23.0,27.0,77.8,7.33
STU00146,56.65,36.0,20.0,25.2,81.2,6.42
STU00147,63.04,29.0,24.0,23.6,76.6,7.9
STU00148,41.1,28.0,20.8,25.4,74.2,4.83
STU00149,49.11,29.4,24.0,23.8,77.2,6.77
STU00150,63.38,23.0,21.4,26.0,70.4,7.29
STU00151,62.87,31.6,22.6,23.0,77.2,8.28
STU00152,46.2,31.0,21.6,22.4,75.0,5.59
STU00153,42.19,25.2,22.6,26.6,74.4,4.59
STU00154,46.6,32.6,22.0,24.2,78.8,6.48
STU00155,64.27,29.4,22.8,25.2,77.4,7.95
STU00156,49.13,25.2,24.6,24.2,74.0,5.22
STU00157,49.12,34.2,25.6,23.0,82.8,4.92
STU00158,65.1,26.8,24.0,26.6,77.4,8.58
STU00159,58.92,27.4,20.8,26.0,74.2,6.36
STU00160,47.27,32.0,24.6,26.6,83.2,5.31
STU00161,55.69,25.2,23.8,24.4,73.4,6.89
STU00162,68.73,28.4,21.4,26.8,76.6,9.05
STU00163,57.73,31.4,26.4,23.0,80.8,4.99
STU00164,55.61,29.2,22.6,25.6,77.4,5.19
STU00165,63.6,31.6,23.2,25.8,80.6,9.63
STU00166,70.28,33.6,20.2,25.6,79.4,8.53
STU00167,57.81,32.8,20.8,21.6,75.2,7.08
STU00168,59.46,32.0,25.0,25.0,82.0,6.09
STU00169,46.14,33.0,22.4,24.6,80.0,8.34
STU00170,61.85,30.2,21.2,24.6,76.0,7.99
STU00171,70.44,29.4,24.2,24.0,77.6,8.41
STU00172,59.79,28.8,21.0,26.4,76.2,6.96
STU00173,58.53,28.6,18.8,24.2,71.6,7.8
STU00174,67.33,33.4,23.0,25.6,82.0,5.57
STU00175,55.94,29.8,23.2,27.2,80.2,8.74
STU00176,76.26,26.8,22.4,25.6,74.8,9.24
STU00177,80.49,32.2,20.4,23.8,76.4,7.65
STU00178,61.58,34.6,20.0,24.8,79.4,5.04
STU00179,52.59,26.8,19.0,25.8,71.6,4.86
STU00180,50.62,29.8,24.2,25.2,79.2,8.6
STU00181,60.03,28.0,19.6,25.0,72.6,6.18
STU00182,64.32,30.4,22.2,23.0,75.6,8.02
STU00183,77.28,28.4,23.6,27.2,79.2,7.25
STU00184,56.66,30.6,23.8,25.2,79.6,9.23
STU00185,62.17,29.6,21.8,25.4,76.8,6.99
STU00186,64.36,27.8,19.8,25.4,73.0,8.22
STU00187,56.19,32.8,22.4,27.4,82.6,5.1
STU00188,59.17,28.8,26.8,24.4,80.0,6.35
STU00189,55.75,31.8,24.6,27.0,83.4,8.31
STU00190,61.46,33.0,18.2,24.4,75.6,9.49
STU00191,43.5,29.2,22.8,25.8,77.8,5.45
STU00192,46.27,31.2,25.8,24.4,81.4,5.54
STU00193,55.11,34.2,18.0,24.2,76.4,4.73
STU00194,46.44,25.0,23.0,22.6,70.6,5.72
STU00195,64.71,30.0,19.8,24.0,73.8,8.77
STU00196,55.15,31.2,23.6,24.0,78.8,6.04
STU00197,58.43,26.4,21.0,24.2,71.6,9.88
STU00198,56.48,33.8,28.0,27.8,89.6,5.9
STU00199,74.46,28.4,21.4,25.4,75.2,9.95
STU00200,55.11,31.4,24.6,27.8,83.8,8.98
STU00201,55.81,30.8,22.0,25.2,78.0,5.39
STU00202,48.46,24.2,23.2,26.2,73.6,8.65
STU00203,58.83,31.8,21.8,26.8,80.4,6.37
STU00204,72.37,30.6,25.2,23.0,78.8,9.94
STU00205,46.17,31.8,22.6,26.8,81.2,4.93
STU00206,59.85,28.4,22.2,23.4,74.0,8.52
STU00207,55.66,33.0,23.8,26.2,83.0,7.19
STU00208,46.53,33.6,20.4,24.4,78.4,7.42
STU00209,63.5,25.0,23.4,26.2,74.6,7.16
STU00210,42.38,29.2,20.0,24.8,74.0,6.89
STU00211,61.11,30.2,20.8,24.6,75.6,7.66
STU00212,55.12,29.8,24.0,25.0,78.8,5.67
STU00213,53.14,29.0,24.8,26.8,80.6,4.96
STU00214,65.18,30.4,21.6,26.2,78.2,8.12
STU00215,56.21,28.8,21.4,22.8,73.0,6.37
STU00216,54.04,26.6,21.4,24.8,72.8,5.47
STU00217,61.41,30.8,20.2,27.0,78.0,6.14
STU00218,48.45,28.6,26.8,22.4,77.8,6.56
STU00219,60.69,28.2,19.2,24.0,71.4,5.93
STU00220,50.71,26.8,27.2,25.8,79.8,9.69
STU00221,44.51,33.8,26.4,23.6,83.8,5.88
STU00222,65.38,30.0,22.2,25.4,77.6,6.85
STU00223,70.11,29.0,22.4,26.6,78.0,5.85
STU00224,42.26,32.6,24.2,26.2,83.0,4.66
STU00225,67.72,34.6,26.0,25.0,85.6,9.81
STU00226,50.38,30.8,23.8,24.6,79.2,6.96
STU00227,67.05,29.4,20.2,26.2,75.8,8.95
STU00228,47.74,28.6,26.0,24.4,79.0,5.06
STU00229,63.88,33.2,25.0,24.8,83.0,4.61
STU00230,55.69,27.0,26.2,24.4,77.6,9.67
STU00231,59.21,28.2,20.8,27.2,76.2,5.55
STU00232,50.57,29.0,22.6,22.8,74.4,5.49
STU00233,68.35,26.4,19.6,25.4,71.4,9.7
STU00234,59.55,31.4,23.0,25.8,80.2,9.6
STU00235,61.54,31.2,21.6,23.4,76.2,8.6
STU00236,60.71,32.2,25.0,25.0,82.2,6.48
STU00237,65.23,29.8,24.0,25.4,79.2,6.28
STU00238,48.98,26.2,24.0,24.8,75.0,5.11
STU00239,48.76,28.0,25.4,23.6,77.0,9.27
STU00240,51.5,27.4,18.4,25.0,70.8,6.61
STU00241,62.6,31.8,19.6,28.2,79.6,7.11
STU00242,62.22,32.2,21.6,24.6,78.4,7.9
STU00243,64.67,25.6,21.2,22.2,69.0,9.83
STU00244,61.98,27.8,24.8,27.2,79.8,7.51
STU00245,59.35,34.6,22.8,23.6,81.0,5.47
STU00246,62.98,25.6,20.4,25.0,71.0,5.8
STU00247,70.94,33.0,24.8,25.2,83.0,4.91
STU00248,69.03,31.4,18.6,24.2,74.2,7.24
STU00249,65.33,30.0,21.8,24.8,76.6,9.6
STU00250,53.14,29.2,23.4,22.8,75.4,6.42
STU00251,46.53,31.2,20.4,25.0,76.6,5.12
STU00252,57.54,29.4,18.8,23.6,71.8,6.14
STU00253,73.62,34.6,21.0,25.2,80.8,9.57
STU00254,83.68,29.2,21.0,24.2,74.4,9.84
STU00255,60.46,30.2,23.4,23.8,77.4,8.86
STU00256,42.58,33.0,25.6,24.4,83.0,6.69
STU00257,49.31,32.0,22.2,26.4,80.6,8.38
STU00258,65.94,29.8,24.6,29.0,83.4,7.03
STU00259,57.34,24.4,19.2,22.6,66.2,5.78
STU00260,58.04,30.8,26.0,24.4,81.2,9.07
STU00261,50.57,27.0,21.2,24.2,72.4,8.85
STU00262,58.75,33.2,24.6,25.4,83.2,6.88
STU00263,56.09,28.8,21.6,22.4,72.8,8.84
STU00264,53.78,28.0,20.0,27.6,75.6,8.81
STU00265,61.91,27.8,21.8,27.4,77.0,7.46
STU00266,64.69,30.4,24.6,23.8,78.8,9.6
STU00267,70.07,33.4,25.4,26.0,84.8,7.1
STU00268,49.42,29.6,18.8,26.2,74.6,5.47
STU00269,56.11,33.4,23.2,24.4,81.0,6.14
STU00270,53.73,28.4,21.4,23.0,72.8,5.94
STU00271,57.4,32.2,24.8,27.2,84.2,8.54
STU00272,63.94,29.0,21.6,24.2,74.8,9.38
STU00273,52.15,26.6,23.4,25.4,75.4,8.37
STU00274,57.98,31.2,19.2,27.2,77.6,8.21
STU00275,56.59,28.4,18.6,23.4,70.4,8.66
STU00276,71.42,31.4,26.8,23.0,81.2,8.03
STU00277,57.58,31.2,21.4,25.8,78.4,6.43
STU00278,61.81,30.6,26.2,23.4,80.2,9.09
STU00279,66.83,30.2,17.8,22.2,70.2,4.99
STU00280,74.67,31.8,19.4,25.0,76.2,7.52
STU00281,42.35,32.8,20.6,26.0,79.4,7.96
STU00282,78.72,28.2,22.6,26.0,76.8,8.22
STU00283,54.64,32.6,23.2,24.0,79.8,6.88
STU00284,76.87,23.2,25.8,22.6,71.6,9.85
STU00285,74.38,31.2,23.6,24.2,79.0,7.06
STU00286,53.5,35.0,24.2,25.0,84.2,4.85
STU00287,54.64,26.2,22.2,24.4,72.8,7.83
STU00288,56.43,29.6,22.8,25.6,78.0,8.09
STU00289,51.12,31.2,23.2,24.4,78.8,6.63
STU00290,64.26,29.8,23.0,25.0,77.8,7.18
STU00291,40.78,28.8,23.4,26.6,78.8,5.53
STU00292,62.25,30.6,26.2,24.0,80.8,10.0
STU00293,61.86,34.0,26.0,27.0,87.0,9.77
STU00294,55.58,35.8,19.6,24.6,80.0,5.02
STU00295,41.88,34.0,20.4,26.8,81.2,6.84
STU00296,58.07,29.0,22.6,23.6,75.2,8.11
STU00297,56.97,27.8,24.6,23.6,76.0,6.87
STU00298,71.65,27.4,25.2,26.2,78.8,9.61
STU00299,53.69,34.6,24.2,25.2,84.0,7.77
STU00300,46.2,29.6,22.2,23.6,75.4,6.23
STU00301,52.33,33.6,21.2,27.4,82.2,8.12
STU00302,80.31,23.8,25.0,22.8,71.6,9.03
STU00303,69.23,33.2,24.4,24.6,82.2,4.63
STU00304,74.12,29.4,24.4,23.2,77.0,8.46
STU00305,60.8,33.0,23.0,25.4,81.4,5.61
STU00306,68.41,31.8,22.6,25.8,80.2,8.17
STU00307,55.33,26.6,25.2,26.2,78.0,9.14
STU00308,35.37,26.6,21.0,23.4,71.0,5.93
STU00309,52.98,33.6,22.8,25.4,81.8,9.08
STU00310,53.84,28.4,21.8,23.4,73.6,8.63
STU00311,47.38,27.6,22.8,25.0,75.4,7.31
STU00312,72.04,31.8,25.6,27.0,84.4,7.03
STU00313,67.95,31.4,22.4,24.4,78.2,8.61
STU00314,74.8,29.4,21.2,26.6,77.2,7.81
STU00315,48.02,27.8,20.8,27.6,76.2,7.91
STU00316,65.76,32.2,20.2,25.8,78.2,5.56
STU00317,68.41,25.6,20.8,24.4,70.8,4.52
STU00318,56.56,25.6,26.8,23.4,75.8,6.24
STU00319,58.26,29.0,20.4,27.4,76.8,4.57
STU00320,52.33,29.4,23.0,25.4,77.8,9.81
STU00321,41.68,29.4,22.8,22.0,74.2,7.12
STU00322,64.15,30.2,21.6,25.4,77.2,9.19
STU00323,48.54,28.0,24.8,24.8,77.6,7.36
STU00324,77.53,33.4,23.4,24.6,81.4,9.54
STU00325,47.68,27.0,19.8,26.6,73.4,4.61
STU00326,57.77,30.0,21.0,23.2,74.2,7.82
STU00327,57.7,27.6,20.0,25.0,72.6,7.52
STU00328,46.53,34.6,26.0,26.0,86.6,4.93
STU00329,66.18,35.0,24.0,22.2,81.2,10.0
STU00330,55.88,31.0,23.4,28.0,82.4,9.72
STU00331,60.67,28.4,22.8,24.4,75.6,6.29
STU00332,63.15,36.0,20.4,25.4,81.8,7.81
STU00333,62.96,31.6,19.6,24.2,75.4,7.13
STU00334,58.32,28.0,24.0,25.0,77.0,6.37
STU00335,66.81,35.4,20.6,24.6,80.6,9.55
STU00336,51.07,30.6,19.0,26.2,75.8,7.05
STU00337,53.14,31.8,23.6,21.6,77.0,7.96
STU00338,54.95,25.8,24.2,26.8,76.8,4.87
STU00339,47.88,29.4,20.0,24.8,74.2,6.74
STU00340,58.72,29.8,23.8,26.0,79.6,6.17
STU00341,54.04,30.0,22.0,24.0,76.0,7.18
STU00342,64.76,33.4,22.8,23.8,80.0,7.31
STU00343,64.58,27.8,23.2,24.6,75.6,9.48
STU00344,63.15,28.8,22.6,25.6,77.0,6.46
STU00345,68.29,32.8,23.0,25.8,81.6,9.34
STU00346,63.87,29.8,24.0,24.6,78.4,9.95
STU00347,70.13,36.0,24.0,25.8,85.8,9.3
STU00348,42.31,25.2,22.0,26.6,73.8,6.34
STU00349,52.81,29.8,26.0,23.8,79.6,7.3
STU00350,55.25,30.0,27.0,26.4,83.4,8.74
STU00351,64.32,31.2,20.6,25.2,77.0,9.77
STU00352,66.06,32.6,22.8,25.0,80.4,9.61
STU00353,56.52,26.0,24.0,24.2,74.2,8.2
STU00354,51.0,30.0,23.2,22.4,75.6,7.61
STU00355,53.22,34.8,21.6,26.0,82.4,6.95
STU00356,60.16,31.8,20.6,21.4,73.8,9.3
STU00357,69.58,30.4,22.6,25.2,78.2,7.38
STU00358,40.78,30.0,24.4,23.6,78.0,7.76
STU00359,34.17,28.4,23.6,24.4,76.4,4.89
STU00360,62.8,33.6,18.8,28.0,80.4,8.65
STU00361,58.05,33.2,23.6,24.0,80.8,5.25
STU00362,45.39,27.8,26.0,25.6,79.4,6.5
STU00363,61.58,30.0,23.4,24.8,78.2,4.85
STU00364,48.18,26.6,23.8,23.2,73.6,8.22
STU00365,74.54,30.4,26.8,27.4,84.6,5.4
STU00366,52.73,30.8,23.0,27.0,80.8,6.82
STU00367,46.6,27.2,22.6,24.2,74.0,9.23
STU00368,52.51,29.6,25.0,25.6,80.2,5.91
STU00369,79.63,29.2,23.8,24.6,77.6,9.22
STU00370,58.01,31.4,25.4,23.2,80.0,9.51
STU00371,43.42,32.4,23.0,21.8,77.2,5.49
STU00372,54.04,32.6,22.0,24.2,78.8,6.32
STU00373,55.5,27.8,23.6,24.4,75.8,6.99
STU00374,58.41,29.0,21.4,24.6,75.0,4.84
STU00375,52.96,31.6,19.4,26.6,77.6,7.12
STU00376,47.14,27.2,19.0,25.2,71.4,5.51
STU00377,50.19,29.4,22.2,27.6,79.2,8.04
STU00378,57.43,29.2,19.8,25.8,74.8,7.16
STU00379,66.55,30.6,25.8,25.8,82.2,6.79
STU00380,65.14,30.4,17.4,26.6,74.4,7.77
STU00381,63.9,27.6,26.0,24.4,78.0,6.02
STU00382,55.71,32.0,25.6,23.6,81.2,6.27
STU00383,79.34,27.8,23.2,24.8,75.8,9.54
STU00384,50.93,32.6,24.6,27.6,84.8,5.66
STU00385,74.24,29.8,25.4,26.0,81.2,6.52
STU00386,51.84,31.2,19.2,26.6,77.0,4.63
STU00387,59.75,28.6,18.4,25.6,72.6,4.83
STU00388,80.81,30.2,22.4,24.4,77.0,6.93
STU00389,48.7,29.8,25.0,25.0,79.8,5.68
STU00390,68.65,31.6,21.6,26.8,80.0,8.26
STU00391,45.24,29.4,24.0,24.6,78.0,4.75
STU00392,78.51,30.2,21.8,25.6,77.6,9.62
STU00393,74.26,24.4,23.4,25.0,72.8,6.67
STU00394,71.59,29.2,21.0,26.6,76.8,7.78
STU00395,59.21,30.8,20.8,23.6,75.2,8.54
STU00396,46.68,33.2,23.4,24.8,81.4,6.03
STU00397,49.77,27.6,22.6,26.2,76.4,4.94
STU00398,67.27,30.8,22.4,24.6,77.8,9.37
STU00399,62.28,29.4,24.4,23.6,77.4,9.46
STU00400,65.79,30.6,21.0,24.8,76.4,5.13
STU00401,58.1,29.2,22.8,25.0,77.0,4.98
STU00402,66.28,29.6,24.6,25.6,79.8,8.65
STU00403,42.69,31.0,23.0,26.2,80.2,5.39
STU00404,65.86,25.2,20.4,25.4,71.0,6.88
STU00405,59.98,31.0,25.8,25.2,82.0,7.01
STU00406,52.9,30.6,20.6,24.0,75.2,8.58
STU00407,34.35,27.6,20.2,24.0,71.8,6.96
STU00408,72.1,28.6,24.0,23.6,76.2,9.07
STU00409,58.56,31.0,25.8,23.4,80.2,6.13
STU00410,58.92,31.4,21.8,24.4,77.6,8.64
STU00411,61.85,31.4,20.8,23.6,75.8,6.91
STU00412,52.67,30.2,20.6,24.6,75.4,9.28
STU00413,58.91,28.0,20.2,24.4,72.6,6.27
STU00414,57.33,28.0,21.8,24.6,74.4,4.78
STU00415,62.34,24.8,21.0,24.6,70.4,4.59
STU00416,56.72,30.4,25.0,27.0,82.4,5.8
STU00417,59.03,30.6,23.2,23.4,77.2,7.24
STU00418,75.23,32.0,25.6,24.2,81.8,6.04
STU00419,51.37,29.6,21.4,22.6,73.6,7.57
STU00420,55.6,28.6,21.0,26.6,76.2,6.64
STU00421,52.37,26.0,21.4,24.6,72.0,9.33
STU00422,56.88,32.6,20.0,25.4,78.0,5.74
STU00423,55.45,28.2,23.0,26.2,77.4,8.95
STU00424,39.88,28.6,26.0,25.6,80.2,5.63
STU00425,52.53,30.4,20.4,24.8,75.6,8.68
STU00426,47.09,32.2,23.6,26.0,81.8,9.78
STU00427,50.21,29.2,19.8,25.0,74.0,9.81
STU00428,54.54,30.6,23.8,24.4,78.8,5.09
STU00429,69.59,28.8,25.0,24.6,78.4,8.59
STU00430,54.83,31.4,20.2,24.2,75.8,6.51
STU00431,69.34,32.2,21.8,24.0,78.0,6.85
STU00432,74.41,32.4,22.8,21.8,77.0,9.26
STU00433,60.81,32.4,23.4,25.6,81.4,8.84
STU00434,68.14,30.4,22.2,28.0,80.6,6.9
STU00435,57.14,24.2,24.2,26.0,74.4,8.04
STU00436,82.92,28.6,22.4,22.6,73.6,9.99
STU00437,73.98,32.4,23.8,26.6,82.8,9.44
STU00438,43.31,35.6,23.8,25.8,85.2,9.33
STU00439,52.95,30.4,23.8,26.0,80.2,4.54
STU00440,64.45,31.0,22.8,23.2,77.0,5.27
STU00441,79.18,27.6,18.2,23.8,69.6,8.91
STU00442,58.65,36.4,22.8,23.8,83.0,8.66
STU00443,29.2,25.8,19.4,25.0,70.2,5.01
STU00444,63.23,32.6,23.6,23.4,79.6,9.51
STU00445,57.65,24.8,22.6,26.4,73.8,4.67
STU00446,52.0,25.2,22.8,26.6,74.6,5.97
STU00447,70.01,25.0,19.2,27.0,71.2,9.88
STU00448,63.29,34.6,22.6,26.4,83.6,9.58
STU00449,77.63,34.8,25.2,23.8,83.8,7.76
STU00450,56.8,26.6,20.8,24.6,72.0,5.84
STU00451,52.98,33.0,20.6,25.8,79.4,5.93
STU00452,61.66,32.8,23.0,24.0,79.8,9.5
STU00453,79.06,27.0,22.2,24.0,73.2,7.87
STU00454,45.53,33.6,19.8,25.6,79.0,5.91
STU00455,60.3,32.2,21.4,24.4,78.0,6.97
STU00456,61.29,30.4,22.2,23.6,76.2,8.02
STU00457,61.44,26.4,24.8,23.4,74.6,4.69
STU00458,54.97,32.8,26.8,26.4,86.0,7.84
STU00459,69.77,29.6,25.2,24.8,79.6,5.2
STU00460,34.13,32.0,25.0,27.4,84.4,6.05
STU00461,67.03,29.6,25.8,23.2,78.6,7.64
STU00462,84.21,30.0,22.4,25.4,77.8,9.34
STU00463,80.28,27.0,22.0,25.4,74.4,9.61
STU00464,57.66,31.2,25.0,23.4,79.6,9.2
STU00465,55.54,30.8,21.2,23.8,75.8,7.82
STU00466,56.06,28.0,24.2,25.4,77.6,9.8
STU00467,37.07,30.8,22.4,25.4,78.6,5.15
STU00468,51.59,33.0,22.8,25.6,81.4,8.57
STU00469,48.2,31.0,25.8,26.4,83.2,6.86
STU00470,54.05,28.2,24.8,24.8,77.8,9.58
STU00471,40.94,34.4,20.6,26.2,81.2,6.5
STU00472,64.72,31.6,19.8,25.8,77.2,5.3
STU00473,62.99,27.2,23.2,22.0,72.4,8.98
STU00474,42.16,28.6,25.0,24.8,78.4,5.15
STU00475,57.08,29.0,25.0,24.6,78.6,6.46
STU00476,62.09,32.8,27.4,26.8,87.0,4.61
STU00477,54.7,31.6,25.2,25.4,82.2,8.66
STU00478,46.33,33.4,27.8,25.2,86.4,6.05
