student_id,avg_attendance,attended_classes,total_classes,assignment_completion_percentage,avg_assignment_completion,avg_assignment_score,submitted_assignments,total_assignments,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa,study_hours_per_day,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency,total_logins,total_video_minutes,total_resources_viewed,total_quiz_attempts,total_forum_posts,total_session_minutes,risk_level
STU00011,78.41,158,204,78.83,78.83,71.75,38,48,56.03,33.4,20.4,28.2,82.0,6.36,1.18,43.38,64.44,29.77,38.96,17.8,275,5.5,72,1584,167,62,46,2296,High
STU00012,79.14,159,201,76.21,76.21,60.9,36,47,51.11,27.0,23.6,24.0,74.6,5.52,4.76,41.58,71.86,30.29,28.91,20.46,280,6.4,65,2126,142,53,42,2130,High
STU00013,69.63,153,220,74.09,74.09,68.52,37,52,53.02,29.4,18.6,25.6,73.6,9.21,2.35,30.22,65.18,21.31,33.93,26.01,302,4.5,81,1641,154,54,54,2265,High
STU00014,68.94,142,206,73.52,73.52,68.66,39,52,56.48,24.0,19.8,24.2,68.0,9.46,5.02,37.28,72.1,24.59,34.91,21.32,202,4.3,73,1757,155,51,54,2098,Medium
STU00015,67.48,141,208,75.45,75.45,62.91,40,54,53.79,33.0,24.6,21.6,79.2,5.13,3.47,44.57,68.77,26.73,24.95,32.84,234,7.8,89,1807,178,51,40,2473,High
STU00016,82.67,170,207,71.94,71.94,60.25,37,51,54.02,32.0,25.8,24.4,82.2,7.42,2.06,38.58,65.62,24.3,41.68,20.77,139,3.1,73,2014,114,54,54,2402,High
STU00017,63.94,141,218,41.82,41.82,50.91,21,51,34.67,29.4,23.4,23.4,76.2,5.8,1.16,41.22,70.77,30.39,42.26,26.15,203,7.1,60,2070,148,42,48,2128,High
STU00018,74.67,160,218,72.78,72.78,62.76,34,48,71.05,28.4,21.8,24.4,74.6,8.96,7.04,48.24,64.47,34.85,35.3,26.04,268,6.5,84,1605,185,44,62,1903,Low
STU00019,77.57,160,208,68.17,68.17,65.3,32,46,61.29,36.0,20.4,23.6,80.0,9.95,2.9,46.29,66.94,23.55,31.35,24.28,301,6.0,64,1920,143,64,52,2426,Medium
STU00020,72.14,145,202,68.89,68.89,68.28,35,51,60.3,30.8,21.4,25.4,77.6,8.92,3.81,38.22,65.8,24.28,34.49,28.57,337,4.4,98,1543,163,55,47,2384,Low
STU00021,70.76,149,209,82.44,82.44,64.68,44,52,78.06,29.4,22.2,24.0,75.6,4.78,7.67,29.83,69.13,22.26,27.75,20.02,175,5.1,80,1834,126,44,50,2412,Low
STU00022,75.43,159,211,83.88,83.88,73.83,45,53,42.79,27.2,22.4,25.6,75.2,8.26,1.96,37.08,71.09,22.2,38.08,24.36,167,5.1,85,2033,128,55,52,2069,High
STU00023,84.81,171,203,76.45,76.45,73.26,34,45,65.63,34.6,22.8,22.6,80.0,9.91,1.47,56.19,68.51,25.26,29.14,28.15,234,4.1,75,1904,166,45,44,2601,Medium
STU00024,68.39,151,222,71.23,71.23,65.98,38,53,58.9,30.2,22.6,25.0,77.8,5.01,6.82,44.08,71.11,27.03,25.93,17.16,215,3.6,62,1694,159,55,44,2057,Medium
STU00025,66.65,144,217,56.36,56.36,72.87,29,52,50.88,30.0,23.8,24.8,78.6,8.0,4.71,41.71,72.91,25.9,31.42,30.08,268,6.3,86,1837,178,54,45,2649,Medium
STU00026,79.95,176,219,49.52,49.52,59.38,26,52,60.61,28.6,23.8,25.2,77.6,8.07,2.76,44.89,68.26,19.58,28.01,23.24,254,4.7,71,1343,129,57,50,1984,Medium
STU00027,82.32,176,212,60.13,60.13,49.31,30,51,54.92,35.8,20.8,25.0,81.6,8.95,3.54,41.87,64.9,19.91,36.11,27.15,231,6.3,80,1536,152,44,39,2468,Medium
STU00028,74.95,151,208,68.67,68.67,64.16,33,48,55.77,28.4,25.0,24.4,77.8,9.12,4.13,45.69,64.28,30.84,33.67,21.56,310,5.1,72,2315,182,54,50,2744,Medium
STU00029,74.33,156,212,53.56,53.56,87.17,29,53,59.87,33.8,23.8,26.2,83.8,8.07,3.95,46.67,75.86,26.24,25.91,30.75,345,5.9,74,2148,178,29,44,2605,High
STU00030,72.12,143,202,62.22,62.22,53.42,33,50,32.99,30.0,19.2,23.8,73.0,6.75,1.03,33.95,63.29,21.59,31.2,25.34,277,5.2,72,1608,184,41,59,2085,High
STU00031,71.21,153,217,73.52,73.52,68.42,38,52,74.4,29.4,19.8,24.6,73.8,9.58,5.4,39.73,57.55,29.43,42.05,25.25,257,5.8,91,1605,177,44,57,2182,Low
STU00032,79.43,175,222,81.67,81.67,56.69,34,42,52.98,23.4,23.0,23.6,70.0,6.23,3.31,34.99,72.91,24.9,39.6,23.74,258,6.1,84,2077,170,53,54,2546,High
STU00033,70.2,144,206,66.14,66.14,73.5,30,46,47.27,32.4,20.4,23.6,76.4,8.05,3.93,49.4,65.99,19.43,34.38,33.67,277,5.5,81,1956,107,56,55,2334,High
STU00034,76.87,161,211,48.23,48.23,78.93,26,53,36.04,33.8,19.6,24.8,78.2,6.87,1.09,36.26,69.57,27.89,26.47,27.36,225,6.1,58,1230,119,59,46,2509,High
STU00035,78.4,172,217,82.87,82.87,67.43,43,52,64.28,31.8,23.4,27.2,82.4,7.0,6.93,38.0,70.06,23.26,39.2,22.49,327,5.4,87,1799,126,47,54,2153,Low
STU00036,84.66,167,195,71.72,71.72,70.94,34,50,44.46,26.4,20.0,26.4,72.8,8.77,1.82,46.89,68.76,27.98,29.01,30.05,253,4.3,81,1790,162,56,51,2654,High
STU00037,66.05,139,210,64.55,64.55,61.63,31,47,62.78,30.0,23.0,24.0,77.0,9.33,4.15,42.79,61.49,19.86,29.94,19.65,222,4.4,92,1969,155,52,56,2481,Low
STU00038,79.63,164,208,56.57,56.57,64.82,26,48,67.65,32.2,25.8,23.8,81.8,8.8,5.49,35.19,71.27,27.23,27.63,18.29,163,4.3,60,1729,136,42,64,1978,Low
STU00039,70.93,142,199,67.06,67.06,60.21,30,45,62.6,29.2,22.2,26.4,77.8,8.54,4.83,41.98,61.94,26.31,38.05,19.34,239,6.3,74,1970,125,72,56,2357,Low
STU00040,67.79,152,225,85.88,85.88,67.88,46,54,67.82,31.0,23.8,25.6,80.4,8.97,4.8,56.01,68.77,26.4,42.68,16.36,229,5.5,74,1848,180,40,46,2552,Low
STU00041,63.63,132,207,82.05,82.05,72.88,44,54,55.3,32.2,23.8,24.6,80.6,7.7,4.0,43.37,63.35,24.51,29.81,21.48,271,4.2,77,2044,138,45,46,2103,High
STU00042,83.2,186,224,49.4,49.4,62.23,24,50,49.41,28.8,23.0,24.0,75.8,5.53,3.95,58.58,64.39,23.46,28.87,31.1,281,6.2,74,1978,125,54,48,3019,High
STU00043,73.5,161,217,64.58,64.58,74.41,30,49,51.12,34.4,21.8,23.8,80.0,6.64,1.69,44.98,66.7,24.0,25.91,30.11,257,5.6,71,2303,133,45,45,2709,High
STU00044,72.58,162,223,74.33,74.33,58.17,40,53,60.67,34.0,22.2,26.8,83.0,9.69,2.37,39.19,70.56,21.54,29.35,30.5,371,4.0,91,1795,118,51,57,2410,Medium
STU00045,63.25,134,212,65.3,65.3,86.25,34,52,47.85,30.8,20.4,26.0,77.2,6.77,4.4,47.49,61.38,22.61,46.09,24.04,220,5.9,77,1962,155,40,57,2470,High
STU00046,73.35,146,202,92.88,92.88,71.32,52,56,38.26,28.4,22.8,23.6,74.8,7.04,1.0,35.56,70.58,33.16,29.4,29.71,181,5.2,79,1805,137,46,37,2458,High
STU00047,79.42,173,218,68.41,68.41,63.91,34,51,52.74,32.4,21.6,23.2,77.2,5.96,1.83,36.48,73.92,23.94,31.45,21.56,294,5.1,78,1487,145,58,42,2181,High
STU00048,76.25,170,221,69.91,69.91,62.12,38,53,65.18,30.4,21.8,26.8,79.0,6.98,6.28,55.11,65.66,13.99,38.63,29.29,306,4.7,83,1891,176,52,51,2531,Low
STU00049,84.49,178,207,66.97,66.97,51.96,33,49,71.5,29.8,22.2,24.6,76.6,7.56,3.88,54.82,72.64,26.56,29.18,23.24,276,6.3,84,1721,132,58,54,2182,Medium
STU00050,68.17,149,217,82.2,82.2,71.2,41,51,58.48,27.8,20.8,23.0,71.6,6.71,4.89,32.37,60.83,25.43,37.4,27.27,278,4.7,69,1844,158,55,50,2307,Medium
STU00051,64.65,136,209,55.56,55.56,76.17,28,51,73.9,32.0,21.4,26.8,80.2,7.0,6.94,40.59,67.95,23.09,37.76,33.22,308,3.7,89,2319,175,60,62,2496,Low
STU00052,76.25,151,197,78.73,78.73,77.25,41,51,51.33,27.8,24.2,23.6,75.6,6.54,3.4,52.26,69.78,28.64,33.61,21.58,217,4.5,95,1971,185,50,60,2204,Medium
STU00053,78.9,160,206,62.48,62.48,69.8,32,52,57.55,32.4,21.8,24.8,79.0,5.45,6.35,42.33,65.63,19.73,27.49,21.67,266,4.0,89,1917,131,53,33,2933,High
STU00054,80.91,174,215,70.23,70.23,65.7,31,44,67.01,32.8,20.6,22.6,76.0,7.92,7.05,50.73,66.33,23.46,38.4,29.18,265,7.0,88,1869,137,50,60,2826,Low
STU00055,83.99,173,207,65.39,65.39,79.63,36,55,59.83,27.6,22.2,25.8,75.6,7.03,6.87,41.16,63.43,27.31,30.2,22.34,252,5.5,70,1990,156,42,59,2903,Medium
STU00056,76.54,180,234,81.33,81.33,64.16,40,50,44.98,29.6,24.4,24.6,78.6,8.43,3.77,36.14,62.84,21.53,32.33,29.31,353,5.3,75,1869,154,47,64,2986,Medium
STU00057,70.79,139,195,77.5,77.5,63.59,35,45,51.42,29.6,22.4,25.4,77.4,5.64,3.07,53.29,74.27,26.66,36.22,28.29,234,6.3,80,1768,203,50,48,2358,High
STU00058,88.07,192,218,65.73,65.73,49.52,33,51,55.14,26.2,22.2,22.4,70.8,6.7,3.18,37.8,66.14,26.55,28.29,28.4,175,5.1,82,2089,151,53,57,2850,High
STU00059,84.5,179,209,65.78,65.78,72.96,36,55,52.97,30.6,22.4,23.2,76.2,8.48,3.57,35.58,75.39,37.5,34.07,25.31,173,5.1,82,1814,168,51,52,1920,Medium
STU00060,69.93,146,209,53.23,53.23,69.6,24,48,53.79,30.6,23.2,23.4,77.2,5.19,4.55,44.34,75.57,26.71,23.07,23.21,129,6.5,72,1902,152,46,42,2150,High
STU00061,76.23,158,211,57.78,57.78,67.38,27,46,47.01,34.4,17.2,25.0,76.6,5.4,3.23,51.5,67.11,19.97,35.95,27.77,267,4.1,74,2036,139,68,41,2465,High
STU00062,70.31,146,205,69.97,69.97,64.33,32,46,58.15,26.2,20.0,24.4,70.6,7.52,3.95,48.94,70.71,26.95,39.41,30.74,208,6.5,71,1665,162,49,55,2416,Medium
STU00063,69.82,153,224,68.78,68.78,61.3,38,55,75.8,33.2,25.2,26.6,85.0,7.59,6.26,42.98,61.64,16.14,46.46,32.41,324,5.9,81,1893,132,34,53,2906,Low
STU00064,71.75,168,230,52.07,52.07,62.83,25,51,64.49,28.0,23.8,26.0,77.8,9.41,3.96,52.94,66.73,29.48,32.39,23.28,248,6.0,73,2046,174,52,40,2671,Medium
STU00065,66.8,137,208,72.63,72.63,69.87,35,49,59.72,30.8,23.2,24.2,78.2,6.52,7.69,52.92,68.94,18.6,43.23,20.3,230,5.6,67,1568,159,44,55,1655,Medium
STU00066,74.51,155,205,70.83,70.83,63.72,33,48,46.35,24.8,21.8,25.6,72.2,6.61,2.53,48.64,75.51,17.97,35.22,19.93,207,5.9,80,1938,164,59,24,1972,High
STU00067,77.14,173,223,57.95,57.95,64.98,30,52,32.19,25.2,25.0,26.2,76.4,5.81,1.63,49.17,63.53,27.63,31.06,26.53,192,6.3,72,1199,176,53,51,2243,High
STU00068,73.46,167,226,56.97,56.97,64.86,32,55,43.32,30.2,25.2,26.2,81.6,7.24,3.41,35.0,66.03,36.38,35.46,28.27,242,5.5,91,1424,139,61,48,1922,High
STU00069,91.7,184,201,75.03,75.03,63.47,38,51,43.46,28.8,23.2,25.0,77.0,6.28,2.93,56.63,73.83,22.38,26.75,29.2,281,6.6,68,1938,183,60,46,2749,High
STU00070,81.04,165,205,60.79,60.79,59.75,31,49,57.78,28.6,23.4,23.8,75.8,8.96,3.32,37.18,69.52,26.72,28.37,30.83,289,6.3,87,1512,124,49,54,1976,Medium
STU00071,82.16,172,213,54.02,54.02,53.53,27,51,47.1,26.2,21.0,26.2,73.4,7.24,2.52,43.22,65.41,26.2,37.97,20.0,278,4.3,71,1662,142,57,46,2109,High
STU00072,69.33,155,228,49.53,49.53,77.73,26,54,48.77,32.6,22.4,25.8,80.8,6.7,5.37,30.94,74.66,23.24,27.47,29.81,232,5.9,69,1633,156,52,45,2092,High
STU00073,78.44,165,211,70.0,70.0,64.63,32,46,49.36,27.6,25.6,25.0,78.2,5.7,3.77,32.72,60.61,25.22,25.21,27.68,291,5.1,87,1864,131,43,47,2178,High
STU00074,78.25,155,200,63.34,63.34,67.32,30,50,80.75,31.2,23.2,23.0,77.4,9.65,7.86,28.94,72.97,24.33,31.01,28.45,266,5.6,87,2472,160,48,63,2485,Low
STU00075,67.83,147,214,76.21,76.21,69.2,36,48,64.0,30.8,20.2,25.4,76.4,7.35,3.41,39.2,63.97,24.83,35.11,27.05,289,4.3,69,1638,159,42,45,1985,High
STU00076,73.26,158,214,54.22,54.22,59.68,28,53,52.94,27.4,24.0,26.0,77.4,7.96,4.96,49.24,59.76,17.14,41.03,16.43,232,5.2,79,1861,157,49,52,2493,Medium
STU00077,80.38,168,211,52.67,52.67,80.32,26,50,54.59,30.4,19.8,25.2,75.4,7.61,6.53,44.39,69.26,31.51,30.79,27.31,327,5.3,78,1851,169,37,39,2656,Medium
STU00078,71.13,144,200,70.67,70.67,60.5,38,53,46.7,33.4,21.4,24.8,79.6,5.67,1.23,41.73,62.55,23.01,28.49,16.15,240,8.2,80,1588,140,33,46,2435,High
STU00079,71.55,149,210,71.1,71.1,69.82,33,46,80.21,32.6,23.4,26.2,82.2,9.99,7.34,54.23,71.23,20.78,25.96,23.86,283,5.9,77,1453,144,46,55,2131,Low
STU00080,78.57,143,182,85.61,85.61,56.55,41,48,63.24,27.2,22.8,24.8,74.8,7.57,2.76,28.02,67.52,35.63,31.95,18.98,283,6.0,70,1608,121,58,47,2828,Medium
STU00081,87.94,182,207,60.5,60.5,76.05,31,52,32.84,29.8,23.2,25.2,78.2,4.92,1.79,39.83,61.42,26.23,32.33,26.56,304,5.8,72,1662,168,40,50,2309,High
STU00082,84.26,170,204,56.7,56.7,69.25,29,51,56.83,29.4,19.0,25.6,74.0,6.5,7.31,42.9,70.23,17.27,28.91,27.69,197,5.7,77,1565,156,55,49,2331,Medium
STU00083,76.56,158,206,73.13,73.13,69.01,37,52,43.54,31.2,22.2,22.6,76.0,9.98,2.27,44.51,69.84,28.0,34.37,26.88,290,7.3,75,1549,169,51,41,2234,Medium
STU00084,70.48,149,211,62.74,62.74,72.15,30,48,51.49,30.0,23.6,24.4,78.0,7.8,5.93,39.34,77.85,20.87,33.71,17.23,307,7.0,76,1775,135,38,45,2786,Medium
STU00085,70.7,153,214,73.66,73.66,63.45,36,49,57.62,27.8,25.2,27.6,80.6,9.81,3.59,47.66,63.49,27.03,38.99,26.02,195,6.1,98,1735,157,46,46,2373,Medium
STU00086,82.43,165,200,72.44,72.44,66.76,34,47,60.63,29.0,22.4,24.6,76.0,4.88,4.33,48.05,68.11,23.45,29.51,22.27,175,6.1,68,1811,166,40,49,2636,High
STU00087,77.33,159,205,64.83,64.83,66.54,32,50,59.08,28.0,19.6,23.0,70.6,5.91,5.23,43.98,67.66,28.96,41.27,28.34,198,5.3,85,1660,152,45,40,2906,High
STU00088,77.6,162,211,76.69,76.69,73.09,35,46,54.49,28.2,20.4,24.8,73.4,6.77,2.71,41.44,71.94,24.85,34.3,26.09,270,3.7,82,2033,164,63,60,1987,High
STU00089,88.39,179,204,70.0,70.0,78.56,36,54,35.44,29.8,21.2,27.4,78.4,4.91,1.02,46.56,67.9,27.8,26.43,24.47,232,4.4,66,2001,164,44,56,2574,High
STU00090,80.95,160,200,57.71,57.71,69.65,29,52,54.76,30.2,22.0,24.4,76.6,8.88,6.79,27.5,63.06,35.21,26.25,25.64,264,5.0,70,1835,137,56,55,2286,Medium
STU00091,84.16,176,209,73.17,73.17,59.52,38,52,69.66,32.8,20.4,23.2,76.4,5.51,6.76,33.84,69.16,20.45,28.7,29.88,268,3.8,102,1942,155,46,53,2154,Medium
STU00092,73.5,150,203,57.05,57.05,74.39,29,51,59.21,32.0,25.4,25.4,82.8,8.9,7.43,46.54,68.31,31.32,32.81,26.25,292,6.8,55,1584,134,56,39,2440,Low
STU00093,71.8,149,212,70.82,70.82,71.91,36,51,69.41,34.8,23.2,25.2,83.2,6.42,7.56,39.19,70.07,20.9,26.61,28.52,307,3.1,74,1410,203,53,55,2955,Medium
STU00094,74.46,154,207,59.82,59.82,75.51,31,52,76.97,32.4,21.8,25.0,79.2,9.52,6.87,42.05,70.79,20.98,33.58,26.84,260,5.6,87,1575,122,43,69,3111,Low
STU00095,77.98,165,216,66.86,66.86,70.08,32,49,62.68,32.6,22.6,25.0,80.2,4.61,6.29,28.07,70.65,16.33,31.73,19.0,222,5.3,52,1972,144,67,56,2280,Medium
STU00096,72.57,142,195,82.88,82.88,62.99,44,53,47.84,28.2,22.4,24.2,74.8,4.67,4.99,42.85,73.33,19.28,30.04,30.3,256,4.6,88,1711,126,48,50,2965,High
STU00097,77.12,165,215,60.33,60.33,80.08,30,51,62.42,28.0,19.8,24.0,71.8,9.8,3.78,35.35,65.76,25.86,33.78,23.74,329,5.6,67,1687,158,52,54,2211,Low
STU00098,68.37,147,212,83.4,83.4,75.07,46,54,76.3,29.2,23.6,24.4,77.2,6.5,7.06,45.09,66.92,21.55,34.3,31.85,320,5.0,59,1666,146,46,42,2361,Low
STU00099,82.93,180,218,59.79,59.79,78.85,29,49,75.26,32.8,27.8,25.2,85.8,5.47,7.6,46.33,70.09,32.63,38.57,22.34,287,5.7,89,1683,140,36,41,2377,Low
STU00100,73.54,162,219,62.22,62.22,58.96,33,51,68.6,32.0,20.4,25.6,78.0,6.45,8.0,33.08,67.82,24.89,34.5,17.74,226,5.7,71,1798,115,56,51,2509,Low
STU00101,90.88,179,197,60.32,60.32,62.39,31,52,68.57,31.8,20.8,22.8,75.4,8.92,7.0,46.35,66.44,22.78,32.41,22.66,296,6.8,106,1664,151,57,48,2225,Low
STU00102,83.26,171,203,72.43,72.43,65.6,36,51,58.1,29.2,22.4,25.4,77.0,6.32,7.96,41.76,71.64,24.37,30.11,24.31,268,5.8,77,1785,123,45,42,2140,Low
STU00103,90.09,185,204,41.83,41.83,63.71,23,54,75.81,29.2,21.4,26.4,77.0,7.84,6.55,60.73,65.11,29.1,35.34,23.36,287,4.8,85,1867,151,55,56,2586,Low
STU00104,83.3,165,197,64.0,64.0,59.82,30,47,65.47,32.4,25.8,24.2,82.4,8.23,2.84,41.81,74.79,19.23,29.52,34.27,335,6.4,78,1755,156,41,41,2285,Low
STU00105,80.66,181,227,76.28,76.28,72.98,39,51,55.41,31.0,23.0,26.6,80.6,6.05,4.85,50.29,67.25,25.62,31.83,20.12,231,6.2,70,1729,147,51,38,1881,High
STU00106,70.8,140,199,74.5,74.5,65.86,36,48,76.4,29.6,19.0,25.6,74.2,4.96,6.88,42.67,72.96,26.95,35.55,20.9,320,4.4,91,1740,129,63,65,3412,Low
STU00107,78.19,174,222,75.78,75.78,64.42,35,46,66.47,27.2,19.0,22.2,68.4,5.24,6.9,35.77,66.01,29.46,36.81,26.93,260,4.2,69,1429,181,38,50,2922,Medium
STU00108,76.56,150,195,58.51,58.51,70.29,28,47,45.03,33.2,21.6,24.2,79.0,7.7,3.76,33.19,63.83,27.49,34.88,27.54,172,4.9,88,1684,131,49,61,2501,High
STU00109,78.83,151,190,58.81,58.81,73.07,30,51,45.59,30.0,23.4,25.8,79.2,5.05,1.42,45.08,72.41,29.45,43.44,28.47,263,3.7,76,1369,171,53,49,2551,High
STU00110,56.84,132,231,58.85,58.85,76.42,27,47,60.79,26.6,24.6,24.2,75.4,9.55,6.53,44.2,67.19,25.69,28.55,15.34,182,6.3,69,1786,164,50,54,2142,Low
STU00111,73.63,143,195,60.91,60.91,71.45,31,51,52.82,28.4,28.0,22.8,79.2,6.37,1.39,41.98,70.28,23.31,33.98,23.42,266,6.9,64,1741,134,57,44,1762,High
STU00112,76.65,164,218,73.61,73.61,67.81,35,47,56.35,29.6,21.2,24.4,75.2,6.67,2.68,32.1,65.66,22.68,38.99,24.67,269,7.3,93,2073,145,45,53,1917,High
STU00113,80.16,179,221,60.59,60.59,71.91,27,45,58.43,29.4,19.4,21.6,70.4,5.23,3.84,47.15,68.8,25.76,28.28,27.63,263,4.9,79,1617,136,67,59,2938,High
STU00114,82.66,172,209,58.05,58.05,77.77,29,49,52.16,32.4,24.8,22.2,79.4,9.1,2.94,47.49,73.76,22.75,37.6,23.62,290,5.3,80,1441,171,59,45,2325,Medium
STU00115,86.74,186,211,59.17,59.17,79.61,27,47,60.0,29.8,24.4,22.8,77.0,6.93,7.18,39.41,73.22,22.96,38.85,26.4,246,5.8,75,1913,160,42,48,2162,Medium
STU00116,68.95,158,232,65.91,65.91,82.78,34,53,65.55,29.2,20.4,25.4,75.0,8.75,7.77,39.6,69.95,21.49,32.09,26.78,254,5.1,80,1526,120,43,58,2998,Low
STU00117,85.34,163,191,60.28,60.28,64.88,30,51,61.55,27.4,25.0,23.6,76.0,9.54,6.29,38.18,71.11,22.14,36.14,31.48,196,4.7,73,1614,166,58,58,1891,Low
STU00118,72.83,153,209,79.8,79.8,65.99,38,48,62.76,29.0,23.8,24.2,77.0,7.37,6.9,50.04,70.53,26.35,29.1,24.29,305,5.5,91,1689,166,57,49,2841,Medium
STU00119,59.9,128,216,72.83,72.83,78.87,33,45,54.4,30.8,22.2,25.2,78.2,9.64,3.03,50.01,70.69,29.0,38.76,31.28,163,5.2,81,1913,138,48,58,2120,Medium
STU00120,69.52,165,237,47.15,47.15,71.44,23,49,74.86,32.6,23.6,24.0,80.2,8.48,6.38,41.09,67.52,23.27,36.59,25.34,291,4.1,71,1614,148,43,36,3223,Low
STU00121,75.0,156,209,62.33,62.33,73.09,29,47,68.01,32.2,18.4,27.8,78.4,5.38,4.33,54.02,71.3,25.77,32.26,28.23,219,6.6,83,1659,133,59,45,2758,Medium
STU00122,69.44,153,220,52.33,52.33,65.54,29,55,62.18,30.0,22.0,26.8,78.8,9.92,5.14,36.1,67.72,19.52,27.87,33.1,259,3.9,66,1711,123,45,52,2320,Low
STU00123,81.06,173,215,67.0,67.0,69.96,36,54,61.03,33.8,21.8,28.2,83.8,8.08,6.97,46.61,71.44,20.18,35.12,16.73,223,5.9,77,2017,140,54,47,2213,Low
STU00124,71.67,158,219,47.31,47.31,74.07,24,50,60.42,30.6,21.2,25.4,77.2,9.77,3.91,46.15,68.62,29.58,38.42,20.87,245,4.1,84,1770,131,47,49,2857,Medium
STU00125,82.61,162,199,49.27,49.27,66.56,25,51,65.37,29.8,26.4,24.6,80.8,9.6,7.63,35.56,64.71,21.2,27.13,31.62,225,4.2,86,1405,155,48,49,1656,Low
STU00126,84.87,187,221,76.79,76.79,66.1,34,44,74.02,31.2,24.6,25.8,81.6,8.95,7.89,54.64,67.93,28.37,30.57,35.66,259,7.0,79,1516,144,55,49,2036,Low
STU00127,67.77,138,201,75.33,75.33,76.47,39,53,39.64,29.8,20.6,26.6,77.0,6.74,4.48,36.64,67.0,22.44,32.09,24.95,220,5.3,85,1830,142,57,47,2282,High
STU00128,73.73,151,204,68.69,68.69,57.68,34,51,64.02,35.4,23.8,22.8,82.0,8.99,4.98,41.5,61.97,18.08,40.08,21.89,349,5.9,79,1592,170,43,69,2582,Low
STU00129,76.77,163,212,62.42,62.42,71.78,30,49,51.93,30.4,24.2,24.4,79.0,8.01,1.71,52.22,69.08,29.22,30.75,32.5,186,5.8,88,1662,118,65,43,2080,Medium
STU00130,71.95,151,207,71.33,71.33,63.77,37,51,69.47,26.2,21.2,23.4,70.8,7.96,7.75,48.72,64.62,26.72,31.5,19.31,186,5.0,91,1894,140,52,50,2158,Low
STU00131,73.65,161,219,61.61,61.61,65.03,28,48,51.8,26.0,23.0,23.6,72.6,6.76,4.24,43.53,69.09,23.05,39.55,22.41,267,6.1,88,1602,147,54,51,2178,High
STU00132,75.28,153,207,60.94,60.94,69.79,33,53,67.74,33.2,20.6,26.2,80.0,8.1,5.3,49.86,61.51,24.59,35.26,22.59,263,7.7,84,1992,161,59,48,2789,Medium
STU00133,67.62,133,198,69.18,69.18,69.58,33,47,62.14,33.4,23.4,26.2,83.0,8.16,6.79,48.31,63.62,32.52,27.3,23.38,278,6.7,78,1736,95,42,59,2620,Medium
STU00134,76.79,169,221,72.83,72.83,74.88,36,50,52.07,33.4,25.0,25.2,83.6,7.5,1.22,37.81,64.41,24.36,32.23,24.55,295,5.7,68,1555,183,48,45,2240,High
STU00135,64.52,133,206,40.27,40.27,77.92,19,49,59.14,28.4,19.6,26.6,74.6,8.55,5.15,39.79,61.98,33.16,32.53,26.68,221,5.1,66,1569,156,53,51,2560,Low
